"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 6","doJOZc","W4Efsd 7"
"https://www.google.com/maps/place/Print+fotocopy+scan+mama+ita/data=!4m7!3m6!1s0x2dd7f90040a350f7:0xb75ee7d39499c5ad!8m2!3d-7.2272671!4d112.7331615!16s%2Fg%2F11w9r52gr7!19sChIJ91CjQAD51y0RrcWZlNPnXrc?authuser=0&hl=id&rclk=1","Print fotocopy scan mama ita","5,0","(13)","Printer Digital","·","Jl. Indrapura Dapuan Tegal III No.22, RT.004/RW.04","Buka","·","0896-2002-1877","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""layanan bagus dan sangat membantu bila mengerjakan tugas sekolah""","· Tutup pukul 23.00","",""
"https://www.google.com/maps/place/Bintang+Sakti/data=!4m7!3m6!1s0x2dd7f96020b49b73:0x9dfe35a96d2a40a!8m2!3d-7.267171!4d112.7409655!16s%2Fg%2F1pzqxkdjw!19sChIJc5u0IGD51y0RCqTSllrj3wk?authuser=0&hl=id&rclk=1","Bintang Sakti","4,1","(102)","Toko Fotokopi","·","·","Tutup","Jl. Jenderal Basuki Rachmat No.62-64","(031) 5310423","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Print a4 kualitas sangat bagus perlembar 4 ribu rupiah.""","· Buka Sen pukul 08.00","","·"
"https://www.google.com/maps/place/MJ+Home+Print+%26+Fotokopi/data=!4m7!3m6!1s0x2dd7fb00378ba6f1:0xfb1b4d18cb4e3129!8m2!3d-7.2684898!4d112.789798!16s%2Fg%2F11mm80mm8c!19sChIJ8aaLNwD71y0RKTFOyxhNG_s?authuser=0&hl=id&rclk=1","MJ Home Print & Fotokopi","","","Toko Percetakan","·","Jl. Sutorejo Barat No.10","Buka 24 jam","·","0895-4015-96434","","Rute","","","","",""
"https://www.google.com/maps/place/Fotokopi/data=!4m7!3m6!1s0x2dd7fb1dc8f9b1cb:0x9e72910103cbb296!8m2!3d-7.2894801!4d112.7784112!16s%2Fg%2F11qsmjl2vg!19sChIJy7H5yB371y0RlrLLAwGRcp4?authuser=0&hl=id&rclk=1","Fotokopi","3,3","(3)","Toko Buku","·","PQ6H+693, Arief Rahman Hakim","","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hubungi kami pekerja kami segera datang kerumah anda.""","","",""
"https://www.google.com/maps/place/PROSPECS+PRINT+%26+PHOTO+COPY/data=!4m7!3m6!1s0x2dd7fa46118645c7:0xf5558df18615e4a4!8m2!3d-7.2912571!4d112.780177!16s%2Fg%2F11b6dp_4n4!19sChIJx0WGEUb61y0RpOQVhvGNVfU?authuser=0&hl=id&rclk=1","PROSPECS PRINT & PHOTO COPY","4,6","(18)","Toko Fotokopi","·","·","Tutup","Jl. Dr. Ir. H. Soekarno No.208","0813-5900-7850","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah murah, ibunya juga ramah""","· Buka Sen pukul 08.00","","·"
"https://www.google.com/maps/place/Mimik+Fotocopy/data=!4m7!3m6!1s0x2dd7fb949309c0cd:0xd481aff52fa91487!8m2!3d-7.2864001!4d112.7393562!16s%2Fg%2F1pzslzjm1!19sChIJzcAJk5T71y0RhxSpL_WvgdQ?authuser=0&hl=id&rclk=1","Mimik Fotocopy","4,7","(9)","Toko Fotokopi","·","Jl. Raya Wadung Asri No.16","","","(031) 8678141","","Rute","","","","",""
"https://www.google.com/maps/place/Spectrum/data=!4m7!3m6!1s0x2dd7fa512711e08f:0x1a1f998ed9830007!8m2!3d-7.299796!4d112.771699!16s%2Fg%2F11b6xdz5wd!19sChIJj-ARJ1H61y0RBwCD2Y6ZHxo?authuser=0&hl=id&rclk=1","Spectrum","4,3","(1.059)","Toko Fotokopi","·","Ruko Manyar Garden Regency No. 27, Jl. Nginden Semolo No.101","·","Buka","(031) 5998267","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""hasil cetakannya juara, cuttingnya alus muluss!""","· Tutup pukul 00.00","",""
"https://www.google.com/maps/place/TOKO+BINTANG+alat+tulis+dan+studio+photo/data=!4m7!3m6!1s0x2dd7f9a68d02bfb7:0xaac85d1be461783a!8m2!3d-7.2383517!4d112.7674569!16s%2Fg%2F11dzdc3vr9!19sChIJt78Cjab51y0ROnhh5BtdyKo?authuser=0&hl=id&rclk=1","TOKO BINTANG alat tulis dan studio photo","4,7","(29)","Toko Fotokopi","·","TOKO BINTANG, Jl. Kapas Madya I Jl. Kapas Madya II No.42","Buka","·","0851-0210-0997","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga fotocopy murah dan tersedia perlengkapan ATK yg bny pilihan.""","· Tutup pukul 22.00","",""
"https://www.google.com/maps/place/IQBAL+FOTO+COPY/data=!4m7!3m6!1s0x2dd7f8e049eee049:0x82ee9f9837607d2f!8m2!3d-7.2253928!4d112.7414971!16s%2Fg%2F11b6bjgzym!19sChIJSeDuSeD41y0RL31gN5if7oI?authuser=0&hl=id&rclk=1","IQBAL FOTO COPY","4,2","(9)","Toko Alat Tulis Kantor","·","·","Buka","Jl. Sultan Iskandar Muda No.83A, RT.006/RW.14","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Di sini apakah bisa nge Foto 4x6 sekalian di cetak ya ?""","· Tutup pukul 21.00","",""
"https://www.google.com/maps/place/fotokopi+Amanah/data=!4m7!3m6!1s0x2dd7fba0953dbdbd:0x8f4669b89d63b7ab!8m2!3d-7.3059663!4d112.7434289!16s%2Fg%2F11b6dg1xmk!19sChIJvb09laD71y0Rq7djnbhpRo8?authuser=0&hl=id&rclk=1","fotokopi Amanah","4,5","(2)","Toko Fotokopi","·","Jl. Bendul Merisi No.84","Buka","·","0856-4289-878","","Rute","","","· Tutup pukul 22.00","",""
"https://www.google.com/maps/place/Vindi+Copy+Service/data=!4m7!3m6!1s0x2dd7fbb3f16cf801:0x2fd8ffe8c4fad9d1!8m2!3d-7.2914799!4d112.758059!16s%2Fg%2F1hm2lqscr!19sChIJAfhs8bP71y0R0dn6xOj_2C8?authuser=0&hl=id&rclk=1","Vindi Copy Service","4,7","(3)","Toko Fotokopi","·","Jl. Ngagel Jaya Tengah No.69","Tutup","·","(031) 5027852","","Rute","","","· Buka Sen pukul 08.00","",""
"https://www.google.com/maps/place/Foto+Copy+karo+Print+Surabaya+%28Foto+Copy+Center%29/data=!4m7!3m6!1s0x2dd7f9aed5e182b1:0xd4989d44f3058120!8m2!3d-7.2327632!4d112.769215!16s%2Fg%2F11gh08c79j!19sChIJsYLh1a751y0RIIEF80SdmNQ?authuser=0&hl=id&rclk=1","Foto Copy karo Print Surabaya (Foto Copy Center)","3,5","(108)","Toko Fotokopi","·","·","Jl. Pogot No.79","Buka","0822-2905-4380","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan josss mantap bagi saya yg tua gini bisa dibantu ngirim file""","· Tutup pukul 21.00","","·"
"","","","","","","","","","","","","","","","",""
