"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/KLUB+INTAN+CERIA+%28INCER%29/data=!4m7!3m6!1s0x2dd7fa48a6c8883d:0xbbf161569ff2c4c5!8m2!3d-7.2895025!4d112.7746421!16s%2Fg%2F11dftc5k38!19sChIJPYjIpkj61y0RxcTyn1Zh8bs?authuser=0&hl=id&rclk=1","KLUB INTAN CERIA (INCER)","4,9","(71)","Pusat kebugaran","·","","Arief Rahman Hakim No.43","","Tutup","· Buka Sen pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmZZv5cJXOSEGUux3Iv7Zd750nTFcaZosXWoPePUeuC1OWaknHnCpj5i2jSCZWi511zmjfLJA4Fg-QtYlo0uUl-WSnZrAbGMBd-27ptWTTnCCunjpHamV11-T1xg6VR2Ua6rJ7Ig=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Klub Nutrisi,","tempat","berkumpulnya orang-orang yang punya satu visi misi."""
"https://www.google.com/maps/place/DUNIA+SPORTS/data=!4m7!3m6!1s0x2dd7fbc970457e4f:0xb5844572e04818c0!8m2!3d-7.2833092!4d112.7560403!16s%2Fg%2F11cnt31056!19sChIJT35FcMn71y0RwBhI4HJFhLU?authuser=0&hl=id&rclk=1","DUNIA SPORTS","4,5","(236)","Toko Peralatan Olahraga","·","","Jl. Pucang Anom Tim. No.21 -1","","Tutup","· Buka Sen pukul 09.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHean9dY4e7bV-8ILskghwaIYijQtnfRULnqRcK5RPRevCyIy1GQ35JYAOtvrB9FF8NfU7NlIAPL_KC2JpiRVaKP2Wb2Kmc-mMEtP0fDX8_P7HAaDtJUcEpOSIC-Y5t-4UtcreDZU_6OSCc=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada perlengkapan untuk voli, bulu tangkis, tenis meja, futsal, dll.""","",""
"https://www.google.com/maps/place/Hypebeast+Gym+Gunawangsa+Merr/data=!4m7!3m6!1s0x81a820f3d0b48245:0x9350bfa5316a9c92!8m2!3d-7.3110065!4d112.7818364!16s%2Fg%2F11wfl4n0ff!19sChIJRYK00PMgqIERkpxqMaW_UJM?authuser=0&hl=id&rclk=1","Hypebeast Gym Gunawangsa Merr","4,9","(29)","Tempat Fitness","·","","Jl. Raya Kedung Baruk No.96","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGfCotwZ_BVWDoIHSBl8ZdGcafUTsaNY_J-QBoEI_kBezLAIvWpaj2o-pmJlytZxgOw6mG-47zJcfiiZtc1wkG34VoUI9HIIKElXTaDK5d1bYFuzJFFDIE9dw4GFGTQXRI51ow_=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","nya terlengkap di Surabaya keren gokil dan pasti nya enak buat gym"""
"https://www.google.com/maps/place/Fit+Society+-+Tenggilis/data=!4m7!3m6!1s0x2dd7fb5d080dd7f5:0x270284966ac252d1!8m2!3d-7.3203137!4d112.7510069!16s%2Fg%2F11l2fycl2j!19sChIJ9dcNCF371y0R0VLCapaEAic?authuser=0&hl=id&rclk=1","Fit Society - Tenggilis","4,9","(784)","Tempat Fitness","·","","·","Jl. Raya Tenggilis No.39","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFeesmicps6CRUFPqNXlcS3KcwW96ytIcpe6GAS6cO3YtVkaPWiSqVgZBRChiwyJcxW8CgHRSwgMFJKZCIvgHqiqrApZYm8cT1XA2husJ0FCTRjuqWXYRaj1r_RtjHZ7u96OuN_sg=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","yg luas, bersih, locker room dan toilet juga bersih."""
"https://www.google.com/maps/place/Vision+Studio/data=!4m7!3m6!1s0x2dd7fb9a4edbe381:0x86b996a202527900!8m2!3d-7.2889446!4d112.7455654!16s%2Fg%2F11v_9vrvw1!19sChIJgePbTpr71y0RAHlSAqKWuYY?authuser=0&hl=id&rclk=1","Vision Studio","4,8","(26)","Arena Dansa","·","","Jl. Ngagel No.123","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHCc1D6xaiehlBfQsAVQOZnUCP6aTAS6DGY55SErM7dfDvIjsoEYnfSoqv89pz8R5RHOdqBvYgS_sH_SklrWpAp489qowKSNlqAl_ondz8_yk4-9_RNEmLHdSZMzdTPOnXppXvb=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman banget, ber ac kacanya bersih""","",""
"https://www.google.com/maps/place/ART-THOR+Fitness+Center/data=!4m7!3m6!1s0x2dd7fbb8c9e08751:0xd03b36cb30769b11!8m2!3d-7.3088877!4d112.7683942!16s%2Fg%2F11fk8f274_!19sChIJUYfgybj71y0REZt2MMs2O9A?authuser=0&hl=id&rclk=1","ART-THOR Fitness Center","4,9","(72)","Tempat Fitness","·","","·","Jl. Raya Panjang Jiwo Permai","Tutup","· Buka Sen pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEhbJu8Dh5wLHGxWORvRajRL8ETHFsmSCFyyKo0AKTMN3f7-_0KDjTWxCNiUyXQzt3ccs23m-DOe3R24jMOQ3M7i8haUqU2-JiCAZi5efe2y5k95bWYhG-ebTcfLCZnUkq9beh2=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bikin betah, mana alat fitnessnya lengkap banget.""","",""
"https://www.google.com/maps/place/StayFit+surabaya/data=!4m7!3m6!1s0x2dd7f9c775f360ed:0xbee87ed3529aa048!8m2!3d-7.2249577!4d112.7579105!16s%2Fg%2F11v5cd0njp!19sChIJ7WDzdcf51y0RSKCaUtN-6L4?authuser=0&hl=id&rclk=1","StayFit surabaya","4,7","(34)","Tempat Fitness","·","","·","QQG5+25J, Jl. Tenggumung Baru","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvWdZWYB0vcS4w1_IPIj3gUrR1y4wa4_ehGjVUpyc5RH2guq7IoBieh7JjLPyMt953tMDK6BiyQ5V2knvciEkaBKFMufCYObTCy_unqRoEye5rhyzWec7z9H4fodrLNEm2zZKa=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","minimalis, dengan alat yg modern dan lengkap."""
"https://www.google.com/maps/place/DENALI+ADVENTURE+STORE+SURABAYA/data=!4m7!3m6!1s0x2dd7fbce6f9de9d9:0x72a7a14bc4924de3!8m2!3d-7.2779709!4d112.7560099!16s%2Fg%2F11b6d0k84c!19sChIJ2emdb8771y0R402SxEuhp3I?authuser=0&hl=id&rclk=1","DENALI ADVENTURE STORE SURABAYA","4,3","(100)","Toko Olahraga Luar Ruangan","·","","·","Blk. N - O Jl. Kertajaya No.89","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGs02qxMFBUlSxEtj-PwPqBpdWxUdKFdS67Fgk2GfsdKWXHBbvDPHi57lYHQAbnQoDKAkgc5aMBi5fcbIi6BsVkhWHGNC4VbxK4Md-bOg0HAeCtQTN7w82ErQklINoFoSIza3zTA5M7-Btp=w80-h106-k-no","","Pesan antar","",""
"https://www.google.com/maps/place/BENEFITNESS+Showroom+Alat+Fitness+Surabaya/data=!4m7!3m6!1s0x2dd7fbc715b7b083:0x542c2f46839734f2!8m2!3d-7.2864626!4d112.7163617!16s%2Fg%2F11sq84c8h4!19sChIJg7C3Fcf71y0R8jSXg0YvLFQ?authuser=0&hl=id&rclk=1","BENEFITNESS Showroom Alat Fitness Surabaya","4,8","(110)","Toko Peralatan Olahraga","·","","Jl. Dukuh Kupang Timur XIX No.72","","Tutup","· Buka Sen pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGtVQAc72cgYcbQdj4F9lRIi4KpM7NJiy5XX-T3VFPrC_U6jFdjc465PB1xZguHw8IzNC9SxSZetNXPbBV6GRNIVOeiC3nkWPNeooMfLFtnbtpB8TF5hXVbZwhZDEdQMgTUv-KA=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""cocok nih untuk yg suka","fitness",", sangat rekomen deh disini"""
"","","","","","","","","","","","","","","",""
