"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Halte+Gubeng+Kertajaya/data=!4m7!3m6!1s0x2dd7fb8d3b6c0509:0x70a22eb922933dea!8m2!3d-7.2734838!4d112.75622!16s%2Fg%2F11swk2254z!19sChIJCQVsO4371y0R6j2TIrkuonA?authuser=0&hl=id&rclk=1","Halte Gubeng Kertajaya","Layanan Transportasi","","Rute"
"https://www.google.com/maps/place/Auto+Express/data=!4m7!3m6!1s0x2dd7fbd0acab2e71:0x7e3f62176d3e3878!8m2!3d-7.271494!4d112.751352!16s%2Fg%2F11gh1nb36x!19sChIJcS6rrND71y0ReDg-bRdiP34?authuser=0&hl=id&rclk=1","Auto Express","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Gubeng+Kertajaya+B/data=!4m7!3m6!1s0x2dd7fbcebc5e9e1f:0x91f57839b27e59ff!8m2!3d-7.28028!4d112.75597!16s%2Fg%2F11ybtp8hb2!19sChIJH55evM771y0R_1l-sjl49ZE?authuser=0&hl=id&rclk=1","Gubeng Kertajaya B","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Pasar+Manyar/data=!4m7!3m6!1s0x2dd7fbcca8419aa1:0x760c48755afe8c04!8m2!3d-7.28089!4d112.76224!16s%2Fg%2F11v58k_qqk!19sChIJoZpBqMz71y0RBIz-WnVIDHY?authuser=0&hl=id&rclk=1","Pasar Manyar","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Moestopo/data=!4m7!3m6!1s0x2dd7f97da7d4cbed:0xb598765301682859!8m2!3d-7.26441!4d112.75414!16s%2Fg%2F11s7_57knn!19sChIJ7cvUp3351y0RWShoAVN2mLU?authuser=0&hl=id&rclk=1","Moestopo","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Bank+BTPN+Kertajaya+A/data=!4m7!3m6!1s0x2dd7fbcfed2b13af:0xb2fcc9e1b6ab8f27!8m2!3d-7.27775!4d112.75188!16s%2Fg%2F11vckdh9xj!19sChIJrxMr7c_71y0RJ4-rtuHJ_LI?authuser=0&hl=id&rclk=1","Bank BTPN Kertajaya A","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Kedung+Tarukan+A/data=!4m7!3m6!1s0x2dd7f97fe2ed5387:0x5c21f8e62d0fc8c9!8m2!3d-7.26582!4d112.762!16s%2Fg%2F11ww89pl3g!19sChIJh1Pt4n_51y0RycgPLeb4IVw?authuser=0&hl=id&rclk=1","Kedung Tarukan A","Perhentian bus","","Rute"
"https://www.google.com/maps/place/SMP+-+SMA+Gracia/data=!4m7!3m6!1s0x2dd7f97d3a041d97:0x3dc8dd97a082e02e!8m2!3d-7.2648484!4d112.7517176!16s%2Fg%2F11b69v2vgt!19sChIJlx0EOn351y0RLuCCoJfdyD0?authuser=0&hl=id&rclk=1","SMP - SMA Gracia","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Politeknik+Kesehatan+A/data=!4m7!3m6!1s0x2dd7fbd56e4af0b5:0x2e4dcf3e89a8cd10!8m2!3d-7.26676!4d112.76075!16s%2Fg%2F11y8_qgbyf!19sChIJtfBKbtX71y0REM2oiT7PTS4?authuser=0&hl=id&rclk=1","Politeknik Kesehatan A","Perhentian bus","","Rute"
"https://www.google.com/maps/place/RSUD+Dr.+Soetomo+2+A/data=!4m7!3m6!1s0x2dd7f97e1cf1a7a3:0x7d8d8931a8bd57c2!8m2!3d-7.26591!4d112.75782!16s%2Fg%2F11y8_pxjmr!19sChIJo6fxHH751y0Rwle9qDGJjX0?authuser=0&hl=id&rclk=1","RSUD Dr. Soetomo 2 A","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Gramedia/data=!4m7!3m6!1s0x2dd7fa334811de89:0xd20c1ca4fbd2a184!8m2!3d-7.27971!4d112.76358!16s%2Fg%2F11vbdsk60l!19sChIJid4RSDP61y0RhKHS-6QcDNI?authuser=0&hl=id&rclk=1","Gramedia","Perhentian bus","","Rute"
