"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 5","W4Efsd 6","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Burger+King+-+Merr/data=!4m7!3m6!1s0x2dd7fbf95bbecceb:0x1e82e72847851187!8m2!3d-7.3171333!4d112.7813081!16s%2Fg%2F11gnq9cdkw!19sChIJ68y-W_n71y0RhxGFRyjngh4?authuser=0&hl=id&rclk=1","Burger King - Merr","4,7","(7.746)","·","Rp 25–50 rb","Makanan Siap Saji","·","·","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEkShLKfy81TQHMWKFeosOXYooRElbS4TjVIYGdsDeJX7owYYs3L5uOLWJgtgGBcO-lFEaXbPy7GklikQ52aP9m6waeMFXT2Aa49p0N_MgvHQLFIVeoi9gUQrH05LznG3OF_dSp=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih pelayanannya juga baik makanannya enak sekali""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFnbnE5Y2RrdxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=UzD3afXCNZOb4-EP9MnK8AE&ei=UzD3afXCNZOb4-EP9MnK8AE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","CC15-CC16, Jl. Baruk Utara","","",""
"https://www.google.com/maps/place/Hokky+Buah+Panglima+Sudirman/data=!4m7!3m6!1s0x2dd8003876268fa1:0xa8a77a9f81fea0a!8m2!3d-7.2683444!4d112.7439511!16s%2Fg%2F1hc2bzjk3!19sChIJoY8mdjgA2C0RCuof-Kl3igo?authuser=0&hl=id&rclk=1","Hokky Buah Panglima Sudirman","4,6","(6.633)","","","Toko Buah dan Sayuran","·","·","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-cNu5oq6kIyLpK7MGAi9eKFK50kUBcS1OX5erl25Q1uf8Y5QKDdIqL-Ze_br2x6BaxysLa7TUhTGOpRoZ9WJYZKNxVaxsKMmwVl1BmUo9XMIDd3y-OR-iwJ92pEaiw4M3Lz-ChGNyLW9h=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","","Jl. Panglima Sudirman No.32","· Tutup pukul 22.00","Makanan siap saji","seperti sushi, siomay, dan kue basah jg ada."""
"https://www.google.com/maps/place/Dimsum+Mentai,+Dimsum+Goreng,+Dimsum+Cake,+Cireng+Isi+Kuah+Keju+Creamy,+Onde+Onde,+Donat+Kentang,+Wonton+by+Dapur+Uwenay%27s/data=!4m7!3m6!1s0x2dd7fdb868b2d999:0xdd85a6a7b5d02058!8m2!3d-7.2811245!4d112.6976479!16s%2Fg%2F11mdjmt3sn!19sChIJmdmyaLj91y0RWCDQtaemhd0?authuser=0&hl=id&rclk=1","Dimsum Mentai, Dimsum Goreng, Dimsum Cake, Cireng Isi Kuah Keju Creamy, Onde Onde, Donat Kentang, Wonton by Dapur Uwenay's","5,0","(10)","","","Pusat jajanan kaki lima","·","KOS/TOKO PAK SLAMET, Sonorejo","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEyrL8Z8K7T_KwdGExfQgt5lk1rH6FUpK9JvUYkfq6S3R21kBTsR9Wsrk_69ODwX3euIEqFqkx9d3gsqo0ipsDs5EfVys9oLdTn27tLDxbw0ccW_Sa21xAfXClpSuCI0tAsK1bGnEqrreU=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dimsum mentai enak dan daging nya kerasa, Chili oil nya juga okee 👌""","","","","","","· Tutup pukul 22.00","",""
"https://www.google.com/maps/place/Dairy+Queen+Tunjungan+Plaza+3/data=!4m7!3m6!1s0x2dd7f960eac86343:0x421bdde090b78657!8m2!3d-7.2633489!4d112.7394022!16s%2Fg%2F1pzw1f523!19sChIJQ2PI6mD51y0RV4a3kODdG0I?authuser=0&hl=id&rclk=1","Dairy Queen Tunjungan Plaza 3","4,8","(495)","·","$$","Es Krim","·","jl. Basuki Rahmat Dairy Queen Tunjungan PLaza 3 Lt 5 foodcourt K.26","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEXOnj5TbH_6QSrrN_6FRi2BkUAemEf9zK9zp5HvvNZnpKeSn91fnmApiCRRI8JJNrlZyQAZiBH8WubDW0Qk_cA7S1cOsWK6TRmbUElmhFxo_NAYJxUAewtigPdd1d5lcPQdkgdrA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""rasanya beragam dan enak, tekstur padat dan unik, harga terjangkau""","","","","","Resto es krim & makanan cepat saji kuno","· Tutup pukul 22.00","",""
"https://www.google.com/maps/place/Kedai+ALMIRA/data=!4m7!3m6!1s0x2dd7fde1a0055521:0xd5cb045e1118dc6c!8m2!3d-7.2666172!4d112.7114155!16s%2Fg%2F11hnyggd0p!19sChIJIVUFoOH91y0RbNwYEV4Ey9U?authuser=0&hl=id&rclk=1","Kedai ALMIRA","4,8","(5)","","","Restoran","·","Jl. Simomulyo 6j no.3, RW.4","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKohNSxMBgvdzEORtFm_kOrha5cXD3EyrV8Gmr6ijlM2YxsHVfEYs3dB7e6tlM1BWtqkqlefQ6bwbHRqyUcTPOGcp5NWhqUA388NbbKGvpVAekc44DzObdPe1W-7OEOQFfqcDF=w122-h92-k-no","","Makan di tempat","","","","","","· Tutup pukul 22.00","Bawa pulang",""
"https://www.google.com/maps/place/Burger+King+-+Jemursari/data=!4m7!3m6!1s0x2dd7fb6716d5c333:0x9c8e6a63272d43de!8m2!3d-7.3131707!4d112.7567203!16s%2Fg%2F11hctg0r02!19sChIJM8PVFmf71y0R3kMtJ2Nqjpw?authuser=0&hl=id&rclk=1","Burger King - Jemursari","4,5","(10.769)","·","Rp 25–50 rb","Makanan Siap Saji","·","·","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFACMbja5ei3bTpFcE5P-5xhJksIR3-7tIwi2lGWT-80kHmI54SIF2WF0drRgXKls2Kzh9YLyyQOIEhwRVok5WoY2wk3ostWKLsiR8U765Jm4DvFRTj7VG-MxK1zYIcm3-dcme5=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Suasana enak,","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoY3RnMHIwMhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=VjD3adTmGJCY4-EPs-j28Qo&ei=VjD3adTmGJCY4-EPs-j28Qo&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Raya Jemursari No.260","","makanan","enak masih hangat dan fresh, layanan terbaik"""
"https://www.google.com/maps/place/N-Jord+Food+%26+Ice+Blend/data=!4m7!3m6!1s0x2dd7f9defc1cc193:0x67b667f81090365c!8m2!3d-7.227335!4d112.774001!16s%2Fg%2F11h6df5l41!19sChIJk8Ec_N751y0RXDaQEPhntmc?authuser=0&hl=id&rclk=1","N-Jord Food & Ice Blend","4,1","(9)","","","Restoran","·","Jalan Kedinding Tengah I, Swadaya B Kelurahan No.8A","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFR0H-rw4kunSsGh7Ht-JiywOKwff8iT3aQYqaAatxXdOYbh9MDnGI4lln6uX5CuYQc_t0E1XznNIy5agln1tw44JRy7Mp12FhI_b4OPTU3LGwymiglyPaxjLXN5SVptS7ZZD9Q8w=w164-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi gorengnya mantull""","","","","","","","",""
"https://www.google.com/maps/place/McDonald%27s+-+Central+Park+Mulyosari/data=!4m7!3m6!1s0x2dd7fa1d02832ac5:0x4a330da80a7752dc!8m2!3d-7.266736!4d112.7963992!16s%2Fg%2F1tdt3k2m!19sChIJxSqDAh361y0R3FJ3CqgNM0o?authuser=0&hl=id&rclk=1","McDonald's - Central Park Mulyosari","4,5","(6.729)","·","Rp 25–50 rb","Makanan Siap Saji","·","·","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG5d0QI9xZIL8F9rSq6fjCzyOU1UL_dMx42OY4FUd2HU_FUPKn2gk2Txv-L1gcQkSW87SdbJUjhksE17ARoyRJgJmD5V48Px-8GNi3RXKEUy1WRlgo3e4j6H6rBe_3Pk2Z-ZCBj=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman buat keluarga makanannya murah2""","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRkdDNrMm0YAToDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=VjD3adTmGJCY4-EPs-j28Qo&ei=VjD3adTmGJCY4-EPs-j28Qo&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Ruko Central Park, Komplek Jl. Raya Mulyosari No.121","","",""
"https://www.google.com/maps/place/Pizza+Hut+Restoran/data=!4m7!3m6!1s0x2dd7f90290c81bab:0xf51820fbfaa5e14e!8m2!3d-7.2479927!4d112.7789164!16s%2Fg%2F11t05zg6zy!19sChIJqxvIkAL51y0RTuGl-vsgGPU?authuser=0&hl=id&rclk=1","Pizza Hut Restoran","4,7","(563)","·","$$","Pizza","·","·","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH4sEjnbKnl2qNURxNLMnV2g-Oj_NYfk_RbGkLHnYQegskI0HgGlXZH-BQSXnXPArxgx1UWb5Y_b1L8MI56dyvkdP0smS35dq1eSn2bHdzx6gyFpT2Fr5zSjispBnIoDKCOG4ftoA=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus dan tempat nya bersih pokok nya q suka banget 👍👍👍""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0MDV6ZzZ6eRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=VjD3adTmGJCY4-EPs-j28Qo&ei=VjD3adTmGJCY4-EPs-j28Qo&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Kenjeran No.455","· Tutup pukul 22.00","",""
"https://www.google.com/maps/place/Mashu+-+All+You+Can+Eat+Restaurant/data=!4m7!3m6!1s0x2dd7fba0348e9637:0x938cee7509ef775e!8m2!3d-7.2873119!4d112.7327292!16s%2Fg%2F11h76m7j13!19sChIJN5aONKD71y0RXnfvCXXujJM?authuser=0&hl=id&rclk=1","Mashu - All You Can Eat Restaurant","4,6","(3.252)","·","$$","Prasmanan","·","Jl. Musi No.35","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFq9oOl40J5U0FnOYhSv0F7IT5rUJAoUqDUE1r1UY506nCOYbMNI_UuF5HnrTME2TlW0wo8McuKn1Dgma8CKmnG_oLEGGW-iNhxkk7Xc50KetD0yHrxfAHNjKClQXcvB2EDJtUU0Q=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","","","· Tutup pukul 22.00","makanan","enak pelayanan mantap dan harga bersahabat"""
