"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Talamak+Bowl/data=!4m7!3m6!1s0x2e68e79cb93e6bf9:0x4718daee079b9733!8m2!3d-6.9002351!4d107.6150684!16s%2Fg%2F11ghlblbhh!19sChIJ-Ws-uZznaC4RM5ebB-7aGEc?authuser=0&hl=id&rclk=1","Talamak Bowl","4,5","(20)","","","Makanan Siap Saji","·","","Dipa Junction, Jl. Aria Jipang No.1-3","","Segera tutup","· 20.30 · Buka Sen pukul 10.00","","","Makan di tempat","","","","Bawa pulang","Antar tanpa bertemu"
"https://www.google.com/maps/place/Ayam+JUBER+-+Dago+cikapayang/data=!4m7!3m6!1s0x2e68e70afc0d85f1:0x435aa9629e2607e6!8m2!3d-6.8985108!4d107.6112524!16s%2Fg%2F11yv5_9r2v!19sChIJ8YUN_ArnaC4R5gcmnmKpWkM?authuser=0&hl=id&rclk=1","Ayam JUBER - Dago cikapayang","5,0","(202)","·","Rp 25–50 rb","Rumah Makan","·","","Jl. Cikapayang No.8","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHDm1xCQH1L3FfK5nOlXCMVK2bH2QMU1DpvldUkx2oi20agdDrRXru3c_AVbLSZcSOH0XoO2XezQCym5gae6Y6As6IsR_INwB9COUEPXHBq6xdRZdfv9ikwbRsxnm8C2yjXWmlu4PoYLosg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Puaaasss sekali, makanannya enak, servicenya gercep.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5djVfOXIydhgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=yEv3abTRAaXC4-EPndmx8Qs&ei=yEv3abTRAaXC4-EPndmx8Qs&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Warung+Nasi+Padang+Mak+Tunin/data=!4m7!3m6!1s0x2e68e7773caa83e1:0x62679eda3915d7e2!8m2!3d-6.8976419!4d107.6066573!16s%2Fg%2F11k48_blfx!19sChIJ4YOqPHfnaC4R4tcVOdqeZ2I?authuser=0&hl=id&rclk=1","Warung Nasi Padang Mak Tunin","4,0","(7)","","","Indonesia","·","","4J24+WMV","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQAoFCEIpS47TTb9KqzB9LPrlkAdn6_TGJveiRY8KtmkwXGJQQIO2E1RvuRwP43VAR9enEyYIi1e7xnZoa0DBARcTEsFZAVG4913SxNgE7TTMmb1eDpO61QOyNOz8BFPONiS1e=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tadi beli ayam bakar, rendang, gulai cancang.""","","","","",""
"https://www.google.com/maps/place/Warung+Kopi+Imah+Babaturan+1/data=!4m7!3m6!1s0x2e68e64530bfab83:0x69c7e63ce32ffab0!8m2!3d-6.898115!4d107.6077061!16s%2Fg%2F11bwf7pjlm!19sChIJg6u_MEXmaC4RsPov4zzmx2k?authuser=0&hl=id&rclk=1","Warung Kopi Imah Babaturan 1","4,5","(4.646)","·","Rp 25–50 rb","Indonesia","·","","·","Jl. Kebon Bibit No.3","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHoI0Z1eO7IOoOWB8GSXYx48SN1P730t_raukxSEq6zs6ckl65AbTKmXgw-nzAC05E1ao0PKjQjUCdAbSDO-dd_qFqwl_qgUG-GmmEaegh_rjmlM3Ci-qwfCrZNgkKyj3XW8ZV52HBDHs5x=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Memang agak pricey untuk harga makanannya, tapi worth it sama porsinya.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFid2Y3cGpsbRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=yEv3abTRAaXC4-EPndmx8Qs&ei=yEv3abTRAaXC4-EPndmx8Qs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/RM+Padang+Maju+Jaya/data=!4m7!3m6!1s0x2e68e65d8ff05117:0x44ab64514bf28130!8m2!3d-6.8943677!4d107.5984676!16s%2Fg%2F11fyzd5vwn!19sChIJF1Hwj13maC4RMIHyS1Fkq0Q?authuser=0&hl=id&rclk=1","RM Padang Maju Jaya","4,5","(232)","·","Rp 25–50 rb","Padang","·","","Jl. Sederhana No.29","","Segera tutup","· 21.00 · Buka Sen pukul 09.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHLI0yJFSDp0J59PvgXG3qJjVKCgk4PfR5wskqQvL6-1Nn_xEFgU2wDCmp7Ri6ry_MQU9HpejC2ZmNxFxyI5QlmWqQufJ-lD3m7W_Q3yfav5kQAo6Y1z5WD4MrTsRJh02zRDF1e=w194-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmeXpkNXZ3bhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=yEv3abTRAaXC4-EPndmx8Qs&ei=yEv3abTRAaXC4-EPndmx8Qs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","padang","yang murah meriah tapi rasanya enak"""
"https://www.google.com/maps/place/RM.+Minang+Indah/data=!4m7!3m6!1s0x2e68e645dd53e7b3:0x2deb14b4da339e66!8m2!3d-6.9019693!4d107.6079954!16s%2Fg%2F11b67pvpq6!19sChIJs-dT3UXmaC4RZp4z2rQU6y0?authuser=0&hl=id&rclk=1","RM. Minang Indah","4,1","(23)","·","Rp 1–25.000","Padang","·","","Jl. Tamansari No.11","","Segera tutup","· 21.00 · Buka Sen pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6EqmCCg6Wz41TuLgb-NwT45E4MkTcR0EF2CBjc3o1esxTBNqRENvA6L54IDLqOPMZpdL2vz1is3uxDxj7F0kPONiY3Ah4DhQla4b8V5BRpIRVpwMTt41grFThbYRz9UU07kW76Q=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pokoknya semua menu nya enak2.""","","","","",""
"https://www.google.com/maps/place/Bebek+Stallone/data=!4m7!3m6!1s0x2e68e65a62a66d4f:0x58578089d8304e1c!8m2!3d-6.8950647!4d107.6092801!16s%2Fg%2F11bz0mlj34!19sChIJT22mYlrmaC4RHE4w2ImAV1g?authuser=0&hl=id&rclk=1","Bebek Stallone","4,6","(324)","·","Rp 25–50 rb","Indonesia","·","","·","Jl. Gelap Nyawang No.12, RW.04","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7ynd-RYUu-i-nzqseax6a2L7v_p7FoRnNmIEPqrnxi0ljiKyb4on4OtjwV6WrRTW-Os0qnUHA9wH_M6lgzrSwVNnpUumJ_sBZX4PBUgHFz4Gt7uZPtk2hwOD1XRrgo5liLTAlCg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bebeknya ya juga bumbunya enak, garing gak ulet dagingnya.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiejBtbGozNBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=yEv3abTRAaXC4-EPndmx8Qs&ei=yEv3abTRAaXC4-EPndmx8Qs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Kuali+Uda/data=!4m7!3m6!1s0x2e68e65471485169:0x64ddc819db6f7633!8m2!3d-6.8893925!4d107.6160709!16s%2Fg%2F11fkn160y8!19sChIJaVFIcVTmaC4RM3Zv2xnI3WQ?authuser=0&hl=id&rclk=1","Kuali Uda","3,9","(12)","","","Padang","·","","Jl. Dipati Ukur No.234","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG0hTNpKTnsOpE3ibOzhuLv8rxTabRQGL0GkdrIFII3xMqlrwMDlJTnk9ptnj5EF5d1VjU8tp8uq59Yt12oS-jHWWhrOdHgAZxcxzWuV5Qr5l7pHwg2AYJxXZuwZa4QnsHpxLMA5w=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Semua menu khas","","","","Padang","ada di sini, baik makanan maupun minumannya."""
"https://www.google.com/maps/place/Rumah+Makan+Padang+-+Malah+Dicubo/data=!4m7!3m6!1s0x2e68e63b75344ed5:0xb19a04f363b58997!8m2!3d-6.9156463!4d107.6028304!16s%2Fg%2F1pzqkf5qm!19sChIJ1U40dTvmaC4Rl4m1Y_MEmrE?authuser=0&hl=id&rclk=1","Rumah Makan Padang - Malah Dicubo","4,5","(3.691)","·","Rp 25–50 rb","Padang","·","","·","Hall Selatan, Jl. Stasiun No.27","Tutup","· Buka Sen pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgynXu7ED8XOFzkDOtyi0iBUq4VXssaO8P3EIcouVS5BtWEwnRcDefz7EuyLGsWIOzcqkY_ggpdu6y8_JMs_MWnpsnkSIK_S2_ln6JP7MkA-xQ-L9NWAS43u4RWnOd2hgIYTzf=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dendeng batokok, rendang, dan gulai urat sapinya 👍👍.""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB6cWtmNXFtGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=yEv3abTRAaXC4-EPndmx8Qs&ei=yEv3abTRAaXC4-EPndmx8Qs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Ayam+Bakar+%26+Goreng+Si+Bungsu/data=!4m7!3m6!1s0x2e68e65a87cdff2d:0x2a7a3bef38939a56!8m2!3d-6.8950647!4d107.6092801!16s%2Fg%2F11c5_h1h_c!19sChIJLf_Nh1rmaC4RVpqTOO87eio?authuser=0&hl=id&rclk=1","Ayam Bakar & Goreng Si Bungsu","4,5","(327)","·","Rp 25–50 rb","Ayam","·","","Jl. Gelap Nyawang No.12","","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZqPpfEr2Heio5Ga16jFZhJ8hPHEJtl4w1NW-6rcZ90S_6_CXmvfcVAxlKGs9lTQWmyGGCif1L14RLw_LBQeQqhbA0hVYILvGq9SfRslfA5zW-hMbER_fFLFHH0mx0TcGwdqm9=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Must try ayam bakar pedas nya, ditambah kol goreng, usus dan kepala.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjNV9oMWhfYxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=yEv3abTRAaXC4-EPndmx8Qs&ei=yEv3abTRAaXC4-EPndmx8Qs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
