"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 6","M4A5Cf"
"https://www.google.com/maps/place/Beehive+Cafe+%26+Boutique+Hotel/data=!4m10!3m9!1s0x2e68e6562d9ddb97:0xad150371f8e7ff03!5m2!4m1!1i2!8m2!3d-6.8877721!4d107.6126099!16s%2Fg%2F11c3k6j8m0!19sChIJl9udLVbmaC4RA__n-HEDFa0?authuser=0&hl=id&rclk=1","Beehive Cafe & Boutique Hotel","4,5","(3.428)","","","Hotel bintang 2","Hotel butik trendi dengan kafe","","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAENTCTi2BPYOR3kritD8d0stH8ItOURIJJuFWi0ON5iCf8vyFDBSIrwYcWF6F60VFPXDjFPDZxD7fj90CtLRoEaP14mMmVcosrbV8pQ2GIxUp59OZ-xSAaJtE0o2KnYgAppHqXg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pesan minuman secret imune, dan makanan nasi kakap kuah kecombrang (?).""","","","",""
"https://www.google.com/maps/place/Warteg+Marga+Jaya/data=!4m7!3m6!1s0x2e68e64640ea9a1d:0x417ec5a5c795b90e!8m2!3d-6.9014049!4d107.608242!16s%2Fg%2F11b67qjsyk!19sChIJHZrqQEbmaC4RDrmVx6XFfkE?authuser=0&hl=id&rclk=1","Warteg Marga Jaya","4,8","(4)","","","Tegal","·","","·","Jl. Tamansari No.15","Segera tutup","https://lh3.googleusercontent.com/gps-proxy/ALd4DhELCE3RaVWF0fkQYpGC5TPEaT5dTOuSu9xJuE8I4wYMd9qEe0yuJWXqrH-j_Nktgsxc479GkQqxB4moDdjGunXh_AxSM_3fY0Fd3VxGW-D2fJqu0ZtFtB3n_FUDl0VNXflPmJHZBANx14qJUpBQJVeorO3tM-vMeTi6dWVitcTeG183yH7dob4sqP7D95bHrEMmhg=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan enak, lauk pauk banyak pilihan & harga wajar""","","","· 21.00 · Buka Sen pukul 05.00",""
"https://www.google.com/maps/place/Warteg+Cihampelas+Jaya/data=!4m7!3m6!1s0x2e68e646a9b1e743:0xd6f3837f3aeda1ef!8m2!3d-6.9028313!4d107.6041441!16s%2Fg%2F11g7zw8mwp!19sChIJQ-exqUbmaC4R76HtOn-D89Y?authuser=0&hl=id&rclk=1","Warteg Cihampelas Jaya","4,6","(84)","·","Rp 1–25.000","Tegal","·","","Jl. Cihampelas No.49-55","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGK1kPwuAYtglDaP6R0JFVYgSPQ9swHvlmizI__HCdrVlT9IB9X0XBzaSjHwh1eVclPk326X37-Awkt_a8YcYMnlkxc4aAy3XAlcyWw4KwyAlWHx6mYqJ58SR4TpbwE6IV-scnyIw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya ok dan termasuk bersih buat","warteg",".""","",""
"https://www.google.com/maps/place/Du+Warteg/data=!4m7!3m6!1s0x2e68e655d85c8589:0x1c05810523fcee5c!8m2!3d-6.8886108!4d107.6157261!16s%2Fg%2F11vzdv9klb!19sChIJiYVc2FXmaC4RXO78IwWBBRw?authuser=0&hl=id&rclk=1","Du Warteg","3,6","(10)","","","Restoran","·","","Jl. Dipati Ukur No.84","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6gYOYGDKsWTeg8NxSCxHj0TwqhGiqVvhpKB1p_bMI5UkQAQcYH0TgG0-HvgXNlqFKoVfdyW4uKGiY_OO-fCWTgFERftK75_AalgWYTj_jnl8zLSe0ocrABughmk6mJ8lR4V9Y3A=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jangan sampai kagok dan kaget dengan total harga di akhir.""","","","",""
"https://www.google.com/maps/place/Warteg+Abadi/data=!4m7!3m6!1s0x2e68e648b3d3e4ed:0x7b5c8138ff1e949!8m2!3d-6.9027165!4d107.6105388!16s%2Fg%2F11g8_3lvjl!19sChIJ7eTTs0jmaC4RSenxjxPItQc?authuser=0&hl=id&rclk=1","Warteg Abadi","4,2","(84)","·","$","Tegal","·","","·","Jl. Ranggagading No.10","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFb7QeFK02LYRdBSPX5ZrIRTN8fGqkvBT8mwLfGGhiWX_XGp3LJ6xANEPskJcIUWFnIAhHTugWYlzxqjfZeHXVPJBJmQN5O0-BeheK94ETdFCMNWENVD45nD8HbBgGYHrkHD9g8OQ=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak murah the best""","","","· 21.00 · Buka Sen pukul 06.00",""
"https://www.google.com/maps/place/Warteg+Ceu+Mimin/data=!4m7!3m6!1s0x2e68e7d007458c6d:0x6894cdaa223d3013!8m2!3d-6.8990023!4d107.6083254!16s%2Fg%2F11f5q8kq_c!19sChIJbYxFB9DnaC4REzA9IqrNlGg?authuser=0&hl=id&rclk=1","Warteg Ceu Mimin","","","","","Tegal","·","","·","4J25+98W, Jl. Kb. Kembang","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFktZi2n9iJKQIJakpZeP6ag91LgBK3dX-VPWRpqRBrtUlu_prwcnPwqna21E5ZW6wAvOV-C8qohOXQZY3LxRi_Efo65Tpi4oIN3kLwB_tFrx9I1CY1jgK3lxUhL992LI16UQTt=w80-h106-k-no","","Makan di tempat","Bawa pulang","","· Buka Min pukul 08.00","·"
"https://www.google.com/maps/place/Warteg+Kj+Kembar+Jaya/data=!4m7!3m6!1s0x2e68e65438e35741:0x61c245a2e7cbff48!8m2!3d-6.8902679!4d107.6168604!16s%2Fg%2F11b6ghbfdn!19sChIJQVfjOFTmaC4RSP_L56JFwmE?authuser=0&hl=id&rclk=1","Warteg Kj Kembar Jaya","4,8","(4)","","","Tegal","·","","Jl. Sekeloa No.2","","Segera tutup","https://lh3.googleusercontent.com/gps-proxy/ALd4DhGc-iRS4Dg4XuEi_KeHgOP9abq2QnzxeCQQDgJsalzwLhL5Ar-NK42g4MHzFESPVKhLi6k4OUw-MVdz1BVcCZX5VvgSZs67uup76HfVCpbGEI8hEvzXe5R6EBmhtFAOs7D8ncTrVIpoZ_-WlTWXr7sJP2SqJI6YZ6nuVVQEkP5tt6iuUjg_hkTcfWZmHLN6w69h4UY=w122-h92-k-no","","Makan di tempat","Bawa pulang","","· 21.00 · Buka Sen pukul 07.00","·"
"https://www.google.com/maps/place/Warteg+Monggo+Mas+Berkah+Jaya/data=!4m7!3m6!1s0x2e68e656097a25ff:0x8562c580a9eda503!8m2!3d-6.8877487!4d107.6154192!16s%2Fg%2F11rg2qz4t1!19sChIJ_yV6CVbmaC4RA6XtqYDFYoU?authuser=0&hl=id&rclk=1","Warteg Monggo Mas Berkah Jaya","","","","","Tegal","·","","Jl. Dipati Ukur No.96","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uuf3bLNJMBxYlncXdws0hg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=78.92604&pitch=0&thumbfov=100","","Makan di tempat","Bawa pulang","","","·"
"https://www.google.com/maps/place/Warteg+Azzah/data=!4m7!3m6!1s0x2e68e65caa0cf033:0xcab986f69ae4edd3!8m2!3d-6.8973075!4d107.6037231!16s%2Fg%2F1pzsk1yvn!19sChIJM_AMqlzmaC4R0-3kmvaGuco?authuser=0&hl=id&rclk=1","Warteg Azzah","3,4","(5)","","","Tegal","·","","·","Jl. Cihampelas No.207","Buka","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hn-I_slfy2p67KKLs-4ubA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=264.59674&pitch=0&thumbfov=100","","Makan di tempat","Bawa pulang","","· Tutup pukul 22.00","·"
"https://www.google.com/maps/place/Warteg+Rizki+Jaya/data=!4m7!3m6!1s0x2e68e655ef30b96b:0x95ba99243a190f4e!8m2!3d-6.8877599!4d107.6163653!16s%2Fg%2F11t49zzvlk!19sChIJa7kw71XmaC4RTg8ZOiSZupU?authuser=0&hl=id&rclk=1","Warteg Rizki Jaya","5,0","(2)","","","Restoran","·","","Jl. Tubagus Ismail Dalam No.34","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Lml814SpU5tZa244Bg91Ig&cb_client=search.gws-prod.gps&w=80&h=92&yaw=288.39456&pitch=0&thumbfov=100","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat tidak terlalu luas tapi makanan ber variasi enak oke""","","","",""
