"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","AJB7ye","AJB7ye 2","doJOZc","W4Efsd 6","A1zNzb href","J8zHNe","bbPy1","M4A5Cf","ah5Ghc 2"
"https://www.google.com/maps/place/Cups+Coffee/data=!4m7!3m6!1s0x2e68e64936bd63ef:0xe1ec5e75b328b880!8m2!3d-6.9024931!4d107.613762!16s%2Fg%2F11bbw_yf1s!19sChIJ72O9NknmaC4RgLgos3Ve7OE?authuser=0&hl=id&rclk=1","Cups Coffee","4,4","(2.009)","Kedai Kopi","·","·","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfdotH5g4iRxDvDu9otAJQ_9mfeJnK50ASvhuVZkyjLYN1a7iIjz2pnx2BQqs3BBf_LWGFL-QG73WEibBkmhytlnnwkmm0dylSMvO92LgQ5IfRmNC_bzpdFaz1nMLJcIP7ooyr=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pesan matcha dreamy latte, ada topping burnt marshmallow yang unique.""","·","Rp 25–50 rb","","Jl. Trunojoyo No.25","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiYndfeWYxcxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=PzX3adjCBvegseMPjKqa0QE&ei=PzX3adjCBvegseMPjKqa0QE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Sl_oo_w+Coffee+%26+Cocktails/data=!4m7!3m6!1s0x2e68e7746e308683:0xa210d03db7adae5f!8m2!3d-6.9036394!4d107.6007938!16s%2Fg%2F11lnmrrjtp!19sChIJg4YwbnTnaC4RX66ttz3QEKI?authuser=0&hl=id&rclk=1","Sl_oo_w Coffee & Cocktails","4,7","(60)","Kedai Kopi","·","Jl. Dr. Otten No.1","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOZA4d16xkBj1tgh9BUaXIuFgJPngYENBa3e-LY6874XOY-g7usT5fVBTx5GWSbFnUO5vLQkdEMRzhO3qM4r8Iejap8Dsxl8WGoOD0uGbIUds4jOC7tHy5FosfxDn7eTsx5fc=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat nya cozy, estetik, untuk yg suka fotofoto pas banget inii!!""","·","Rp 25–50 rb","","","","","","",""
"https://www.google.com/maps/place/Ruckerpark+Coffee+and+Culture/data=!4m7!3m6!1s0x2e68e6411bd1a321:0xf1cad61728bdb7b5!8m2!3d-6.9051945!4d107.601412!16s%2Fg%2F11df6fvs_8!19sChIJIaPRG0HmaC4Rtbe9KBfWyvE?authuser=0&hl=id&rclk=1","Ruckerpark Coffee and Culture","4,6","(1.036)","Kedai Kopi","·","Jl. Dr. Cipto No.24","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH9sw0xbx4aA0KRxzvAQWG2z3kHcGhaOhzUFT1qGmfsLCwb4NBFs3KKOueY5l1j82yRHS1GmeCxeu0Xtc1w2_QVc3zwQiFtxrjnZFagJeFl_8Tluzwcl7BVcMIptqMr66_aUATmVxQ4YmU=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cozy buat hangoutttt enak banget kopinya""","·","Rp 50–75 rb","","","","","","",""
"https://www.google.com/maps/place/matesa+coffee,+roaster+and+workshop/data=!4m7!3m6!1s0x2e68e7588af071e5:0x87494fd3a530a196!8m2!3d-6.9076092!4d107.6205117!16s%2Fg%2F11m8b3pw83!19sChIJ5XHwiljnaC4RlqEwpdNPSYc?authuser=0&hl=id&rclk=1","matesa coffee, roaster and workshop","4,7","(37)","Kedai Kopi","·","Jl. Cakranegara No.1","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHbBf-Q8WBMh6iWzNUpiSX2-lAKELrdT_GJB9hClwGxzU5Lg08oCVEr_5PjhDDf7cWB5guoyxwSsldAxcR4qG3wdHcbURyUWyJ3JRgJlF8YgJIfb-1yUp26HqS4TtqnStT2Oh69=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopinya wuenaaak""","","","","","","","","",""
"https://www.google.com/maps/place/EduPlex+Skill+Space/data=!4m7!3m6!1s0x2e68e651b41be967:0x770562c3863b0ff2!8m2!3d-6.8966264!4d107.6131254!16s%2Fg%2F11byyrssdp!19sChIJZ-kbtFHmaC4R8g87hsNiBXc?authuser=0&hl=id&rclk=1","EduPlex Skill Space","4,4","(2.061)","Ruang Kerja Bersama","·","Jl. Ir. H. Juanda No.84","Tutup","· Buka Sen pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-iCLZkVjkLm3fj4konZm5-AcYikzFH86-q9jCv0J05l1Zw-mxKs4uGCpurck86MeKFCPbHl5uiBZEEXy7DYWRR8Yj5vMUvdlCj_-AskEgx1EpbLCc5D9dR8JcBbCk31dSVVI=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""cocok buat nugas, wifinya perjam.""","","","","Kafe untuk tempat nongkrong","","","","",""
"https://www.google.com/maps/place/Kopi+Diaboli+at+Gulali+Cafe/data=!4m7!3m6!1s0x2e68e64fd95e7723:0xb2540aff7cd7de0b!8m2!3d-6.8975612!4d107.6116623!16s%2Fg%2F11bzrg5t3p!19sChIJI3de2U_maC4RC97XfP8KVLI?authuser=0&hl=id&rclk=1","Kopi Diaboli at Gulali Cafe","","","Kedai Kopi","·","Jl. Badak Singa No.2","Buka","· Tutup pukul 22.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6sNUuGnDGTdDqfMIkNjoog&cb_client=search.gws-prod.gps&w=80&h=92&yaw=51.665104&pitch=0&thumbfov=100","","Makan di tempat","","","","","","","","·","Bawa pulang"
"https://www.google.com/maps/place/De%27cool/data=!4m7!3m6!1s0x2e68e7998d9ce6f3:0x9a73c634e7e7affb!8m2!3d-6.8972395!4d107.6080524!16s%2Fg%2F11jv00t3p3!19sChIJ8-acjZnnaC4R-6_n5zTGc5o?authuser=0&hl=id&rclk=1","De'cool","5,0","(4)","Kafe","·","Jl. Kb. Bibit Utara No.111","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmWRv3NuHeG2c64FBq9tQ7_iiJWiZfKtw7U3uAvKUmUZwafEfMUuclDZk3CfCFqUrpEFljpSjO7ncwZc-NVC0J4kr1dEnKrN2xWWKHNUleMfgaJ1q2ot1IhhnI_0JDaJnoUk8=w122-h92-k-no","","Makan di tempat","","","","","","","","·","Bawa pulang"
"https://www.google.com/maps/place/Sawo+Coffee+Rontgent/data=!4m7!3m6!1s0x2e68e76976c7a1b3:0x2dfa6510f9e9abf1!8m2!3d-6.9030642!4d107.5993212!16s%2Fg%2F11pkjdhpsb!19sChIJs6HHdmnnaC4R8avp-RBl-i0?authuser=0&hl=id&rclk=1","Sawo Coffee Rontgent","4,6","(203)","Kedai Kopi","·","Jl. Rontgent No.4","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1QCg-ARQKBqOomkJ33wDlWt3Jf-RrztweEIbcsF3c6LHgoJ_Ao7AVc4fgsp3n1MnWpRw7g23AfpnOm4s95UYNfelw_MTR6gp5ZdCZXfDbu9dWtW561hXgyRDPueugXw6J7aMu=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pesan hot latte, kopinya enak dan harganya cukup terjangkau.""","·","Rp 25–50 rb","","","","","","",""
"https://www.google.com/maps/place/Kartika+Sari+Dago/data=!4m7!3m6!1s0x2e68e64fd413b4b3:0xe0b4c516e6e5789a!8m2!3d-6.8974761!4d107.6122326!16s%2Fg%2F11cmc42j9d!19sChIJs7QT1E_maC4Rmnjl5hbFtOA?authuser=0&hl=id&rclk=1","Kartika Sari Dago","4,6","(3.965)","Toko Roti","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNelQ1BLcA6zbwsXHWbtaKuiihfbiTB77swZ77CrL9nMBO1u8MH4xw6J5OeC8oaRn6JF5f4v2kANZghChRHTzCYNv3mqpxKN5OqbvtWwjB3vYAf9ZRhvNaUsdG7MAien-HJ_aN=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Juleha enak..jahe lemon honey..""","·","$$","","Jl. Ir. H. Juanda No.85-87","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjbWM0Mmo5ZBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=QTX3aZ3jGpOUseMPrrep8Qg&ei=QTX3aZ3jGpOUseMPrrep8Qg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/kios+pak+aan/data=!4m7!3m6!1s0x2e68e7006f512e67:0x5ae8760e70679438!8m2!3d-6.8970202!4d107.610697!16s%2Fg%2F11mcl8dc97!19sChIJZy5RbwDnaC4ROJRncA526Fo?authuser=0&hl=id&rclk=1","kios pak aan","4,5","(2)","Kedai Kopi","·","Jl. Badak Singa","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-QAptZd41GvfvFZg1jmnr9umiotyvezmpcZDT1AmgAjUfSxSKkt1IJYlyD-K04zFLmY9VbQLfrMg5owJRx34iW7zxY4-rFkyfJ4eeW6OV59mcLhMUUqvhA1hL2ww0UPIXUI-T1Q=w163-h92-k-no","","Makan di tempat","","","","","","","","",""
