"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Cimol+C58/data=!4m7!3m6!1s0x2e68e72c33e72205:0x1a28990eb43ffdbf!8m2!3d-6.8948602!4d107.6102694!16s%2Fg%2F11qh58b7p0!19sChIJBSLnMyznaC4Rv_0_tA6ZKBo?authuser=0&hl=id&rclk=1","Cimol C58","5,0","(5)","","","Restoran","·","Jl. Gelap Nyawang","Tutup","· Buka Sen pukul 07.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEJBQoM79aR8Em2mabefpwUFFMCQPDmhaBQQuIjxaz8bp0HdtPh03ozp86tZ0z4WVxi3cZ787mjhLhroMhwfrQVrASs4SjUouecoDVaV9mfim_xEzjv3MbADEEgAmGMcSJZZ7bM=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""enakkk bgt dan murah cm 5k, pernah dibonusin juga🥰.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFxaDU4YjdwMBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=sTX3acLnHMyqseMPopfXgQg&ei=sTX3acLnHMyqseMPopfXgQg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Pos+warung+dori/data=!4m7!3m6!1s0x2e68e7002465b9f3:0x259fd2fe261aca81!8m2!3d-6.8866165!4d107.6057085!16s%2Fg%2F11mkb11nw1!19sChIJ87llJADnaC4RgcoaJv7SnyU?authuser=0&hl=id&rclk=1","Pos warung dori","5,0","(1)","","","Toko bahan makanan","·","4J74+974, Jl. Siliwangi Dalam 3 keluarahan, RT.07/RW.01","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEn5HWTSij_eYDCT2HUiCh7ZTtqJCV03DBe-YEEkkS1DrbOxrk1TSoMS-fZW6LYb2LtkjOPMiH_I5jPSTrgZrmM9beU4eQ63hTTooeYG7pfOI7YasgZkFFgbWD6vD8dnhc-4JI0FDrm62k=w80-h106-k-no","","","","","","","","",""
"https://www.google.com/maps/place/Toko+anugrah/data=!4m7!3m6!1s0x2e68e74d3338401f:0x7a87aaec5ca8e5d4!8m2!3d-6.8980593!4d107.610048!16s%2Fg%2F11s1s5z5ky!19sChIJH0A4M03naC4R1OWoXOyqh3o?authuser=0&hl=id&rclk=1","Toko anugrah","5,0","(25)","","","Toko bahan makanan","·","Jl. Cikapayang No.20","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFp5IZQIVpULLdDw-QOMn9msTiQnzlKCdhzVeu9JJyqwqksd_0VdEf3QcngLd0QMwW8mzCxX1PZ7jnukVj5gN6PnVM6oawyDKyUhXoAm3hbGTRX_ILsVyvGqT_RKMD7RBbswMXhHQDmBAKX=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Warung nya bersih dan ramah penjual nya""","","","","","","",""
"https://www.google.com/maps/place/Warung+%22makan%22/data=!4m7!3m6!1s0x2e68e654300f7b51:0x87af51f1ee6e7373!8m2!3d-6.8909561!4d107.6167674!16s%2Fg%2F1hm2h_tfj!19sChIJUXsPMFTmaC4Rc3Nu7vFRr4c?authuser=0&hl=id&rclk=1","Warung ""makan""","","","","","Jawa","·","Jl. Dipati Ukur No.53","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFUofiqKdcdUBBYaG-CjFbsTUn-kkFQYk_W1kFNBQ5vLVs6Lmjeor7z0I-klvKaNMUeQNAluQ0W4olgR34TcevuIfLtAZpv8mQzSIg3Y7EGTlvoDqRf6r7Mz0y8gMpR4urHjOHLuA=w80-h106-k-no","","Makan di tempat","","","","","","Bawa pulang",""
"https://www.google.com/maps/place/HokBen/data=!4m7!3m6!1s0x2e68e65b7958e72f:0x94573533921adf6f!8m2!3d-6.8931219!4d107.6055268!16s%2Fg%2F11r8c937p!19sChIJL-dYeVvmaC4Rb98akjM1V5Q?authuser=0&hl=id&rclk=1","HokBen","4,2","(345)","·","Rp 25–50 rb","Jepang","·","Ciwalk, LG Broadway Cihampelas Walk, Jl. Cihampelas No.160","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAETn-QvY4QusQpv1zrB7B7D_rUrFB5j8wN5UuzTl1Vj3RbN_8yfGTQWVY8rSgMnAKpe0VtseOODeO-6154qUYd-EYA3Sdy67lX4qHbqbGV1ATKTO_hO2j-x02dSK1r1zDO525FQqg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Beberapa menu ada yang kosong sehingga harus menunggu diantarkan ke meja.""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMTFyOGM5MzdwGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=sTX3acLnHMyqseMPopfXgQg&ei=sTX3acLnHMyqseMPopfXgQg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Gang+Nikmat/data=!4m7!3m6!1s0x2e68e7a95c0541f5:0x350c39dd86e1dc10!8m2!3d-6.9083888!4d107.6215594!16s%2Fg%2F11g0zt4hlm!19sChIJ9UEFXKnnaC4RENzhht05DDU?authuser=0&hl=id&rclk=1","Gang Nikmat","4,4","(1.483)","·","Rp 50–75 rb","Restoran","·","·","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHRA2qbig34Yxs33dMEfJM5LDIWdYHMKK6HLq72rezXQFKMCMOkY0PCo-dkj-fjRNNaiuFf2weRLf5jnt91W0rj4MwU8Ad6v-FkZqqhmAUPeVnlLBcmw2KLJLZnCsJMstw19q0=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, tempatnya nyempil, ada lantai atas dan bawah.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFnMHp0NGhsbRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=sTX3acLnHMyqseMPopfXgQg&ei=sTX3acLnHMyqseMPopfXgQg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Cihapit Gg. Masjid No.6","",""
"https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e68e65b82fbdd75:0x845b8f56592e7f86!8m2!3d-6.893206!4d107.605483!16s%2Fg%2F1thwlt1p!19sChIJdd37glvmaC4Rhn8uWVaPW4Q?authuser=0&hl=id&rclk=1","KFC","4,5","(1.510)","·","Rp 25–50 rb","Makanan Siap Saji","·","Cihampelas Walk, Mall Jl. Cihampelas No.160 Lantai 1 Expension","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFjLZt1tR5_34pwKUU_EWXng37XU6WXHySPYWkaAtGvssMXhLpkBSnFQE5cRnzvUHx4i4wdIZh-c4dYru35dh5MYhWrzY-eGoh0gmXxoYi_m70k8RUilRW6xGyfeC63VrwTTF03=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa ayam nya mantoeeeelll, cream soupnya juga enak banyak lagi""","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRod2x0MXAYAToDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=sTX3acLnHMyqseMPopfXgQg&ei=sTX3acLnHMyqseMPopfXgQg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Franchise restoran ayam goreng","",""
"https://www.google.com/maps/place/Restoe+kitchen+and+catering/data=!4m7!3m6!1s0x2e68e7dd8b68c305:0x8bd07d1105fbadf!8m2!3d-6.8963036!4d107.6084436!16s%2Fg%2F11whmmxt75!19sChIJBcNoi93naC4R37pfENEHvQg?authuser=0&hl=id&rclk=1","Restoe kitchen and catering","5,0","(4)","","","Katering","·","Jl. Pelesiran gang bp.marta No.82 56","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-fBbxzAtaAYpAEGOZ9LHp0E_NZhIpzdkC0OPpEgoO-XE4fUKROSALiFiNOij9za3WL8lZjJxyvJkSl80FDiPCX8pPYIw6ErKNs3B6QUW3oM8CPf1INOwwur0p9ZxyADzTdW15IQ=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menunya mantav , murah meriah wareg 👍😁""","","","","","","",""
"https://www.google.com/maps/place/Suara+Perut+-+Taste+of+Heaven/data=!4m7!3m6!1s0x2e68e65a5d10e30f:0xa7d0d5effec27b85!8m2!3d-6.8924885!4d107.6060896!16s%2Fg%2F11c1qrvctt!19sChIJD-MQXVrmaC4RhXvC_u_V0Kc?authuser=0&hl=id&rclk=1","Suara Perut - Taste of Heaven","4,8","(4)","","","Toko Makanan Alami","·","Jl. Kebun Binatang No.41","Tutup","· Buka Sen pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGX7WJjKHSQ5zDLyuykbviPEKKWu06gPABHTOhWt9ta97wzPNBELwybm_xeo2816UsC-DVIiL0XEcnT99ZbRPKlgUjepdq5_MhEyhqpKzddL3dTp6Bi5VUK_a7lMhcCk-l4rxOEDQ=w163-h92-k-no","","Pesan antar","","","","","","",""
"https://www.google.com/maps/place/Morenos/data=!4m7!3m6!1s0x2e68e64fd355696f:0x2c07eb65f15c1271!8m2!3d-6.8976554!4d107.6126224!16s%2Fg%2F11bc7r4j31!19sChIJb2lV00_maC4RcRJc8WXrByw?authuser=0&hl=id&rclk=1","Morenos","4,3","(10)","","","Es Krim","·","Jl. Ir. H. Juanda No.83","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHcpsbHJ14TZVmt1vKPwl5E5286u6gsxjixCvVBTsK7ZhTv8Uz229yyROtvywezOM_K2SYrkTpVBA_yYDXb5z61BlJmBCQ-NGgq-0weMY6djXLaFdVUWvpWaTImE9313gT2ueFeTA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa Gelatonya lumayan enak.""","","","","","","",""
