"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Indomaret+YPAC+Bandung/data=!4m7!3m6!1s0x2e68e6457ebdc155:0x9fb02b2a8cd3a0ad!8m2!3d-6.8996499!4d107.6093219!16s%2Fg%2F11dxb2zy6t!19sChIJVcG9fkXmaC4RraDTjCorsJ8?authuser=0&hl=id&rclk=1","Indomaret YPAC Bandung","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Tutor+Time/data=!4m7!3m6!1s0x2e68e64e19d220e3:0x4ac8d2120fd17746!8m2!3d-6.89779!4d107.61436!16s%2Fg%2F11gh1nflb6!19sChIJ4yDSGU7maC4RRnfRDxLSyEo?authuser=0&hl=id&rclk=1","Tutor Time","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Sabuga+ITB+Tamansari/data=!4m7!3m6!1s0x2e68e65804b1220d:0x98c22c812c9084d7!8m2!3d-6.887669!4d107.609261!16s%2Fg%2F11dxb2vt0x!19sChIJDSKxBFjmaC4R14SQLIEswpg?authuser=0&hl=id&rclk=1","Sabuga ITB Tamansari","Perhentian bus","","Rute"
"https://www.google.com/maps/place/STMIK+LIKMI/data=!4m7!3m6!1s0x2e68e651b6ac3fcf:0xf0117289781b0cfc!8m2!3d-6.89544!4d107.61299!16s%2Fg%2F11hd8hs7bh!19sChIJzz-stlHmaC4R_AwbeIlyEfA?authuser=0&hl=id&rclk=1","STMIK LIKMI","Perhentian bus","","Rute"
"https://www.google.com/maps/place/ITB/data=!4m7!3m6!1s0x2e68e64ff5f7eb6b:0x518a1d1d01f95203!8m2!3d-6.89834!4d107.6097!16s%2Fg%2F11s7_4cm96!19sChIJa-v39U_maC4RA1L5AR0dilE?authuser=0&hl=id&rclk=1","ITB","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Bandung+Dago/data=!4m7!3m6!1s0x2e68e6f894af6ab3:0x1d8f6cc19885d3ee!8m2!3d-6.8856318!4d107.6137928!16s%2Fg%2F11x5y7gg8x!19sChIJs2qvlPjmaC4R7tOFmMFsjx0?authuser=0&hl=id&rclk=1","Bandung Dago","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Kebun+Binatang+Bandung/data=!4m7!3m6!1s0x2e68e659b51c80b9:0x6f2fbe4ae1f35e9f!8m2!3d-6.88981!4d107.60799!16s%2Fg%2F11hd8hn354!19sChIJuYActVnmaC4Rn17z4Uq-L28?authuser=0&hl=id&rclk=1","Kebun Binatang Bandung","Perhentian bus","","Rute"
"https://www.google.com/maps/place/SMA+Negeri+1+Bandung/data=!4m7!3m6!1s0x2e68e651b29a9d8f:0x2b336b2c2d4d6f2a!8m2!3d-6.8954!4d107.61282!16s%2Fg%2F1jkyppj39!19sChIJj52aslHmaC4RKm9NLSxrMys?authuser=0&hl=id&rclk=1","SMA Negeri 1 Bandung","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Ganesa+1/data=!4m7!3m6!1s0x2e68e65a0d7259b5:0x38f784d4e1d05cba!8m2!3d-6.893368!4d107.609035!16s%2Fg%2F11b6cqhyyh!19sChIJtVlyDVrmaC4RulzQ4dSE9zg?authuser=0&hl=id&rclk=1","Ganesa 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Baltos/data=!4m7!3m6!1s0x2e68e64569d28b2f:0x72fc7fdc453de4f!8m2!3d-6.8986883!4d107.6087592!16s%2Fg%2F11x88l2c1v!19sChIJL4vSaUXmaC4RT95TxP3HLwc?authuser=0&hl=id&rclk=1","Baltos","Perhentian bus","","Rute"
