"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"https://www.google.com/maps/place/Goodwheel+Companion/data=!4m7!3m6!1s0x4472574029a0fa1d:0x2e88e5755db7495f!8m2!3d-6.8971603!4d107.6110916!16s%2Fg%2F11vpsdjwpq!19sChIJHfqgKUBXckQRX0m3XXXliC4?authuser=0&hl=id&rclk=1","Goodwheel Companion","5,0","(4.195)","","","Restoran","·","Jl. Badak Singa No.15","","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwNQoFGxgLXZHlUK8f4ZR_-743zS3r08AZZu2-z-zfwX55bk6xXfhx0sdQp_qj3dxE8CxtMxR9MdzYTNjSrxWKO25WsZ6Cc9jxAz61-fAVOmZfzGwXqNP11NeqFXqNW8dD0jdgurvDAaHm=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""enak brisketnya topp dan chezy brisket pizzanya juga""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2cHNkandwcRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=JUv3aY-rEri74-EPmIPR8Qs&ei=JUv3aY-rEri74-EPmIPR8Qs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Magic+Oven,+RS+Borromeus/data=!4m7!3m6!1s0x2e68e651097b6c0f:0x3ad0fde9ae8731b7!8m2!3d-6.8933698!4d107.6139982!16s%2Fg%2F11b6s_xht6!19sChIJD2x7CVHmaC4RtzGHrun90Do?authuser=0&hl=id&rclk=1","Magic Oven, RS Borromeus","4,5","(100)","·","Rp 1–25.000","Pizza","·","RS Borromeus, Jl. Ir. H. Juanda","","Tutup","· Buka Sen pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHl5INFVxO41Gk2XNlHl2eJjFVJ7Mb_DZNgMAUuhfFITDqRy3dzq67mUUKOKIidbxsE05_9OX4NnrN7Zo8vRAYrGnaEPXtZvISon8Oa3Den0BsgDAkMYu7-Ih4_ABOgyVayK62wWA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enakk, terutama brownies kering dan garlic breadnya""","","","","",""
"https://www.google.com/maps/place/Jawara+Pizza/data=!4m7!3m6!1s0x2e68e659ad315d4f:0x1a64e0d13b5a9100!8m2!3d-6.889722!4d107.607354!16s%2Fg%2F11gf60k249!19sChIJT10xrVnmaC4RAJFaO9HgZBo?authuser=0&hl=id&rclk=1","Jawara Pizza","5,0","(1)","","","Pujasera","·","4J64+4W9","","Tutup","· Buka Sen pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHh0n9VaRja8xWgEfcNsEd3G2LnabuP1UrJMzhDFjX_A11wWVPKiDaxprKR8YWvXqRSrB5rJmF6kqSvZ6ECKjr9pere5_xLZgvnI0MsSqYGxIaMDbcw4nJgVkM15huROEzT8tuc=w80-h153-k-no","","Makan di tempat","Bawa pulang","Pesan antar","","",""
"https://www.google.com/maps/place/Rasala+Pizza+Panjang/data=!4m7!3m6!1s0x2e68e7006d1877b1:0xf056609872b001ab!8m2!3d-6.898293!4d107.6181979!16s%2Fg%2F11w1xcggf4!19sChIJsXcYbQDnaC4RqwGwcphgVvA?authuser=0&hl=id&rclk=1","Rasala Pizza Panjang","4,6","(13)","","","Stan Pizza","·","4J29+M83, Jl. H. Hasan","","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmkdtTogj5XA9yAQbmyvhexmZSVzEwzS9PGtbcKeEJguIJCxnktZnSt0g13uCmiNXPmnm94zmLVlPfLrUz0P00geqTWH2dQ9PtEi0n9D7k_SRU5Jk0a7pUYoE7WC9bzk9k6f-Y=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Gatau males pengen","pizza","""","","",""
"https://www.google.com/maps/place/PIZZENG+Fried+Pizza+%28Pizza+Goreng%29/data=!4m7!3m6!1s0x2e68e654085f376d:0x69033cde961b7fe2!8m2!3d-6.8917645!4d107.6165012!16s%2Fg%2F11ddxgq323!19sChIJbTdfCFTmaC4R4n8blt48A2k?authuser=0&hl=id&rclk=1","PIZZENG Fried Pizza (Pizza Goreng)","4,3","(4)","","","Kafe","·","Jl. Teuku Umar No.15","","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_8IK8PEgn8JywxvwNuZOhc935iFNYXc7PISd5_M7_Qm4qtJlar94-yqPw2k-JW9Tqfp7W3KVcYuaDwsdjLZy8twtz4usyAXBfw3excQgF01nfKoPMao3zEuYw-dL6SGovK9HC=w80-h106-k-no","","Makan di tempat","Bawa pulang","Pesan antar","","",""
"https://www.google.com/maps/place/Toko+Makanan+118/data=!4m7!3m6!1s0x2e68e7e96a6d731f:0xba0a0624bda6289a!8m2!3d-6.8862252!4d107.6157751!16s%2Fg%2F11p5tdx676!19sChIJH3NtaunnaC4RmiimvSQGCro?authuser=0&hl=id&rclk=1","Toko Makanan 118","5,0","(21)","","","Produsen makanan","·","·","Jl. Tubagus Ismail I No.18","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfB1N_c6_SkTWbIZXWpZj_M1Of_PI9Ll81VxVzIt5_pzzH4TCe3R08yUfwyNgxnp66V4Z0mw6MBZ4are7Ji97lHisvXkTsEmIYLuSj8g9DElkmDfVNeUIyR6SuvAR4UNrI0u0l=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Pizza","original resep dari chef asli Italia.""","","",""
"https://www.google.com/maps/place/Kafe+Kebon/data=!4m7!3m6!1s0x2e68e64d8d0874a9:0x7333f721edf65c70!8m2!3d-6.8976269!4d107.6170349!16s%2Fg%2F1td8v9l5!19sChIJqXQIjU3maC4RcFz27SH3M3M?authuser=0&hl=id&rclk=1","Kafe Kebon","4,6","(1.096)","·","Rp 50–75 rb","Pizza","·","·","Jl. Bagusrangin No.7","Buka","· Tutup pukul 22.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2bE75NoDWPu16kQIwmv7Zf2mdx5_ap3D10krIDY-bgGb0I1gGttEg4g97N8i3uZ_VaqMs5uaDBb5MF8vHWFQWNBMDLUqFwZ3ry8nXz4MrEt3mfRrdQYl1dedWXD_pZaO8aIJzYoUABZY=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pizzanya tipe yang tipis dan crunchy gitu, toppingnya nggak pelit, enak!""","","","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRkOHY5bDUYADoDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Kkv3aemBE4Chg8UPjJXHyA4&ei=Kkv3aemBE4Chg8UPjJXHyA4&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Noah%27s+Barn/data=!4m7!3m6!1s0x2e68e6562c79e6b3:0xb0cee12d0c494466!8m2!3d-6.8870532!4d107.6127593!16s%2Fg%2F11b7k5b3yg!19sChIJs-Z5LFbmaC4RZkRJDC3hzrA?authuser=0&hl=id&rclk=1","Noah's Barn","4,6","(6.103)","·","$$$","Pizza","·","Jl. Dayang Sumbi No.2","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_j8pQpP8luBTYGGlzA97kuRvboX39UMacQZHRi6PbUyNSDqkyB4PQoB7FFXMfBBc8MY-DNm6Kar3loKIAmfcUBlY42RxM5MJnAwjyW7zUARlIDUMAgmXHWfbchHFF0oGM4S2qDeyQ31EB=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyantai & makanannya lumayan enak terutama pizza2nya""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiN2s1YjN5ZxgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Kkv3aemBE4Chg8UPjJXHyA4&ei=Kkv3aemBE4Chg8UPjJXHyA4&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Mike+Pizza+Bandung/data=!4m7!3m6!1s0x2e68e7fe2b9b8c07:0x3bcd6056ecb38f1c!8m2!3d-6.8844106!4d107.5970943!16s%2Fg%2F11vsxpz43f!19sChIJB4ybK_7naC4RHI-z7FZgzTs?authuser=0&hl=id&rclk=1","Mike Pizza Bandung","4,7","(293)","","","Italia","·","·","Jl. Sirnamanah No.33 A","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHJsUUB0r3uU_A8GxMGFpRhdm0XyMBU79VQ7Nz1rfnYKfZssQHerS3UbP-7a4tM8GzSlJk9sR44ZuGwNwyKswMn7VsCyV1nlftXzfUEW0bjjC40ZbIjA_VXs1K6TkeTU45XOZnsHdj9Jz62=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","pizza","dan pasta nya super enak banget.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2c3hwejQzZhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Kkv3aemBE4Chg8UPjJXHyA4&ei=Kkv3aemBE4Chg8UPjJXHyA4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Bright+Cafe/data=!4m7!3m6!1s0x2e68e656e2b36fff:0xc8b943320c526c79!8m2!3d-6.890208!4d107.6128314!16s%2Fg%2F11b60vb43d!19sChIJ_2-z4lbmaC4ReWxSDDJDucg?authuser=0&hl=id&rclk=1","Bright Cafe","4,5","(315)","·","Rp 25–50 rb","Kafe","·","Jl. Ir. H. Juanda No.139","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHF4plkDw_WC1BPMxK1qn2gOhuWlZeuBodhD6eiaUnsqeNxMVw85jqESRgqyTNxD6M59_ZwSSV0-uL2cj-tqaZdoTmjz_jiNpyARkpRUd7FeuMgNxUwh8EjR6IzjVZ8Xs84abw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Secara subjektif, makanan / minumannya mungkin bukan yang 'top notch'.""","","","","",""
