"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 6"
"https://www.google.com/maps/place/Yomart+Xpress+Stasiun+Selatan/data=!4m7!3m6!1s0x2e68e7003da9206d:0xce970b83a3ec963c!8m2!3d-6.9147178!4d107.6026991!16s%2Fg%2F11y12h421g!19sChIJbSCpPQDnaC4RPJbso4MLl84?authuser=0&hl=id&rclk=1","Yomart Xpress Stasiun Selatan","4,7","(43)","","","Minimarket","·","Jl. Stasiun Timur","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEpdUOHf1NiOHU8G2JCTos2HBATFG6MDGqOVAFgctHBSsCm71BH-aFSFvrLC217XKay0INaJgfGV83jC9VAcy8z0Pq5QgJsVFtCximi0M2iJyV1YVu9aU32YRz3Dif6QObmqW2afKZxSDg=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya Enak enak dan Murah, Rekomen Bolen lilit + Ice Coffee nya.""","","","","","","",""
"https://www.google.com/maps/place/Zona+Merah+%28Zomer%29+Sukajadi/data=!4m7!3m6!1s0x2e68e68b3ccdb0cf:0xefdda62ebb1746af!8m2!3d-6.893525!4d107.5969941!16s%2Fg%2F11cn78n6zy!19sChIJz7DNPIvmaC4Rr0YXuy6m3e8?authuser=0&hl=id&rclk=1","Zona Merah (Zomer) Sukajadi","4,2","(3.106)","·","Rp 25–50 rb","Sunda","·","Jl. Sukajadi No.57","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7lOqzbK0lvRRM9BqZxKrFHEZj146NS_L9-6SIv0MZSSQqVjZCO7xw8IaGlm9EkszLlbzuSDzyZhF07eu04WQZnOJgJ-rzUt6oWf5ZQ0oqgOZZQkCweM9Ib1ch8uvJ8qDd9Fmm=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak cuman nggak sesuai tag line harganya.. harganya harga resto""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjbjc4bjZ6eRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Njb3aYXgJ-OmseMPrZqoyAE&ei=Njb3aYXgJ-OmseMPrZqoyAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","","Masakan Sunda di tempat makan simpel"
"https://www.google.com/maps/place/Haus!+Ciumbuleuit/data=!4m7!3m6!1s0x2e68e7967d0951b9:0x271a8405588bc06!8m2!3d-6.8797136!4d107.6033863!16s%2Fg%2F11s8lhy0sz!19sChIJuVEJfZbnaC4RBryIVUCocQI?authuser=0&hl=id&rclk=1","Haus! Ciumbuleuit","4,1","(54)","","","Es Krim","·","4JC3+496","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSez8VZLF0J2CRvyNQXRCxPaFZyUaR1PZDQTtFRAZnop25uL2bYSZGZoSBQ3R9H9OSzzj_bPpvjzGOaZ4-ZpvGa-oDKGRlXAZdSuZxwTCIrYVLLW6W-9ez0Xg4JLurHroXR2OTmw=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Minuman enak segerr,makanannya enak jugaa puas pokonyaaa.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzOGxoeTBzehgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Njb3aYXgJ-OmseMPrZqoyAE&ei=Njb3aYXgJ-OmseMPrZqoyAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/HokBen+-+BEC/data=!4m7!3m6!1s0x2e68e63807e01ff9:0xa5793bd9af8fb8f4!8m2!3d-6.9087839!4d107.6091645!16s%2Fg%2F1hd_59fxw!19sChIJ-R_gBzjmaC4R9LiPr9k7eaU?authuser=0&hl=id&rclk=1","HokBen - BEC","3,5","(289)","·","Rp 50–75 rb","Jepang","·","Bandung Electronic Center, Jl. Purnawarman No.7-11","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKdJC2Rhm2SeZXmhTYQAtcTH6SYguYB6-XGIfaU1LJPtpg4AKm3T5YQMDRU1N7uL-NyL-hb4knCR5GSbROyIbXU4HieFR4pWiVSV5MXsA30ff13HxhpTdM4s41w37dQXUb3sCcaQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga affordable tergantung pilihan.""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhkXzU5Znh3GAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Njb3aYXgJ-OmseMPrZqoyAE&ei=Njb3aYXgJ-OmseMPrZqoyAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/RM+Alas+Daun+-+Bandung/data=!4m7!3m6!1s0x2e68e7b48de20921:0xdcb37807c078ca1b!8m2!3d-6.9017291!4d107.6251484!16s%2Fg%2F11b66c_ttg!19sChIJIQnijbTnaC4RG8p4wAd4s9w?authuser=0&hl=id&rclk=1","RM Alas Daun - Bandung","4,3","(10.984)","·","$$","Sunda","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGkWVvTIOQMp_fVaK4MI6_K1x94-fO3Gie1sliYLrT6ASJnGYsTA-NvjxqRomAjNRdeb1piu0FQBxuZg2kw2pNhWpd3-bGS461oVTu9uQO1v0qYzfN7AyMOyvMY9vfH4ICoPVo=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ikan bakar dan sambel nya enak banget, tempatnya sering penuh""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNjZjX3R0ZxgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Njb3aYXgJ-OmseMPrZqoyAE&ei=Njb3aYXgJ-OmseMPrZqoyAE&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","","","Jl. Citarum No.34"
"https://www.google.com/maps/place/Nasiriweuh/data=!4m7!3m6!1s0x2e68e7b1b26f33e5:0x4cf3d077be297524!8m2!3d-6.9068773!4d107.6484797!16s%2Fg%2F11ft17sxv1!19sChIJ5TNvsrHnaC4RJHUpvnfQ80w?authuser=0&hl=id&rclk=1","Nasiriweuh","5,0","(1)","","","Restoran","·","Jl. Sukarame Dalam I No.39","Buka","· Tutup pukul 22.00","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","Makanan siap saji","rekomended ueenaakkk tenan jos""","",""
"https://www.google.com/maps/place/Warung+Nasi+Ampera+-+Kebon+Kawung/data=!4m7!3m6!1s0x2e68e63e893ce70b:0xda3717cef79d2892!8m2!3d-6.9123946!4d107.6012345!16s%2Fg%2F1vfhkl0b!19sChIJC-c8iT7maC4Rkiid984XN9o?authuser=0&hl=id&rclk=1","Warung Nasi Ampera - Kebon Kawung","4,0","(1.695)","·","Rp 25–50 rb","Sunda","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFbUmbuJPFCRhcTuTHvCHFVVOdm5i76ys37dKfUavPl--us9iBQiAa5b5C5ijTpYNPh8K_TJSefzIoJieMzT7cujEfu1LP5DbjCeydrG1sy2qAQQg55Q7BiB0m_5IIWhfNMMf0yQA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","Makanan","enak, sayuran fresh, pilihan lauk banyak, sambalnya enak.""","","Jl. Kebon Kawung No.28"
"https://www.google.com/maps/place/Richeese+Factory/data=!4m7!3m6!1s0x2e68e7d2d8d37c17:0x8697db6db9cf4d13!8m2!3d-6.920115!4d107.6221434!16s%2Fg%2F11b62yjyvd!19sChIJF3zT2NLnaC4RE03PuW3bl4Y?authuser=0&hl=id&rclk=1","Richeese Factory","4,3","(2.681)","·","Rp 25–50 rb","Makanan Siap Saji","·","Jl. A. Yani No.154 - 156","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHUDx20IpzlTv_aYFEuD63RUdfaN0xfG7xFpzK5wHfKRugwXx7OrxqdYgL1GAXz_NIe5-yPnMUKjoNK4QUsiOmm71-ZRkc6wfdoP2ta-KEopteTdqYP6ndW3VmR_VbS5_Xme2Ma=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan nya ramah,","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNjJ5anl2ZBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Njb3aYXgJ-OmseMPrZqoyAE&ei=Njb3aYXgJ-OmseMPrZqoyAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","cepat",",","",""
"https://www.google.com/maps/place/HokBen+Express+-+Stasiun+Bandung/data=!4m7!3m6!1s0x2e68e63c17c2655d:0xf4787b8cd0d201c!8m2!3d-6.9137978!4d107.6021968!16s%2Fg%2F11b808mngd!19sChIJXWXCFzzmaC4RHCANzbiHRw8?authuser=0&hl=id&rclk=1","HokBen Express - Stasiun Bandung","4,2","(227)","·","Rp 50–75 rb","Makanan Siap Saji","·","·","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEKOdHlkfZPLEkiyWwI2WoMUgCAmwnnP-p9ggU48tILMQAXNOm2YRCpdMTnOXLH-pRxxF1Lw3vgqjxezL39A5zrBu_wf1HVphpuwlmWszwqGEdCb-mnEGTd9ReiBUWDHJI1FyQhEQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masakan nya enak banget tempat nya bersih banget""","","","","","","","Jl. Kebon Kawung"
"https://www.google.com/maps/place/Gofood+Alkana/data=!4m7!3m6!1s0x2e68e7362eb4bb53:0x1bf26e1a25d41e61!8m2!3d-6.8729091!4d107.5779581!16s%2Fg%2F11fq9fvcgb!19sChIJU7u0LjbnaC4RYR7UJRpu8hs?authuser=0&hl=id&rclk=1","Gofood Alkana","4,8","(9)","","","Restoran","·","4HGH+R5P, Jl. Cijerokaso","Tutup","· Buka Sen pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFANkOeAXgPBEYCaxxzjtvn6-uVrySBqolHJvievKqywmG4GUi9epMWKs3WVoJSRr6J2GeHdDvMu0O80YcapN-hLHcRbMSgypg7MyR3oR8FbPedAfrlVZweUvP9bXW3-wVfqOE=w122-h92-k-no","","Makan di tempat","","","","Bawa pulang","Pesan antar","",""
"https://www.google.com/maps/place/Toserba+Griya+Pahlawan/data=!4m7!3m6!1s0x2e68e7a53f9587eb:0xb6e99b604f2b4d44!8m2!3d-6.9001525!4d107.6345048!16s%2Fg%2F1tfttd0l!19sChIJ64eVP6XnaC4RRE0rT2Cb6bY?authuser=0&hl=id&rclk=1","Toserba Griya Pahlawan","4,5","(4.846)","","","Toko Swalayan","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHDmGxterd-vJjA90jx8UcGhnTmHUuTHJWRcXRQO7aAy1uoDrkPvjPWRpnCCwHMQB5tW_YrRwb8TRlnP5fVqUZq-er9fF_kwNWU9hrHtqvN-nkd9BitbQxT1wDnXCXBMxRd9_Wv=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya terbaik, barang lengkap, buah2an, daging dan sayurnya fresh.""","","","","","","","Jl. Pahlawan No.10 - 15"
