"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 6"
"https://www.google.com/maps/place/Reborn+ARG+Fitness/data=!4m7!3m6!1s0x2e68e700388b3c0d:0xff09924a62693e0a!8m2!3d-6.899361!4d107.630238!16s%2Fg%2F11z2xycytc!19sChIJDTyLOADnaC4RCj5pYkqSCf8?authuser=0&hl=id&rclk=1","Reborn ARG Fitness","5,0","(1)","Tempat Fitness","·","","Jl. Surapati No.161","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MtlL0-ZoNbzDSTisWGbaYA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=335.6249&pitch=0&thumbfov=100","","","","",""
"https://www.google.com/maps/place/Eva+Saputra+Studio/data=!4m7!3m6!1s0x2e68e65f9cab31b1:0x18746eb3c1ae58e8!8m2!3d-6.8879721!4d107.6004081!16s%2Fg%2F11ggvsffqd!19sChIJsTGrnF_maC4R6FiuwbNudBg?authuser=0&hl=id&rclk=1","Eva Saputra Studio","4,7","(23)","Tempat Fitness","·","","Jl. Jurang No.41","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfoGVrFqPVTchs4j-o0ctGVf5E4kK3xcd0g49Q39Qw5YH7m9JXh0lqpEo-h_gquHMLqpCK7uo_pt4mJyOCr2Fypw8JLUHtLCauX2bJjJlCuI5wUA38WPHnDLqYof8NsHyu59Ss=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Homey bgt suasana'a..ownernya baik bangeeeet..member2nya juga kompak.""","","","· Buka Sen pukul 08.00"
"https://www.google.com/maps/place/FTL+Gym+Ahmad+Yani+Bandung/data=!4m7!3m6!1s0x2e68e7b9de4329ed:0x2a23720a2787a66!8m2!3d-6.9168978!4d107.628408!16s%2Fg%2F11whwczn0n!19sChIJ7SlD3rnnaC4RZnp4oiA3ogI?authuser=0&hl=id&rclk=1","FTL Gym Ahmad Yani Bandung","4,6","(575)","Pusat kebugaran","·","","·","Jl. A. Yani No.254","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFa-6585NtqMDitoCXW8TC-UGlknv7OeWMgUqF-5cF0aTglnUmR5l-kpOPqnAkJUEP-QnLys0HrzGcpy9Tuj05i0udX5er9adhyoy0NQtT-G3lt3Mwj6Gf8pxm83u2YcdVhIOcCuA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","nya nyaman bersih dan komplit pelayanan nya bagus ramah""",""
"https://www.google.com/maps/place/FIT+HUB+Lengkong+Kecil/data=!4m7!3m6!1s0x2e68e7968fd1d86f:0x521215c4fcfba40c!8m2!3d-6.9235702!4d107.6149533!16s%2Fg%2F11pykxv0v1!19sChIJb9jRj5bnaC4RDKT7_MQVElI?authuser=0&hl=id&rclk=1","FIT HUB Lengkong Kecil","4,5","(565)","Pusat kebugaran","·","","·","Jl. Lengkong Kecil No.52","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFbm53f8HdU_yCIBru2eqt2_PqFCmBSg4XTSJQhxsmXeffxnJEDKCl0qfBgyKAw3Z_l1cBG4uNRy9IdSKnuFUICesN7q1KxolaDopglGX9j8iO7633dKkRuIR4SnZpQC5gDmFOt=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya sempit both","gym","floor dan area toilet-ganti baju.""","· 21.00 · Buka Sen pukul 05.00"
"https://www.google.com/maps/place/Ganesha+Gym/data=!4m7!3m6!1s0x2e68e7c0e8e4e21f:0x5bb9380cc3df2a01!8m2!3d-6.9096998!4d107.6172912!16s%2Fg%2F11s34xn_s1!19sChIJH-Lk6MDnaC4RASrfwww4uVs?authuser=0&hl=id&rclk=1","Ganesha Gym","4,2","(72)","Pusat kebugaran","·","","·","Jl. Aceh No.50","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEsGS_wdBH2E2iagt_h6s8SwH5YCokUKy7CCxS_nIpcrLsyxkUeb67u2kUzQMZjV0dB-g02bUh6xUsdtXffeiLvRsE17CnEfew82CMTxv3Wgbf4luM_2UMLq8oUWvtbslqfX3kE=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""wow","tempat gym","ini bagus sekali, bermanfaat banget untuk kesehatan tubuh""","· 21.00 · Buka Sel pukul 10.00"
"https://www.google.com/maps/place/Dolphin+Fitness+Center/data=!4m7!3m6!1s0x2e68e6ed0532749d:0x3791476c0a3adbb!8m2!3d-6.875057!4d107.600097!16s%2Fg%2F1tm1mkxm!19sChIJnXQyBe3maC4Ru62jwHYUeQM?authuser=0&hl=id&rclk=1","Dolphin Fitness Center","5,0","(2)","Tempat Fitness","·","","Jl. Hegarmanah No.9-15","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Wsy45jsZagBXDIpdr1egnQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=131.91797&pitch=0&thumbfov=100","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mau member disitu""","","",""
"https://www.google.com/maps/place/BLUE+COMMANDO+MUAYTHAI+JUANDA/data=!4m7!3m6!1s0x2e68e735a2cb25cf:0x330b0dfeb4915345!8m2!3d-6.8776214!4d107.6174103!16s%2Fg%2F11yq8c8ts_!19sChIJzyXLojXnaC4RRVORtP4NCzM?authuser=0&hl=id&rclk=1","BLUE COMMANDO MUAYTHAI JUANDA","5,0","(21)","Gym Tinju Muay Thai","·","","Jl. Ir. H. Juanda No.342","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHVtIWiLAorBQWfvdk6QLF9ld88XbjKid9u-DejOag25SYV9NLQu5didz8AWp0LmgQ4nb8B-wpAzX2Sr37VSgigXo9cJz5XE5yrGOQt2Cbc6qM2yYqq1Pbn6d9Ui0Ia6oGZ0UlU_tGWUoFA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya luas bersih dan nyaman bgt, coach nya juga seruuu""","","","· Buka Sen pukul 09.00"
"https://www.google.com/maps/place/Rdr+Fitness/data=!4m7!3m6!1s0x2e68e7ab8b913ec9:0x5a792939951abd66!8m2!3d-6.8914432!4d107.6255739!16s%2Fg%2F11hf1_bd0k!19sChIJyT6Ri6vnaC4RZr0alTkpeVo?authuser=0&hl=id&rclk=1","Rdr Fitness","4,6","(14)","Tempat Fitness","·","","·","Jl. Sadang Serang No.13","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGY40wKk4M2qcdEVzWSP7OQWGHFjU4W8RE5QY_lVbnLqXuMBpxmw-jNnnUjYKaZTobZFD77R-3eibvzeVYt8e3eVfuNGfRgA3zaaXGml4wkOnxOj_TuA0fU4XYb_3Z0SEzCnKU=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya enak, orangnya ramah ramah, affordable joss pokonya""","","","· Buka Sen pukul 07.00"
"https://www.google.com/maps/place/FIT+HUB+Surya+Sumantri/data=!4m7!3m6!1s0x2e68e7c7f6ace9dd:0x2ea8d5dec9ceaa5b!8m2!3d-6.8850287!4d107.5812148!16s%2Fg%2F11tjzrrt1b!19sChIJ3ems9sfnaC4RW6rOyd7VqC4?authuser=0&hl=id&rclk=1","FIT HUB Surya Sumantri","4,7","(289)","Pusat kebugaran","·","","·","Jl. Prof. drg. Soeria Soemantri Kel No.53, RT.05/RW.04","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEsOR-Abb8oVd5KY0KJmKXN7xfHjWBOt4XVLSwfottvA3swPvY_G9AtoidCSKpx1RSmt4Goln4svVvh_aF7G--sahBKHRyFqlyJZkBQa3TVB_GOCPV6oSuxqp3TXDEodPtWqiBzDA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","yg nyaman dan bersih, cocok utk pemula dan affordable gym""","· 21.00 · Buka Sen pukul 05.00"
"https://www.google.com/maps/place/Studio+Strava/data=!4m7!3m6!1s0x2e68e7bb479c8a33:0xafd9f4e37f840710!8m2!3d-6.9030642!4d107.5993212!16s%2Fg%2F11hdsygqn1!19sChIJM4qcR7vnaC4REAeEf-P02a8?authuser=0&hl=id&rclk=1","Studio Strava","5,0","(39)","Tempat Fitness","·","","·","Jl. Rontgent Jl. Pasir Kaliki No.4","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSvUr2dWGeDQFD3vHX5PYVsJHVCNhSE3xbOf2KHtMEMtym-xzDrUEk-mAmJRWaMHZz3HExKTEg3m2rTsdt3QS_aN0UhxwZOTQiNypO1S5JYEz9XONNgksIM8VId9KfG0-gw9u9Ew=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bagus nyaman coach nya ramah ramah baik service nya bagus""","","","· Buka Sen pukul 08.00"
"https://www.google.com/maps/place/Move!+Fitness+Paskal+Hypersquare/data=!4m7!3m6!1s0x2e68e7ebab2699ef:0xe397a1fd77b75642!8m2!3d-6.9161132!4d107.5941234!16s%2Fg%2F11t5b5kvyj!19sChIJ75kmq-vnaC4RQla3d_2hl-M?authuser=0&hl=id&rclk=1","Move! Fitness Paskal Hypersquare","4,7","(47)","Pusat kebugaran","·","","Paskal Hyper Square, Jl. Pasir Kaliki lantai 2 No.25 - 27 Blok G-105, Kebon Jeruk, Andir, Bandung City, West Java 40172","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGF5D6b33tOuaRD4Hs5CxkoyTC6m9hLQ3trC238Nbh_YrX-1dTFpWvsfJ3aLwM88cTkPETM04UqwZD6m3AI5t0qG9duJjHeu--T6jE0A1y7EHqdai6ANiXjW6WZG9jFwCHFxmxm=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Coachnya super helpful, exercisenya mudah diikuti.""","","","· Buka Sen pukul 06.00"
"https://www.google.com/maps/place/ELTNINE_GYM/data=!4m7!3m6!1s0x2e68e7c581c702eb:0x90069daf9d1d685b!8m2!3d-6.8811269!4d107.6316143!16s%2Fg%2F11s2jczxk2!19sChIJ6wLHgcXnaC4RW2gdna-dBpA?authuser=0&hl=id&rclk=1","ELTNINE_GYM","4,9","(15)","Tempat Fitness","·","","Jl. Ligar Taman No.9","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGvr4S6BKN2iE6h0LhTJ-SpXB_GDrKbxXimximX87a3g5gimV0BEwwllFnPuSFFAh7Ice-D3r9wj8uvoqEJKDm_EyAOIbDIrfUdGxO3SaRDaf4sxI6_IzcTfsNZ_S0zQWVYJxE=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","nya bisa untuk umur yang 14 tahunan ke atas ga?""","· Buka Sen pukul 07.00"
"https://www.google.com/maps/place/Universe+Fitness+%26+Naturale+Spa/data=!4m7!3m6!1s0x2e6f1427e9e204fd:0x9a41938a718ec848!8m2!3d-6.9097243!4d107.6206882!16s%2Fg%2F1tcy_y_x!19sChIJ_QTi6ScUby4RSMiOcYqTQZo?authuser=0&hl=id&rclk=1","Universe Fitness & Naturale Spa","","","Tempat Fitness","·","","Jalan Ir. H.Djuanda No.61-63","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8AxYdnyz827Rn0JGfyGYyA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=100.61955&pitch=0&thumbfov=100","","","","",""
"https://www.google.com/maps/place/Perfect+Studio/data=!4m7!3m6!1s0x2e68e7442ef1f547:0x18e5d2d5d2e5493a!8m2!3d-6.8911012!4d107.599299!16s%2Fg%2F11j0t_cv47!19sChIJR_XxLkTnaC4ROknl0tXS5Rg?authuser=0&hl=id&rclk=1","Perfect Studio","4,0","(2)","Tempat Fitness","·","","Jl. Sederhana No.89","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHObugZWuapLgZ6rgyfsMTssdS_TNFjAzcln9O7voMjTCRsCW7Ckzvdw1vo5SIwcOsccLAAKeKqnJ1qkPudZIA0_fC44bxamWsWd2e9bcDYZPv-Av6hrOUYF_0TfCbA8BLhvaRm=w92-h92-k-no","","","","","· Buka Sen pukul 09.00"
"https://www.google.com/maps/place/Zen+Mode+at+Hyphen/data=!4m7!3m6!1s0x2e68e76ca0c6c3d9:0xc879c931c532506c!8m2!3d-6.895216!4d107.6165748!16s%2Fg%2F11x_484271!19sChIJ2cPGoGznaC4RbFAyxTHJecg?authuser=0&hl=id&rclk=1","Zen Mode at Hyphen","5,0","(2)","Studio Yoga","·","","Jl. Dipati Ukur No.29, RT.4/RW.8","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEX_JgK0N1Ax7jTftTjJ0DFUds18k6pvg-qb6SNfw-8IsHTZL2VYT-fRhEO-lwH7PvEX5PBdXfztQ6_GgEDgutqCqKIyYC86pzCtD99GpJ5HKuSj1KIp40IuTzBd-rsNAD06KM1cqY_X9w=w80-h142-k-no","","","","",""
"https://www.google.com/maps/place/Celebrity+Fitness+-+Paris+Van+Java/data=!4m7!3m6!1s0x2e68e66036fb87b3:0xc0cfeade82692f6e!8m2!3d-6.8886745!4d107.5954296!16s%2Fg%2F11g_y1t3l!19sChIJs4f7NmDmaC4Rbi9pgt7qz8A?authuser=0&hl=id&rclk=1","Celebrity Fitness - Paris Van Java","4,4","(377)","Tempat Fitness","·","","·","SL, Paris Van Java, Jl. Sukajadi No.01A","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGf-s0HH7nbwzn8JOz5p-QTSzdVN4gQiOnCCKIlOxxlmSIQZYUD1b4bP9K92189yw8Y0ZaWStHJL5lE13Ovxlamb6qeQF1V55eFZlJYqAkYm9n_wcJqtgF0hobKARWD_QW7Wno=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kelasnya seru,","gym","floornya luas bisa sambil liat senja""","· Buka Sen pukul 06.00"
"https://www.google.com/maps/place/Yufit+Bandung/data=!4m7!3m6!1s0x2e68e72c7de07489:0x56d728945a40b549!8m2!3d-6.915845!4d107.6031992!16s%2Fg%2F11y3l0sh8b!19sChIJiXTgfSznaC4RSbVAWpQo11Y?authuser=0&hl=id&rclk=1","Yufit Bandung","5,0","(161)","Pusat kebugaran","·","","Jl. Suniaraja No.126","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHqKFIYUXfF5l4BUplUhBpPRiY6u3W3VGXO0MpM1cWvTS38vXVResLoATl5DvlB2i95WaGfhuJbTucrvKNE2U2aIPNHseHs_PKvFRG6_Q4rhNsyLFcVrnQQPRgSewZRRsqmIcZ2Wsxoxrc=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Alatnya lengkap,","tempat gym","nyaman, bersih, cukup luas.""","· Buka Sen pukul 06.00"
"https://www.google.com/maps/place/Lapang+Cahaya+Panghibur/data=!4m7!3m6!1s0x2e68e746fc400197:0xf0f17819675a1314!8m2!3d-6.8914575!4d107.6196949!16s%2Fg%2F11h718j45f!19sChIJlwFA_EbnaC4RFBNaZxl48fA?authuser=0&hl=id&rclk=1","Lapang Cahaya Panghibur","4,0","(2)","Tempat Fitness","·","","4J59+CV8","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGaRIU6COubRC3PbNnsCpfQiKDZ9cRYN4hYUW4B09123liwfUIVSv-BdtZO8duAjSwdeveNg1uBxlL0hrwO55oJjtjZdtEGuUdfCgGBhPz9QAVl3GWbHUlC9tgxBLkK5qav6bRHX43nNp4=w80-h106-k-no","","","","",""
"https://www.google.com/maps/place/Yoga+Leaf+at+Voila/data=!4m7!3m6!1s0x2e68e7e050c7c4ef:0xb198d1ef4dd24bb4!8m2!3d-6.8827718!4d107.6137692!16s%2Fg%2F11fmvjkq5w!19sChIJ78THUODnaC4RtEvSTe_RmLE?authuser=0&hl=id&rclk=1","Yoga Leaf at Voila","","","Studio Yoga","·","","d/a Salon Voila, Jl. Kidang Pananjung No.5D","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGN6UuzpxC1V3GZ0u4hLIrTvXU2SGn8Xrenbu_9xuCl8oKMWkF7dKBrZzKrGwlzvvmELnaPbp9ayqlMMXnz262l62KmFiz8dOZknsJBPDi01D5jROSTiVwLQNRuHDy-f6QwrOM=w122-h92-k-no","","","","","· Buka Sen pukul 16.30"
"https://www.google.com/maps/place/Nike+Factory+Store/data=!4m7!3m6!1s0x2e68e6565604ca07:0xcc4136f4d37adf73!8m2!3d-6.8896158!4d107.6132753!16s%2Fg%2F11b61jkkrj!19sChIJB8oEVlbmaC4Rc9960_Q2Qcw?authuser=0&hl=id&rclk=1","Nike Factory Store","4,3","(1.440)","Toko Pakaian Olahraga","·","","·","Jl. Ir. H. Juanda No.145","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFE3yPN8o5wFUDO8Tu4cmxW20bKAIsM6HqggUUZsdlb4jYWZ3yALxmV-RqFuQAkj8MjNRwg7n1MTWDg2jNzq73NmqrBXcD09D1Ir6Pz5eQ5YunsrDLuGhz4JcZdn71OenvgLa4Q5A=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recomended untuk penggemar produk branded premium""","","","· Tutup pukul 21.30"
