"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","AJB7ye","AJB7ye 2"
"https://www.google.com/maps/place/Madalangu+Bakehouse/data=!4m7!3m6!1s0x2e68e65237515555:0xc5d14d27d65dbb37!8m2!3d-6.8969675!4d107.6148176!16s%2Fg%2F11rkdv4wr4!19sChIJVVVRN1LmaC4RN7td1idN0cU?authuser=0&hl=id&rclk=1","Madalangu Bakehouse","4,5","(535)","Toko Roti","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH9l1alDrUtQ0M87en41w1bDepPsPfoRemqySq7NLD7Filr1p9N9XIOjHXQqcCnWQLxKp9Fmvcs5_r61o9z2dBspeY5u5q5Ii0BXIvXI8v3K16DYJwCYmIFzfJtgc7ducQJ0j0c1A=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Udah coba cromboloni, donat biasa, dona","es krim",", croissant coklat.""","","","","","Jl. Pager Gunung No.3","·","Rp 25–50 rb"
"https://www.google.com/maps/place/Latteria+gelato/data=!4m7!3m6!1s0x2e68e7060089c805:0xbabdd086c2ff87a5!8m2!3d-6.9150992!4d107.5961699!16s%2Fg%2F11mkbm21t7!19sChIJBciJAAbnaC4RpYf_wobQvbo?authuser=0&hl=id&rclk=1","Latteria gelato","5,0","(209)","Es Krim","·","Hyper Square B58","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHBd8TrWWqZdCD6NWB7S2La-KEO0RwmC3fduiTXiypdmUPYdH3ocXJO9ykCOOLkfRZCPHZwbJwVT3JaBdCwhoQ3seVGOjOjiNlpSrjSDrYskB4rX08jWoEzQkTpNvCXr3xLvHth81xSY1aW=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","es krim","gelatonya enak, terutama dark chocolate & coffee break""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFta2JtMjF0NxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Y0z3aYGvFamL4-EPs6Hc2As&ei=Y0z3aYGvFamL4-EPs6Hc2As&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/MIXUE+Cihampelas/data=!4m7!3m6!1s0x2e68e7b597eb2c8b:0x34074a1c4a0589c6!8m2!3d-6.9020561!4d107.6044981!16s%2Fg%2F11lf_51v7t!19sChIJiyzrl7XnaC4RxokFShxKBzQ?authuser=0&hl=id&rclk=1","MIXUE Cihampelas","4,5","(756)","Es Krim","·","·","Segera tutup","· 21.00 · Buka Sen pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEhqyrn0q0z7K2dt9x-dgsgzbOjDfUx82-7h5GHcSmtMsRYylPrRLpdMk5JfunLqNttsgWU4OlEl_l9JfdXfjj3fe3lLshh1W2g-ETZAaxdVQhxVZOy5jwFlYSpjVYJZEgAd0bkEA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es","krimnya juga enak.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsZl81MXY3dBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Y0z3aYGvFamL4-EPs6Hc2As&ei=Y0z3aYGvFamL4-EPs6Hc2As&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Cihampelas No.58 A","·","$"
"https://www.google.com/maps/place/Kartika+Sari+Dago/data=!4m7!3m6!1s0x2e68e64fd413b4b3:0xe0b4c516e6e5789a!8m2!3d-6.8974761!4d107.6122326!16s%2Fg%2F11cmc42j9d!19sChIJs7QT1E_maC4Rmnjl5hbFtOA?authuser=0&hl=id&rclk=1","Kartika Sari Dago","4,6","(3.966)","Es Krim","·","·","Segera tutup","· 21.00 · Buka Sen pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEaUUhPliOiLEMCnF7qS_JUWgovMnlBYnJKKFDGmW7jCZ5k9u8s8k-7H40pTOseTyLJS3ooVfrz0FlJSliLSFKEwi6sVMAb3r9s8xLqOQNIiOUcA2sIJ0_Z6aKLHVsp_vtb94S7=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es krim","nya enak sekali!""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjbWM0Mmo5ZBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Y0z3aYGvFamL4-EPs6Hc2As&ei=Y0z3aYGvFamL4-EPs6Hc2As&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Ir. H. Juanda No.85-87","·","$$"
"https://www.google.com/maps/place/Sweet+Cantina/data=!4m7!3m6!1s0x2e68e63aaf516bc1:0xc43a3d3d5ec9131c!8m2!3d-6.9173474!4d107.6092231!16s%2Fg%2F11cls_80vc!19sChIJwWtRrzrmaC4RHBPJXj09OsQ?authuser=0&hl=id&rclk=1","Sweet Cantina","4,5","(1.043)","Es Krim","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH9BClICsQD4ITN9Td0ES6WpEJALEwGbcglZg-nwanhJX-1pBEvDt-yQlggvP4AE__VKt_TYlbr9gaQtxlpQFuCUG-f1uMGopkpShvVWaVEEHob65IytWs-0PoCKnNee-orYQDs=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada bbrp harga scoop","es krim","dan pilihan mau pakai cone atau di cup.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjbHNfODB2YxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Y0z3aYGvFamL4-EPs6Hc2As&ei=Y0z3aYGvFamL4-EPs6Hc2As&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Braga No.89","",""
"https://www.google.com/maps/place/Ice+Cream+Service+Autoshop+%26+Dine/data=!4m7!3m6!1s0x2e68e77d97da19e3:0x24c0083652b1126a!8m2!3d-6.9156948!4d107.6129039!16s%2Fg%2F11w8nh_nhg!19sChIJ4xnal33naC4RahKxUjYIwCQ?authuser=0&hl=id&rclk=1","Ice Cream Service Autoshop & Dine","4,8","(443)","Restoran","·","Jl. Tera No.32","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGO7wppt1FnzMa0Z324SBBbH_-0dyu6v5o8Y75cvIaac4YvDST4OIsfKrcMv_68dzvKUwcjATnrE3EO71xd_9TG_C5VBZX21YUIIsRZVZMD1FQDqYAuBQTiFGCHr8rP0RZ0zQ4uvDefMXc=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""untuk harga 20-30 ribuan,","es","krimnya very very worth the price!""","","","","","","·","Rp 25–50 rb"
"https://www.google.com/maps/place/Teguk+Cihampelas/data=!4m7!3m6!1s0x2e68e7cb456d1b0d:0x7cc445287716ac46!8m2!3d-6.8951614!4d107.6056603!16s%2Fg%2F11kjfk2_0n!19sChIJDRttRcvnaC4RRqwWdyhFxHw?authuser=0&hl=id&rclk=1","Teguk Cihampelas","4,7","(19)","Kedai Kopi","·","Jl. Pelesiran No.72","Buka","· Tutup pukul 22.00","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Suasananya enak buat nongkrong, service karyawannya juga bagus""","","","","","","","","",""
"https://www.google.com/maps/place/Gak+Chukup+Satu/data=!4m7!3m6!1s0x2e68e7001c0df881:0xcf31d01ace1709a!8m2!3d-6.8978449!4d107.6099259!16s%2Fg%2F11yk5t8fj_!19sChIJgfgNHADnaC4RmnDhrAEd8ww?authuser=0&hl=id&rclk=1","Gak Chukup Satu","5,0","(8)","Es Krim","·","Jl. Tamansari No.66","Segera tutup","· 20.30 · Buka Sen pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEF7RTIy2OkNikDvPJ4a2T0xgeF7enlycdAeurEjiSmOyDQWWhid-Aj4DkEmPJpG839UMVxkmeTeiqRskui1Nf0JznzfUgR4cO3M2a1b5qDHjQK7wmKdOUd44K1FH7k1aTT8TEL1UDDL7A=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menjual aneka","es krim",", ada kue kacang dan browniea juga, unik dan enak.""","","","","","","",""
"https://www.google.com/maps/place/Mayasari+Siliwangi+-+Bakery+Oleh+Oleh+Khas+Bandung/data=!4m7!3m6!1s0x2e68e74164117949:0x2a714245dd7e7617!8m2!3d-6.8857174!4d107.6125005!16s%2Fg%2F11y2vvd0jm!19sChIJSXkRZEHnaC4RF3Z-3UVCcSo?authuser=0&hl=id&rclk=1","Mayasari Siliwangi - Bakery Oleh Oleh Khas Bandung","5,0","(856)","Toko Roti","·","·","Segera tutup","· 21.00 · Buka Sen pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXu5L8X7-mFlew2O_lza2Fsc0m18ZcADkLMlsJNDOiCjuoABms3Myjpg6QaxSxIW9GBWmNDwc8Xw4wt7EyvBDMBMYVBmiq1_UDzYUMnAH6Ednu4rIMjxfpa18a7eR0w5tlA7HWCGjh04N0=w80-h105-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Oleh2nya enak, cukup standar harganya.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5MnZ2ZDBqbRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Y0z3aYGvFamL4-EPs6Hc2As&ei=Y0z3aYGvFamL4-EPs6Hc2As&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Siliwangi No.1, RT.003/RW.003","·","$$"
"https://www.google.com/maps/place/Bakoel+Ice+Cream+Mirade/data=!4m7!3m6!1s0x2e68e7a53d511fb9:0xe2eee9c1ddf897b4!8m2!3d-6.8988135!4d107.6087699!16s%2Fg%2F11fkvnn83v!19sChIJuR9RPaXnaC4RtJf43cHp7uI?authuser=0&hl=id&rclk=1","Bakoel Ice Cream Mirade","","","Es Krim","·","Balubur Town Square LT 3 Blok Y07, Jl. Tamansari","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=P1gP3WHBvZfkR2oXZ1u-4w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=82.60541&pitch=0&thumbfov=100","","Pesan antar","","","","","","","","",""
