"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","ah5Ghc 2"
"https://www.google.com/maps/place/Kopi+Kita+Cafe/data=!4m7!3m6!1s0x2e7a590c37840b73:0x962a21e70a3a06ad!8m2!3d-7.7747323!4d110.4009605!16s%2Fg%2F11h01x85rn!19sChIJcwuENwxZei4RrQY6CuchKpY?authuser=0&hl=id&rclk=1","Kopi Kita Cafe","4,7","(20)","","","Kafe","·","Jl. Nologaten No.66","Buka","· Tutup pukul 00.00","","","Makan di tempat","","","","","","Bawa pulang"
"https://www.google.com/maps/place/Gege+Cafe+%26+GameNet/data=!4m7!3m6!1s0x2e7a5925f7278987:0x8743d364a5033df8!8m2!3d-7.7629899!4d110.4062248!16s%2Fg%2F11y27b18_m!19sChIJh4kn9yVZei4R-D0DpWTTQ4c?authuser=0&hl=id&rclk=1","Gege Cafe & GameNet","4,9","(83)","","","Warnet","·","Jl. Perumnas","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFOp6kt6AM6kLY1KZGAS-h-wxzLYkaru6SZ3c7M0q5KyQ6koBOIFgLn1eoOBztB5HIEz4Vw5mPGf_OeIiZD-P0fhFXqeSyYxlvVxGRbBk-5_Ixfa-Z2dynbnP2AG3LeYi4JOS0V=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya estetik, wifi ngebut, minuman dan makanannya enak-enak murah.""","","","","","",""
"https://www.google.com/maps/place/Super+Hotspot+Cafe+Timoho/data=!4m7!3m6!1s0x2e7a59d877c9bd83:0x1c03698086da8de6!8m2!3d-7.7947071!4d110.3927792!16s%2Fg%2F11gf4fr33t!19sChIJg73Jd9hZei4R5o3ahoBpAxw?authuser=0&hl=id&rclk=1","Super Hotspot Cafe Timoho","4,6","(648)","·","Rp 25–50 rb","Kafe","·","694V+446, Jl. Timoho","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHni0stabKjc4QWieed_uNwTAW6DS7d1ySnwJOUknbInsCTjid41sBB-YnZEvtrTyvbqlp8f1O5Um6IDuiAL1ZgNCJcYOY52TWR8KPZ1U5tNY4DHc4o26PS9BEXH75tuYlx3GFw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Wifi sama menu makanan dipisah, jdi malah enak kalau mau nyari wifi aja,.""","","","","","",""
"https://www.google.com/maps/place/X.O+Caf%C3%A9+%26+Bistro/data=!4m7!3m6!1s0x2e7a5839a399687f:0xa1da5563eb16c7cc!8m2!3d-7.758982!4d110.3987876!16s%2Fg%2F11bx533zn1!19sChIJf2iZozlYei4RzMcW62NV2qE?authuser=0&hl=id&rclk=1","X.O Café & Bistro","4,4","(223)","","","Bistro","·","69RX+CG3, Jalan Raya Ring Road Utara, Sangrahan, Kali Waru, Condong Catur, Kec. depok, Sleman","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHzIej-Sl3awopb1zyrLJ6pYH3sfvfP8X9l0YafYtLP6r6mPjm9bLgId5Ryr4ci0bPHiOfI23JvW4INPAW57AvKrGuPN5tmd1pMhWQIgwgd1tJkfdeY0bhmFBEzuggtseWhxXxD=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk tepatnya cukup bersih dan luas .""","","","","","",""
"https://www.google.com/maps/place/Fordo+Coffee+Lab/data=!4m7!3m6!1s0x2e7a59467a82ffe9:0xfafbaab167ba2092!8m2!3d-7.7765946!4d110.3619769!16s%2Fg%2F11kpk_syzr!19sChIJ6f-CekZZei4RkiC6Z7Gq-_o?authuser=0&hl=id&rclk=1","Fordo Coffee Lab","4,7","(193)","·","Rp 25–50 rb","Kafe","·","Jl. Magelang Kidul No.442","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGCTgcE6YOMAz0ghq3MsS69lZj8z6eJ-T3qYkEXdNdmrN877IC5v_ACw4XbVemKeaSYiwYlDnYG4xXiTK_0BgxK8DNN_iT6NvyoIN-tFMlsNmjGoNmcQKG2xLYnWbrAVrI06c7-ruqW4pWK=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Barista dan staffnya ramah,, makanan dan minumnya enak banget""","","","","","",""
"https://www.google.com/maps/place/Arta+Barber+Cafe/data=!4m7!3m6!1s0x2e7a58481fdfd005:0x7f750f433fdf7b60!8m2!3d-7.7872151!4d110.3721493!16s%2Fg%2F11bbyq3h51!19sChIJBdDfH0hYei4RYHvfP0MPdX8?authuser=0&hl=id&rclk=1","Arta Barber Cafe","4,5","(501)","","","Tempat Cukur Rambut","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF79X4jfOVrEorvDAz4NbPpqd2cae9jPLoZnMOJZbGiECDAlLDd2z1tmsq-uns_9LBJV5m1lo5ODtyrvH34bFVdzNM1KSRzkbc0q85lPTHsI6JVChzXNlp-AWwaw8byfy9YQKWXFch--F5I=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Instagramable.""","","","","","Jl. Serma Taruna Ramli No.12",""
"https://www.google.com/maps/place/YAP+CAFE/data=!4m7!3m6!1s0x2e7a5966bf1369cd:0x7ba736bd24714a8b!8m2!3d-7.7807607!4d110.3749689!16s%2Fg%2F11x22gmv5p!19sChIJzWkTv2ZZei4Ri0pxJL02p3s?authuser=0&hl=id&rclk=1","YAP CAFE","5,0","(22)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Cik Di Tiro No.5","Tutup","· Buka Sen pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAECNEvIYz8zU5d9OWl34cGp7K7hmrImq4yPbDEr77Xe0KN3mv3ugo24eb_DGct8maPXpCMrC3pC0mhMqOMhN0JWcCk-7TGXFRolmpukALu_Khmq__bw-uhbz7E3OKK9VKfyExyqqNgc7Y0f=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Baristanya ramah, komunikatif soal perkopian.""","","","","","",""
"https://www.google.com/maps/place/Tumbas+Mimik+Milkshake+and+Coffee%28%EA%A6%A0%EA%A6%B8%EA%A6%A9%EA%A7%80%EA%A6%A7%EA%A6%B1%EA%A7%80%EA%A6%A9%EA%A6%B6%EA%A6%A9%EA%A6%B6%EA%A6%8F%EA%A7%80%29/data=!4m7!3m6!1s0x2e7a582888e3401b:0xd1e85efa89c7b148!8m2!3d-7.7931698!4d110.3675152!16s%2Fg%2F11c1wxxcl0!19sChIJG0DjiChYei4RSLHHifpe6NE?authuser=0&hl=id&rclk=1","Tumbas Mimik Milkshake and Coffee(ꦠꦸꦩ꧀ꦧꦱ꧀ꦩꦶꦩꦶꦏ꧀)","4,7","(142)","·","$","Kafe","·","6949+P2J Tumbas Mimik","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEKdmNwsirBXU6U0E0j3VLtofwpqIhLlub7FoBB1DoyII-B-dHmgZBXKrwb5q1OvRVWK9dXSLV_8sEn9sV5Qrhr4ELfXpwEaKgSyuojLlfzZ9CHmzVb2uUC9Qq2QgUroMehrMNy5Q=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","","","Cafe"
"https://www.google.com/maps/place/Melcosh+Cafe+RS+Panti+Rapih/data=!4m7!3m6!1s0x2e7a595a7c6ba685:0xe3294032f21516d1!8m2!3d-7.7765516!4d110.3775557!16s%2Fg%2F11j98bs3p_!19sChIJhaZrfFpZei4R0RYV8jJAKeM?authuser=0&hl=id&rclk=1","Melcosh Cafe RS Panti Rapih","4,9","(11)","","","Kafe","·","69FH+92F","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHU9OA5crjEqvNlw9aozGZ2-sPRoE6iNohwOPIr55IbTWRhfp6Cn9T0648OTNphJ-jBOw9DddUSV2sANH48RlbswhQ9I3i54EMUV20bpc85DaXtPAz1BxZO6OiPoJMdNv9WYyktXg=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kalau pas ke Panti Rapih, jangan lupa mampir sini gaesss ❤️❤️""","","","","","",""
"https://www.google.com/maps/place/Treat+Cafe+Jakal/data=!4m7!3m6!1s0x2e7a59a98b8a648b:0x3ab92822da86f09d!8m2!3d-7.7647677!4d110.3791502!16s%2Fg%2F11f0_r5g_v!19sChIJi2SKi6lZei4RnfCG2iIouTo?authuser=0&hl=id&rclk=1","Treat Cafe Jakal","4,6","(921)","·","Rp 25–50 rb","Kafe","·","·","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0IeulN3sX-YDCKfneQcCoM-wL-t_ON3DyhSAXEhLBt7CajUo0yRIO3FJEH-7Bj5rQ-BWd4vlGigXDQ6F7wYthJA0HkxYkwU2JQTGDA0aQIJ5Yeb1Vs72HNK3p2vZS_NScXJSo=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman free parkir, gak terlalu rame ada free wifi.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmMF9yNWdfdhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=SCn3afWuJqWs4-EP_7q_IQ&ei=SCn3afWuJqWs4-EP_7q_IQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Kaliurang No.km. 4",""
