"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","doJOZc","W4Efsd 7","lcr4fd href","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Sampurna+All+Print/data=!4m7!3m6!1s0x2e7a59c566f00e49:0x47a17bf06d453e32!8m2!3d-7.7829625!4d110.390864!16s%2Fg%2F11b65j68hk!19sChIJSQ7wZsVZei4RMj5FbfB7oUc?authuser=0&hl=id&rclk=1","Sampurna All Print","3,7","(528)","Layanan cetak digital","·","Jl. Laksda Adisucipto No.61","Buka","· Tutup pukul 19.00","·","(0274) 547258","","Rute","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Foto sekalian","print","beberapa lembar foto biaya 50k."""
"https://www.google.com/maps/place/Acadia+Jakal+2/data=!4m7!3m6!1s0x2e7a59ad45e135e5:0x4aa65729b32bbb39!8m2!3d-7.7636312!4d110.3793886!16s%2Fg%2F11b66h7g0g!19sChIJ5TXhRa1Zei4RObsrsylXpko?authuser=0&hl=id&rclk=1","Acadia Jakal 2","4,2","(454)","Toko Fotokopi","·","·","Jl. Kaliurang No.4, RW.8","Buka","· Tutup pukul 22.00","(0274) 581556","","Situs Web","","·","https://bit.ly/acadia2jakal","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fotocopy dan printer buka spai jam 10 malam.""","",""
"https://www.google.com/maps/place/Focus+FotoCopy+%26+Print/data=!4m7!3m6!1s0x2e7a59ad4450c2a3:0x7934c2b1149dad74!8m2!3d-7.7636757!4d110.3795129!16s%2Fg%2F11b7tgkrvb!19sChIJo8JQRK1Zei4RdK2dFLHCNHk?authuser=0&hl=id&rclk=1","Focus FotoCopy & Print","4,4","(257)","Toko Fotokopi","·","·","Buka","· Tutup pukul 22.00","Jl. Kaliurang km 4,5 No.52","0822-7333-7411","","Rute","","·","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""disini juga bisa cover buku / jilid, laminasi,","print","A3, dll."""
"https://www.google.com/maps/place/Excellent+Fotocopy+Print+Jilid+Buka+24+jam/data=!4m7!3m6!1s0x2e7a5995d85dcb29:0xd66d04be3bf16f2d!8m2!3d-7.7648517!4d110.4111754!16s%2Fg%2F11hmpyzcj_!19sChIJKctd2JVZei4RLW_xO74EbdY?authuser=0&hl=id&rclk=1","Excellent Fotocopy Print Jilid Buka 24 jam","4,2","(272)","Toko Fotokopi","·","·","Buka 24 jam","","Depok","0898-5735-997","","Rute","","·","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Print","murah dgn aksesibilitas mudah & 24 jam."""
"https://www.google.com/maps/place/Klick+Express+Gejayan/data=!4m7!3m6!1s0x2e7a59c8406caa31:0x748671841020237c!8m2!3d-7.7757066!4d110.3888568!16s%2Fg%2F1hc8gf34w!19sChIJMapsQMhZei4RfCMgEIRxhnQ?authuser=0&hl=id&rclk=1","Klick Express Gejayan","4,0","(1.820)","Layanan cetak digital","·","·","Jalan Affandi Gejayan Mrican 55281 City","Buka","· Tutup pukul 21.00","(0274) 565890","","Situs Web","","·","http://www.cetakonlineklick.com/","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cepat, singkat hasil","print","bagus harga murah ."""
"https://www.google.com/maps/place/PHOTOKOPI,PRINT,SCAN,+JILID,+ATK+KURNIA+INDAH/data=!4m7!3m6!1s0x2e7a59b1737ff431:0x459386f7859b9d5e!8m2!3d-7.7672276!4d110.3858939!16s%2Fg%2F11b64sqfmr!19sChIJMfR_c7FZei4RXp2bhfeGk0U?authuser=0&hl=id&rclk=1","PHOTOKOPI,PRINT,SCAN, JILID, ATK KURNIA INDAH","4,2","(42)","Toko Percetakan","·","·","Buka","· Tutup pukul 21.00","Jl. Agro Klebengan CT8/A No.1","0877-3894-8859","","Rute","","·","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mesin foto copy dan PC untuk ngeprint nya komplit.""","",""
"https://www.google.com/maps/place/Flow+Fotocopy+%26+Print+24+Jam+Jogja/data=!4m7!3m6!1s0x2e7a59d4a2218c07:0xd6856f4dca9b2021!8m2!3d-7.7557824!4d110.3766937!16s%2Fg%2F11xd7yzy4h!19sChIJB4whotRZei4RISCbyk1vhdY?authuser=0&hl=id&rclk=1","Flow Fotocopy & Print 24 Jam Jogja","4,7","(26)","Printer Digital","·","Jl. Pandega Marta","Buka 24 jam","","·","0851-6861-7455","","Rute","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Penolong nih, kebutuhan fc/","print","pada waktu-waktu urgent"""
"https://www.google.com/maps/place/Cozy+Copy+24/data=!4m7!3m6!1s0x2e7a5855c86d7dc9:0x93ca5881eebb6c0a!8m2!3d-7.7564163!4d110.3740724!16s%2Fg%2F11b6b75_8b!19sChIJyX1tyFVYei4RCmy77oFYypM?authuser=0&hl=id&rclk=1","Cozy Copy 24","4,4","(255)","Toko Fotokopi","·","·","Buka 24 jam","","Jl. Pandega Marta","(0274) 4547382","","Rute","","·","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah,","print","hanya 200/lembar (b n w), pelayanan baik, cepat, rapih!"""
"https://www.google.com/maps/place/Global+Digital+Printing+UPN+YK+buka+24+jam/data=!4m7!3m6!1s0x2e7a595e49e756cf:0x76df9c8c3af0a4a0!8m2!3d-7.7648123!4d110.4111895!16s%2Fg%2F11qnkn2kln!19sChIJz1bnSV5Zei4RoKTwOoyc33Y?authuser=0&hl=id&rclk=1","Global Digital Printing UPN YK buka 24 jam","3,1","(44)","Toko Fotokopi","·","Komplek Ruko, Jl. Seturan Raya Puluhdadi No.b20","Buka 24 jam","","·","0822-2037-9858","","Rute","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Aku","print","skripsi disini murah, hasilnya bagus, dan cepat."""
"https://www.google.com/maps/place/YUSUF+COPY+CENTRE+PRINGGODANI+%28+Timur+Sanata+Dharma%29/data=!4m7!3m6!1s0x2e7a59b88dc0b75d:0x5f235d9d9292fadf!8m2!3d-7.7753945!4d110.3933682!16s%2Fg%2F11by_m55f8!19sChIJXbfAjbhZei4R3_qSkp1dI18?authuser=0&hl=id&rclk=1","YUSUF COPY CENTRE PRINGGODANI ( Timur Sanata Dharma)","4,4","(128)","Toko Fotokopi","·","Jl. Pringgodani No.6","Buka","· Tutup pukul 20.45","·","0821-3709-1867","","Rute","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Solusi ngeprint gapake antri tinggal kirim wa""","",""
"https://www.google.com/maps/place/PrintShop/data=!4m7!3m6!1s0x2e7a584865c46795:0xb088169b616a3921!8m2!3d-7.773241!4d110.367717!16s%2Fg%2F1hm2n31c4!19sChIJlWfEZUhYei4RITlqYZsWiLA?authuser=0&hl=id&rclk=1","PrintShop","3,0","(299)","Toko Percetakan","·","·","Buka","· Tutup pukul 23.00","Jalan A. Moh. Sangaji No. 59 B, Jetis, Cokrodiningratan","(0274) 6415534","","Rute","","·","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bisa","print","kilat (sesuai syarat dan ketentuan)."""
