"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"https://www.google.com/maps/place/Pizza+Marzano+Pakuwon+Mall/data=!4m7!3m6!1s0x2e7a59451cd72605:0xc90ce73c0059e7e!8m2!3d-7.7591544!4d110.3991722!16s%2Fg%2F11svyzb_1h!19sChIJBSbXHEVZei4Rfp4FwHPOkAw?authuser=0&hl=id&rclk=1","Pizza Marzano Pakuwon Mall","4,8","(298)","","","Pizza","·","","69RX+8MM, Jl. Ring Road Utara","","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG9_-JNjU4HIfKENhyKTl-uhfSDtzH4pQZ3yLEe2rYejq0sjqodPAFM5YJrySR3qWtmcHlc1TJcN6bp91NOIWw1ceDeJH8OHFnasv_DMIW90PcnMeMER9z4PnBjbveqmintoTKUWg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pizzanya enak, minumannya unik dan enak, harga terjangkau.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzdnl6Yl8xaBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Cir3admIIpOY4-EP4eLOqQo&ei=Cir3admIIpOY4-EP4eLOqQo&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Pizza+Hut+Ristorante/data=!4m7!3m6!1s0x2e7a58308eb02b4d:0xa98bc9602fa427e6!8m2!3d-7.7826665!4d110.3736392!16s%2Fg%2F1tds3tyj!19sChIJTSuwjjBYei4R5iekL2DJi6k?authuser=0&hl=id&rclk=1","Pizza Hut Ristorante","4,7","(9.723)","·","$$","Pizza","·","","Jl. Jend. Sudirman No.65","Franchise piza dengan beragam pilihan","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxJ_2DkFhmalQz2z4ktXCTgJuDvgA3JGBOzHF8yfuvWHekKL2YWXME5xIn3o5fCnLtXASIPdnpJjkLyCkkxixpp5RJ8haBySf7lU4zByQBWYbp5yC-O01nl9fDcatGRRsIS3Yn=w184-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Pizza","enak, ambience OK, service OK""","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRkczN0eWoYADoDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Cir3admIIpOY4-EP4eLOqQo&ei=Cir3admIIpOY4-EP4eLOqQo&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Pizza+Hut+Restoran/data=!4m7!3m6!1s0x2e7a59aba0bfade1:0x1be793cef9efe040!8m2!3d-7.7563631!4d110.3822547!16s%2Fg%2F1hc458pfc!19sChIJ4a2_oKtZei4RQODv-c6T5xs?authuser=0&hl=id&rclk=1","Pizza Hut Restoran","4,7","(8.818)","·","$$","Pizza","·","","·","Jl. Kaliurang No.KM.5","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXzZvqNvJUU-sdhH5fN097icBG74YmAMHJNT01HWhQ5_QdwVpKMoyVaj1P4rfv55BFqLEHtjqEVzdn-7v3fnzMv3bBdKsjmI2NEWpQ8zV6lp2jv3jVGu6mZymCieU32nF1Xhs=w113-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pizzanya enak, cheesy banget, saladnya fresh, enak""","","","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhjNDU4cGZjGAA6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Cir3admIIpOY4-EP4eLOqQo&ei=Cir3admIIpOY4-EP4eLOqQo&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Panties+Pizza+Gejayan/data=!4m7!3m6!1s0x2e7a59bad6193bb1:0xa346d5ecb9e8d73e!8m2!3d-7.7639761!4d110.3935272!16s%2Fg%2F11b8v9yz12!19sChIJsTsZ1rpZei4RPtfouezVRqM?authuser=0&hl=id&rclk=1","Panties Pizza Gejayan","4,5","(3.899)","·","Rp 25–50 rb","Pizza","·","","·","Jl. Affandi No.18A","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHWrpRQPDusw0SaBRuR8CTCXenF8ugkW7yxkwtIA3Fs7sC2aTSaSgpnJNQTn1Jzy0VzCIP1b6ez1hiffvBWMMDdXk_p8Ht-94Ix9NMm3VGEMFIRR8eo0wNYfPk3S6EaiWhniHA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Pizza","terjangkau dan porsinya pas, g bikin eneg.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiOHY5eXoxMhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Cir3admIIpOY4-EP4eLOqQo&ei=Cir3admIIpOY4-EP4eLOqQo&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/THYME+Pizza/data=!4m7!3m6!1s0x2e7a59893e140183:0x90285550d5608ac6!8m2!3d-7.7560617!4d110.3752676!16s%2Fg%2F11fljjkh5v!19sChIJgwEUPolZei4Rxopg1VBVKJA?authuser=0&hl=id&rclk=1","THYME Pizza","4,4","(218)","·","Rp 50–75 rb","Stan Pizza","·","","Jl. Pandega Marta No.168","","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEJXISPJsCBVywaOcAcoaeqmuRNsHIgSTSkgAWxl5Ho-tyhcsqT4LSQeOYuxbQBFbj1fJCLFbNVr5cTPOEA3m7e9gPflngk-T3b_ROuc420C_vsrIWBdtHJkI7P_Q_A1kTBU3hk=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""one of the best truffles mushroom","pizza","ive ever had sih yummy bgt.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmbGpqa2g1dhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Cir3admIIpOY4-EP4eLOqQo&ei=Cir3admIIpOY4-EP4eLOqQo&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Pizza+dan+Pasta+Yumyum/data=!4m7!3m6!1s0x2e7a5945925f9855:0x798ff68c583f2c9d!8m2!3d-7.7561973!4d110.4118349!16s%2Fg%2F11qn07y7bw!19sChIJVZhfkkVZei4RnSw_WIz2j3k?authuser=0&hl=id&rclk=1","Pizza dan Pasta Yumyum","5,0","(2)","","","Pizza","·","","Perumahan Mataram Bumi Sejahtera Jalan Tambakboyo Raya no 79","","Buka","· Tutup pukul 22.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ytEaWPILGjAMfdOLi2gQrw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=194.94801&pitch=0&thumbfov=100","","Makan di tempat","Bawa pulang","Pesan antar","","",""
"https://www.google.com/maps/place/TUNQU+NANGKRING+%28Italian+Pitza+Emperan%29/data=!4m7!3m6!1s0x2e7a58124ba41c65:0x3c7d4ef4b0ac01ef!8m2!3d-7.7886001!4d110.3664466!16s%2Fg%2F11f40pz0j9!19sChIJZRykSxJYei4R7wGssPROfTw?authuser=0&hl=id&rclk=1","TUNQU NANGKRING (Italian Pitza Emperan)","4,7","(2.719)","·","Rp 25–50 rb","Pizza","·","","·","Jl. P. Mangkubumi","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_2myHwvTsVODPto2tRZSGsSv2B6RsgwWcXEby9yKESjd0vcyVZeUS-m9E-1iXd-cl_uRVY_BmaN_E_9nCNyABAtdf2rHgdOElRsaI73ceI7W_4Sn6iEM-CtqdzRD2HKsMKEhMRA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Pizza","enak dan unik,layanan baik,suasana riuh kurang nyanan""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmNDBwejBqORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Cir3admIIpOY4-EP4eLOqQo&ei=Cir3admIIpOY4-EP4eLOqQo&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Pizza+Up+Seturan/data=!4m7!3m6!1s0x2e7a5938b7addd3b:0x2a912f34220fbcd4!8m2!3d-7.7621657!4d110.4120496!16s%2Fg%2F11s83m4psf!19sChIJO92ttzhZei4R1LwPIjQvkSo?authuser=0&hl=id&rclk=1","Pizza Up Seturan","4,4","(298)","·","Rp 25–50 rb","Restoran","·","","Jl. Seturan Raya No.412","","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH4lkVxmwONcJ1kKISKkOP7thgoIja2z-XJfmxlqG1gjiCDyy4KpEyGP6PLBByphykN6EY2-JHn3e5ywfjrDUxav6PGOHFCvCifdXK42dMP4_pBg1sVEqXFDyCtHHOVnJarOiOcaA=w204-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pizzanya unik, roti atasnya lembut, bawahnya crispy bgt.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzODNtNHBzZhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Cir3admIIpOY4-EP4eLOqQo&ei=Cir3admIIpOY4-EP4eLOqQo&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Pizza+Tarik+Jogjakarta/data=!4m7!3m6!1s0x2e7a590063bf4803:0x133178291897418a!8m2!3d-7.758293!4d110.3919249!16s%2Fg%2F11xt4s6lzc!19sChIJA0i_YwBZei4RikGXGCl4MRM?authuser=0&hl=id&rclk=1","Pizza Tarik Jogjakarta","4,4","(21)","","","Stan Pizza","·","","Jl. Pandean Sari III No.10 A","","Buka","· Tutup pukul 21.45","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH4yFUuCTFLsZ1oJMQ7Y_hXKnCAIO-aCiHWrXK_crM10sQSiRQZ_bl1sUD-yI7K6WsXXs7olVvRQRJMmIa9H2Edaqti1WD59raooepH_J3Lf3c6ZkrPE-_VFw97dDjAHGLR4CExlRzM233J=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Pizza","Tarik murah yang bikin dompet tetep aman.""","","",""
"https://www.google.com/maps/place/Pizza+pawon/data=!4m7!3m6!1s0x2e7a57bbd1f61929:0xda211cc421eb85a0!8m2!3d-7.7925288!4d110.4013442!16s%2Fg%2F11smrzwcvh!19sChIJKRn20btXei4RoIXrIcQcIdo?authuser=0&hl=id&rclk=1","Pizza pawon","4,9","(57)","·","Rp 25–50 rb","Pizza","·","","Jalan","","Tutup","· Buka Sen pukul 14.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzjfWaUh2665DRFiaZrtjiAdiZPtj-wNRIset4W6Wt_TEyGQ8gvS2KHRItfR6lBERmLnLbvthf88wmfowaD72QROg9nPwYl8Ug4RRlEJ8vZGMGGKkK1Y_pp7TrU8L_mD7DlJL3ow=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantaaab tenan pizzanya... Rasanyaaa nikmak banget""","","","","",""
