"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","FQ2IWe src","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Beta+Swalayan+%26+Bakery/data=!4m7!3m6!1s0x2e7a5990f5b3ebab:0xf74c6485ccac9267!8m2!3d-7.7644274!4d110.4112678!16s%2Fg%2F11b620dgyx!19sChIJq-uz9ZBZei4RZ5KszIVkTPc?authuser=0&hl=id&rclk=1","Beta Swalayan & Bakery","4,2","(393)","Minimarket","·","","·","6CP6+6GC, Jl. Seturan Raya","Buka","· Tutup pukul 02.00","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHzNi8-GluR-As5xCuRD5lAGjzbYx4kGp-MVbDYp4XAEHx6V0fhqf27p9-e8_nCw9OA7ogISHD20NJgzBnCxFLV-oi_J4MKKxK2Zq9ghOZ37qz3U_cRHrIRm7ZH7sHvzdcsZX7T=w197-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk harganya juga standar ga mahal-mahal banget ."""
"https://www.google.com/maps/place/Sakinah+Mart/data=!4m7!3m6!1s0x2e7a584f999d4b13:0x402be7c7ca183afb!8m2!3d-7.7671723!4d110.3677922!16s%2Fg%2F11fj861nmy!19sChIJE0udmU9Yei4R-zoYysfnK0A?authuser=0&hl=id&rclk=1","Sakinah Mart","4,3","(123)","Toko bahan makanan","·","","·","Jl. Sinduadi","Buka","· Tutup pukul 22.00","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHq66RabzNROIrHexQDTfLkMafw_knuDmKyaU4EKcxv4Pf7lrJof_MV3JmQCvAUBganvMQdMtA0tuTCSjuKH1bN6llrPTTAa6ZW7hO80Cg8FJ0kWPna1Ec9AH55apvTghfacTQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkapppppp kaya alfa mart"""
"https://www.google.com/maps/place/Minimarket+Lia/data=!4m7!3m6!1s0x2e7a59f56a8ab08b:0xd65e09342ca307a0!8m2!3d-7.7720389!4d110.3900914!16s%2Fg%2F11h_ftbn4k!19sChIJi7CKavVZei4RoAejLDQJXtY?authuser=0&hl=id&rclk=1","Minimarket Lia","","","Minimarket","·","","Mrican Gg. Surya No.10","","","","","0899-1708-363","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=80IvFG3J9QJZUnU-BuP-fA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=357.0846&pitch=0&thumbfov=100","",""
"https://www.google.com/maps/place/Indomaret+Laksda+Adisucipto/data=!4m7!3m6!1s0x2e7a59e8228739fd:0x75450e309c0636cb!8m2!3d-7.7830064!4d110.3915392!16s%2Fg%2F1hm4p8mlg!19sChIJ_TmHIuhZei4RyzYGnDAORXU?authuser=0&hl=id&rclk=1","Indomaret Laksda Adisucipto","3,2","(61)","Minimarket","·","","·","Jl. Laksda Adisucipto Gg. Perkutut No.75","Buka 24 jam","","·","(021) 1500580","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTMjjnWs_c_bj5rpzMzTtVVwg9JMJgNMQrU9ZrAn8VvOtNNGRWSWW86JcPAQU6PPjrlkwHIaP5poyx1u-fb5fl4QFcgaeOa27Ck8MFiu6iM7TD9zwAdYPHwULxigcFAH6lNSYQGQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""2x coba dg QR yg sama berhasil pun bayarnya."""
"https://www.google.com/maps/place/Indomaret+Babarsari+2/data=!4m7!3m6!1s0x2e7a59efdf05e19f:0x5c2662744f700f4e!8m2!3d-7.781762!4d110.4141492!16s%2Fg%2F11c31nt6dd!19sChIJn-EF3-9Zei4RTg9wT3RiJlw?authuser=0&hl=id&rclk=1","Indomaret Babarsari 2","3,4","(93)","Minimarket","·","","·","Jl. Babarsari No.11","Buka 24 jam","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG50wB9PySH_X7ZWH5E9BGQwOQomsX7WxnFPC94yEB9l1x_APQfhQbmzkMzQF3K76n0000K8v9J3EhtRKiou4jJ1XpmtGRsQGQtHBeznKbL4r0CSGvrfdlsyChJDjZ5DbJbQsesqQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bersih dan rapih tempatnya, ada ATM BCA setor tarik"""
"https://www.google.com/maps/place/Cemara+Seven+Kentungan/data=!4m7!3m6!1s0x2e7a59aa137abf19:0xc2af6b7bdf37097c!8m2!3d-7.7552528!4d110.3828137!16s%2Fg%2F11bw46r89m!19sChIJGb96E6pZei4RfAk333trr8I?authuser=0&hl=id&rclk=1","Cemara Seven Kentungan","4,2","(63)","Minimarket","·","","·","Jl. Kaliurang No.26","Buka 24 jam","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGY8sSMFsk27ZypN-iPHMYy-dxQKeuJF8WLhtplMcbUAExd-caP_Yfrej9jvgdVRnSOauxtBCki6By1UXV3XMPNjgGpCExDVkK9RB52Esm7EVgb-OsPgyeFSyIq_B7JhExleCI=w124-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Paling terdebestt"""
"https://www.google.com/maps/place/TOKO+KAROMAH+5/data=!4m7!3m6!1s0x2e7a590069761f31:0x4bbd5b4fdedfa040!8m2!3d-7.773813!4d110.4011914!16s%2Fg%2F11y74pj4qr!19sChIJMR92aQBZei4RQKDf3k9bvUs?authuser=0&hl=id&rclk=1","TOKO KAROMAH 5","3,2","(17)","Minimarket","·","","Gg. Selaras No.38","","Buka 24 jam","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFjSGP5iYUKAlYTDp9Qa2q8R9v3_YYhNBZLtL7D2k99WBY3XBIyD-fQGIAFjWaA2Lzs9tF0TEPIV3SQemiAKssCje1GadOaQ6yvA8VHUNbSblKpltJv3r3IBNUeQnenKKvpBdrJ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rokoknya murah²"""
"https://www.google.com/maps/place/Indomaret+Casa+Grande/data=!4m7!3m6!1s0x2e7a5a241485c2e1:0x57b8760108640507!8m2!3d-7.763103!4d110.4195198!16s%2Fg%2F11b6dn_97f!19sChIJ4cKFFCRaei4RBwVkCAF2uFc?authuser=0&hl=id&rclk=1","Indomaret Casa Grande","4,2","(73)","Minimarket","·","","·","Jl. Ringroad Utara Komplek Casagrande Ruko No 4-5, Maguwoharjo, Depok, Jl. Ring Road Utara","Buka","· Tutup pukul 22.00","·","1 500 580","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEN2aLx2varrOnzbpaWf0gO4nrymtUL3MZpkxfwAYw0zZ9P4l4--YQt_gfjpYvpUiI1RbzKnKQk8X0MZz3YZ6C93W_dSmGKntGq7NqHE1RlT2LLsYwRqBxeEV6TI6BYDPCNjGQ-guK4szXr=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""suaranya terdengar kalau minta di cek lagi harganya."""
"https://www.google.com/maps/place/Indomaret+Laksda+Adisucipto+No.+211/data=!4m7!3m6!1s0x2e7a59bd4f2aa4f5:0x1da7b13f48bcc5c3!8m2!3d-7.7831443!4d110.4137698!16s%2Fg%2F11txfzptg_!19sChIJ9aQqT71Zei4Rw8W8SD-xpx0?authuser=0&hl=id&rclk=1","Indomaret Laksda Adisucipto No. 211","3,3","(52)","Minimarket","·","","·","Jl. Raya Solo - Yogyakarta Jl. Raya Janti No.211","Buka 24 jam","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGemdiS1zYCDi2Z9IXZ-izfgEC5o-odeiwD3ILqUE12fScgKvcScWGpXfbhXGcMD2-dh4PKtEyQCYI4pQrzWN5RkDi9rwxGneEX7g_f3uIMQJu2waxdP8uxTW49sXtKCoNEhNw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Suka banget sama kopi ini trus harganya murah, cuma 12k aja."""
"https://www.google.com/maps/place/Green+Minimarket/data=!4m7!3m6!1s0x2e7a598f4e175bf9:0xd8112f7dfa17ad73!8m2!3d-7.7632941!4d110.42!16s%2Fg%2F11b6d75qnr!19sChIJ-VsXTo9Zei4Rc60X-n0vEdg?authuser=0&hl=id&rclk=1","Green Minimarket","3,8","(8)","Minimarket","·","","Ruko Casa Grande, Jl. Ring Road Utara No.16","·","Tutup","· Buka Sen pukul 07.00","","(0274) 871017","https://lh3.googleusercontent.com/gps-proxy/ALd4DhGJOYNecLYtj8yQ3wMhVscOVvjBz6h0Pv3fsO5JngNJc03HZS1l6fykr80LzKVsGIuzUiH4g5k-Zo8569bLbMuL1o3xVqgLmEWbE3PvDqLBtoMav3Ue09KhtKsX3kArtQIczkJMyusPaXVXen8HD_dI8G8zXwcaTgmBSn9n6IyH-hCRST4OwQ8OZj_mZBwIur3MGiI=w122-h92-k-no","",""
