"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 6"
"https://www.google.com/maps/place/HBP+Fitness+%26+Aerobic/data=!4m7!3m6!1s0x2e7a59e865a124f5:0x9328191e2b7642e6!8m2!3d-7.7831493!4d110.4075487!16s%2Fg%2F1td9b5pv!19sChIJ9SShZehZei4R5kJ2Kx4ZKJM?authuser=0&hl=id&rclk=1","HBP Fitness & Aerobic","4,6","(119)","Tempat Fitness","·","·","Tutup","· Buka Sen pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEzsUE5bGwX8KDA8f0LBiX7yj115CjjJJOeAK3BZS2ew9aD7qdqWZ7fD8YCCXU8t9d7Ur3kFWYZSCENOB7z2K1TmGYYzVSHkHNGxKn1YR5ibHQNzCd1hOHALEj5HVZ5xO8TYBRl9g=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""yang mau private bisa banget dan rekomendasi di HBP","Fitness","& Aerobic""","","JL Laksda Adisucipto Km.6,5 No.31 Sumber Arum Building, 55281"
"https://www.google.com/maps/place/Richo+Fitness/data=!4m7!3m6!1s0x2e7a59aa652f52bf:0x6515dac3a048c061!8m2!3d-7.75451!4d110.3820271!16s%2Fg%2F1pzvc12wz!19sChIJv1IvZapZei4RYcBIoMPaFWU?authuser=0&hl=id&rclk=1","Richo Fitness","4,5","(15)","Tempat Fitness","·","JL. Pandega Marta, Kentungan, Jl. Pandega Marta No.11","Tutup","· Buka Sen pukul 07.00","https://lh3.googleusercontent.com/gps-proxy/ALd4DhHDV1n2Q0fVMmeRsA04Y7vkKWHQ3hoQGUzqHCMHu_DVXlN5ZCUTiVwFic8_ir-rPSvQc1G9qNYxD2ZFiraBmVdmm_aM7UyzMTrdaYE2it72XzpAWbSe05wvOfrLAbRx29ihgBRTaX3aAyAiGK6cS5uAJ3IvpYvGwhUht6kM2C61r8v6aKBq_O4QBsOmTZv4TWwUkg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Private training 700k per 10 pertemuan🫶🏼🫶🏼""","","","",""
"https://www.google.com/maps/place/GMC+Fitness+Center/data=!4m7!3m6!1s0x2e7a584a51ba07f5:0xea3174028b17112f!8m2!3d-7.7728407!4d110.3750732!16s%2Fg%2F11cr_qy554!19sChIJ9Qe6UUpYei4RLxEXiwJ0Meo?authuser=0&hl=id&rclk=1","GMC Fitness Center","4,6","(84)","Pusat Kebugaran","·","Jl. Sendowo","Tutup","· Buka Sen pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAExbqcg2N9fuyQ8X7ZrrKb0lWazlIzaznJxejcpQOvvfa2uV6yvE5UjUv4wn_BJMgQJ4XeGkOE3ydJE-jtyHlfCAx31W1VisQ5DMRP_UECV-PYw3zNErAAMhY2kKs-kuoihk91fbg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat fitness","untuk mahasiswa, civitas, serta alumni ugm.""","",""
"https://www.google.com/maps/place/Lembah+Fitnes+UGM+%E2%80%94+Universitas+Gajah+Mada/data=!4m7!3m6!1s0x2e7a59b5b30e613d:0x8e014725e59723c4!8m2!3d-7.7721989!4d110.3825187!16s%2Fg%2F11cm03bxq9!19sChIJPWEOs7VZei4RxCOX5SVHAY4?authuser=0&hl=id&rclk=1","Lembah Fitnes UGM — Universitas Gajah Mada","4,4","(207)","Tempat Fitness","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHe_68b7qiZnH1JndvOJWauoYUEi-Y8llWrocxbNSBopMWtRGEwbEVzGxlrqMp0eD5YH1ScTTdcazWgCx9CH_9ItIFL79C8Xa0AfJeDTd3MMbACtb5-842yOXlkV9xVJAkmrN8w=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""harganya termasuk murah 100k/bulan.""","","","","69HM+42C, Jl. Lembah UGM"
"https://www.google.com/maps/place/Hyena+Sports+Gym/data=!4m7!3m6!1s0x2e7a59006de0870d:0xcb91610c0a8b0d80!8m2!3d-7.7758735!4d110.411879!16s%2Fg%2F11yfz_2vjj!19sChIJDYfgbQBZei4RgA2LCgxhkcs?authuser=0&hl=id&rclk=1","Hyena Sports Gym","4,8","(172)","Tempat Fitness","·","6CF6+MQ2","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAErEmaYsbEBJvM79RJN3EqM8-WOcxy56XD7MHmCsEU5bdMRS8jfcRTRA39yuOP-CvmNqocH7u789z29h0CR4MmzKLworfscvvAF5db3pdiGnQ_Zj9sNMHzj_cJEofuo0BYzX0q3C-1S5P2m=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","bersih, alat baru, ada locker room dan shower.""","",""
"https://www.google.com/maps/place/Freedom+Fitness+%26+Gym+Yogyakarta/data=!4m7!3m6!1s0x2e7a59f22a16c077:0xa18fe06a08e3be94!8m2!3d-7.7770725!4d110.4160996!16s%2Fg%2F11c5sqfbdn!19sChIJd8AWKvJZei4RlL7jCGrgj6E?authuser=0&hl=id&rclk=1","Freedom Fitness & Gym Yogyakarta","4,6","(71)","Program Kebugaran Fisik","·","Jl. Babarsari No.TB 13, RW.4","Tutup","· Buka Sen pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEHcQRkKlgnukaDHI7JAz6noBFVl5Dz5wdDbe67xQM11arvH_7Li3VB6fYpixhwvbBv9YI8VFfhuf6VtAVVZyL0CptRoaw96vxxnEJC3idaK9IG3qAWRwxpDu9ohg-1AMI-SDE=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","dengan biaya pelajar mahasiswa💪""","",""
"https://www.google.com/maps/place/Point+Workout+Space/data=!4m7!3m6!1s0x2e7a59a295eb0cc3:0x5bdc13a413436336!8m2!3d-7.7513116!4d110.398629!16s%2Fg%2F11sl0_k3f0!19sChIJwwzrlaJZei4RNmNDE6QT3Fs?authuser=0&hl=id&rclk=1","Point Workout Space","4,9","(941)","Tempat Fitness","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFKBq5X0_OIw_yvFDu-UAZIjzXn6aDE8kC2ICE8l_OfhW8r1F_EPhBVJNdfgZY_tgbBDQxu1pPIqn6TJENEVy91idIzoalsrM2l8pNRkTbpzDT771lsdm7xwpTPlJFeR1nSNG-jh2DUtLQ=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Temoat","gym","yang nyaman, friendly, muaythai nya juga okee""","","Jalan Sukoharjo 3J - 1, RT.01/RW.08"
"https://www.google.com/maps/place/Poetri+gym/data=!4m7!3m6!1s0x2e7a5997e16c75f5:0xfe31581480136e0a!8m2!3d-7.7614332!4d110.3939879!16s%2Fg%2F11y8f2njw9!19sChIJ9XVs4ZdZei4RCm4TgBRYMf4?authuser=0&hl=id&rclk=1","Poetri gym","4,5","(101)","Tempat Fitness","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHLccUBygemfFRuZrD-PkZkkd-9vW1fJIY1tTw9rINUxGXWT68LijLyNV8Pg-cTT2dpb90aWBGvkgDzy3KP_So43EX1JNjgZTlARL227lOW5hHVJcgrGcNOBzpXernGyHLZYiH8u722kVxF=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","nya oke bersih dingin enak, alatnya lumayannn lengkap.""","","Jl. Affandi No.26"
"https://www.google.com/maps/place/LOKI+GYM/data=!4m7!3m6!1s0x2e7a5993c80a56df:0x31f26e750ea02ed9!8m2!3d-7.7723093!4d110.3984852!16s%2Fg%2F11jyx9rpz8!19sChIJ31YKyJNZei4R2S6gDnVu8jE?authuser=0&hl=id&rclk=1","LOKI GYM","4,9","(29)","Pusat kebugaran","·","Jl. Alamanda","Tutup","· Buka Sen pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFv-FR15NI6Kzb6jhhUSfnOvBwS9ZOS6x0NtiyjbfzfMGXnzB1BTdKQhPBW_9dSIVNozn3N1jdj0fVr8oTqWKsQtzMoVK7bU7G68dlUN9WeGytE9CtHAcKsazUM79hbvlyvphTS=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saran: tolong disempot obat nyamuk bagian sudut ruang","gym",".""","",""
"https://www.google.com/maps/place/Gaharu+Fitness/data=!4m7!3m6!1s0x2e7a584846dbe47f:0x833cc697f48be427!8m2!3d-7.773868!4d110.368556!16s%2Fg%2F11c1rt9xr3!19sChIJf-TbRkhYei4RJ-SL9JfGPIM?authuser=0&hl=id&rclk=1","Gaharu Fitness","4,5","(37)","Tempat Fitness","·","Jl. A.M. Sangaji No.72 A","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNjBkRklDgKbCsPqhhokF2oPG0-k221WISa55STxznvA1DTID6R9f_alp65BoM_BL9fWhEcuEDVcE0saxhOsm9fy_Sc6p2OLwwtiFntrbfQv3OzXxoxeBZeKPDtddOmpNi4qv4=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk member sudah dapat fasilitas","gym",", renang, lapangan tennis.""","",""
