"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 5","W4Efsd 6","A1zNzb href","J8zHNe","bbPy1","M4A5Cf"
"https://www.google.com/maps/place/RM+Kapau+Kamang+Indah/data=!4m7!3m6!1s0x2e69f65de5d757c3:0x7e0bcf7fe7376843!8m2!3d-6.1718117!4d106.793155!16s%2Fg%2F1hm3f8_wg!19sChIJw1fX5V32aS4RQ2g353_PC34?authuser=0&hl=id&rclk=1","RM Kapau Kamang Indah","4,5","(247)","·","Rp 25–50 rb","Padang","·","·","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE6vYz7XmJltfgxDcOdANb82z_IRtETYr_AidIGVsEk460Bb7p29EXj8osslt8dgBmsqCVCrE8dAfz5bxK4IYZSohLfTuMBhDknkZUCkNOxeeq6PS_bjmeU224tiZQQGTvvSI9tcQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""underrated nasi Kapau","Padang","in Jakarta.""","","RQHV+77C, RT.1/RW.8","· Buka Min pukul 09.00","https://www.google.com/viewer/chooseprovider?mid=/g/1hm3f8_wg&g2lbs=AIBNGdU_yXDuCPeNdeaj9JKafVwBnGmE1xFVuUHC390WdWBJLhZEcF-_d3rHkuVz4x6pWKh9_Qxn2xeLLfmwJLwoLSshLtj0Gg%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=qbHjaZHsOqWs4-EPnpTb6Ao&ei=qbHjaZHsOqWs4-EPnpTb6Ao&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Rm+Selamat+Masakan+Padang/data=!4m7!3m6!1s0x2e69f72e0c979aa9:0xe2cba710c36e2800!8m2!3d-6.1941966!4d106.7865973!16s%2Fg%2F1hm4yt3ym!19sChIJqZqXDC73aS4RAChuwxCny-I?authuser=0&hl=id&rclk=1","Rm Selamat Masakan Padang","4,2","(27)","·","Rp 25–50 rb","Padang","·","Jl. Kemanggisan Ilir III No.A 3, RT.7/RW.1","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEieaLJ7WT97a05gw56UUTVoO8RO8II26sonQJjLjdaMTPEWFI4fLJADIaKjZqAkanN3MK1ql9TGYo4sEDeiypx98ZEKS7NzcjYW93CAqN03dYLTEmfx0PSnrLipjdEyZshxfnT=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""rendangnya enak banget, harganya murah👍🏻👍🏻""","","","","","· Buka Min pukul 07.00","","","",""
"https://www.google.com/maps/place/Rumah+Makan+Sinar+Minang/data=!4m7!3m6!1s0x2e69f7cc322797af:0xad4e44371a812cd3!8m2!3d-6.1500866!4d106.8172293!16s%2Fg%2F1tj4__yw!19sChIJr5cnMsz3aS4R0yyBGjdETq0?authuser=0&hl=id&rclk=1","Rumah Makan Sinar Minang","4,5","(528)","·","Rp 25–50 rb","Padang","·","·","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFKPl43uUMSNPwAbRfJulUlDUYQNvptDMmmpa728-9wL-Hg5fOkVKwZAkw4OnPAcvhFjmQvBArOuuQr-qYhLZj_YVUXWmhp8V3ybi9wNU5Jj_HXUDV-3b5JHQFXn_ApAb75dATV=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""To order: paru, telur gulai, rendang, sambal hijau, sayur""","","","","Jl. Hayam Wuruk No.120I 5, RT.5/RW.6","· Tutup pukul 03.00","","","",""
"https://www.google.com/maps/place/Rumah+makan+Padang+upik+3/data=!4m7!3m6!1s0x2e69f6dd712d61c3:0x402936aeb366b757!8m2!3d-6.1990686!4d106.7797581!16s%2Fg%2F11bw5xqls3!19sChIJw2Etcd32aS4RV7dms642KUA?authuser=0&hl=id&rclk=1","Rumah makan Padang upik 3","","","","","Padang","·","·","Tutup","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C0gxWExaxdWbwthcugFizQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=178.85536&pitch=0&thumbfov=100","","Makan di tempat","Bawa pulang","","","No Jl. Raya Kb. Jeruk No.94 2, RT.2/RW.9","· Buka Min pukul 09.00","","","","·"
"https://www.google.com/maps/place/Rm+Sederhana+Slipi+%28+ASLI+%29/data=!4m7!3m6!1s0x2e69f6974ff3ae53:0x3c3571ad8b3c3cf5!8m2!3d-6.199548!4d106.801675!16s%2Fg%2F1pzvqllqr!19sChIJU67zT5f2aS4R9Tw8i61xNTw?authuser=0&hl=id&rclk=1","Rm Sederhana Slipi ( ASLI )","4,4","(1.745)","·","$$","Padang","·","Jl. K.S. Tubun No.85B 1, RT.13/RW.5","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAESf4Bk7wtnlind4rmbz31VttbOWGOtZvxmIu3pHfJKAvxBMndjAMBxt_9awvsfcKRLEeyM0bMS0MJVf1bYD7lUsnWQcmSmVMHYQ_9Htw6V-Yw2Jq2mAxoUFLEzhecfYUp-ITvq=w193-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best Rendang, Gulai Kepala Ikan, Gulai Ikan Mas !""","","","","Masakan klasik Padang di tempat nyaman","· Buka Min pukul 08.00","","","",""
"https://www.google.com/maps/place/RM.+PADANG+PONDOK+TARASO/data=!4m7!3m6!1s0x2e69f659e529ef31:0x5cfee66473d117ad!8m2!3d-6.1733383!4d106.7829701!16s%2Fg%2F11byx8lmhl!19sChIJMe8p5Vn2aS4RrRfRc2Tm_lw?authuser=0&hl=id&rclk=1","RM. PADANG PONDOK TARASO","4,5","(55)","·","Rp 1–25.000","Padang","·","Jl. Tj. Duren Utara 4 No.2, RT.6/RW.3","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEC_R69c4ginaEEBAUAk3RsTxy1ussRP_MeIFstfuP4ucILDB6eJq-0-ljtzi8WJ13F-IqwF7ZvY4xStZjN_AwYgFsc8YQBgmEZEFL2_rWEDeMopZ_C96cBcjChv3gdkG4zZkGq=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak dan murah""","","","","","· Buka Min pukul 09.00","","","",""
"https://www.google.com/maps/place/Rm.padang.pemuda+Baru/data=!4m7!3m6!1s0x2e69f72b35acb42d:0x96a566feba660b29!8m2!3d-6.2193091!4d106.766512!16s%2Fg%2F11gb55hdb4!19sChIJLbSsNSv3aS4RKQtmuv5mpZY?authuser=0&hl=id&rclk=1","Rm.padang.pemuda Baru","4,8","(12)","","","Padang","·","Jl. Pahlawan No.43 3, RT.3/RW.5","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3HGWkoJBDITMHujDSOXzBNUi26wM87aNI2twwYP6Lg8hd3Tr6E9MUo4MzIcdXU6fLqw_d8KD_QIjgWkFOKgBmg6wlKuHSIe-2Aq987-eXd7wK_S_o-riROlYV6UTqA8lhVgM=w122-h92-k-no","","Makan di tempat","Bawa pulang","","","","· Buka Min pukul 07.00","","","","·"
"https://www.google.com/maps/place/Raja+Minang+Masakan+Padang+Duri+Kepa/data=!4m7!3m6!1s0x2e69f64e5566dcbd:0x5c58a358d006ebd9!8m2!3d-6.165134!4d106.7793772!16s%2Fg%2F1v68p8lf!19sChIJvdxmVU72aS4R2esG0FijWFw?authuser=0&hl=id&rclk=1","Raja Minang Masakan Padang Duri Kepa","4,5","(403)","·","Rp 25–50 rb","Padang","·","·","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOF2_l6CEZa5nQUuZ7mlcatE667y9v1ZrE-tolrv8nAIMxPjr-nnmOCvz38XBMu9DonQRp7ntfFA-dsqP2q_Ip6nYTWpRNfhr-pZ1xW6ekMSfp9LmIe43Z-aU83mibLyxR3gRy=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Daging rendang nya mantap dan bumbunya banyak ,enak pokok nya recomend""","","","","Jl. Daan Mogot No.15","· Buka Min pukul 10.00","https://www.google.com/viewer/chooseprovider?mid=/g/1v68p8lf&g2lbs=AIBNGdWfFLzmXFMzYSXzLmZBqiA23VwRQnDGn37sASq4ra9txMpzNMEwNs7bAWEPtKAvuf93nf-ckvckXIZzg2bQ83fqVFcpcQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=rLHjaY6vN8GF4-EPv6aDiAw&ei=rLHjaY6vN8GF4-EPv6aDiAw&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Nasi+Goreng+Padang+Betra/data=!4m7!3m6!1s0x2e69f6daf4d7246f:0xb9d7eb65912a63fd!8m2!3d-6.2072526!4d106.7799253!16s%2Fg%2F11g6rfqqhs!19sChIJbyTX9Nr2aS4R_WMqkWXr17k?authuser=0&hl=id&rclk=1","Nasi Goreng Padang Betra","4,8","(10)","","","Nasi Goreng","·","Jl. Yusuf No.9 11, RT.4/RW.11","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHuP7Q9YPMIMIAEJe17PvnsDo9BCH6ObtHeEyNnr11Q2O3ok0uCQ2fse2o-5xXlwSNM-iFSxdYav8609uKFU8ER--cjFSvs7cgGxILv4I_kQD5RRGfqvC7ho_Sk4wX-3hJq6D_6KA=w80-h106-k-no","","Makan di tempat","Bawa pulang","Pesan antar","","","· Buka Min pukul 17.00","","","","·"
"https://www.google.com/maps/place/Rumah+Makan+Sago+Minang/data=!4m7!3m6!1s0x2e69f6e4cdab5c99:0xbb7ff2bdefce86d4!8m2!3d-6.1882375!4d106.7786617!16s%2Fg%2F11fnnmxlgt!19sChIJmVyrzeT2aS4R1IbO773yf7s?authuser=0&hl=id&rclk=1","Rumah Makan Sago Minang","","","","","Padang","·","RQ6H+PF3, Jl. Tosiga VIII, RT.1/RW.4","Tutup","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eI8cfli8aM4C8ZRo0zna0Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=19.223694&pitch=0&thumbfov=100","","Makan di tempat","Bawa pulang","","","","· Buka Min pukul 09.00","","","","·"
