"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","W4Efsd 6"
"https://www.google.com/maps/place/Warteg+pemalang/data=!4m7!3m6!1s0x2e69f71da1f98d21:0x607db4477b8b28bf!8m2!3d-6.1911395!4d106.7691734!16s%2Fg%2F11c6056m_h!19sChIJIY35oR33aS4RvyiLe0e0fWA?authuser=0&hl=id&rclk=1","Warteg pemalang","4,6","(43)","Brunch","·","","Jl. Arjuna Sel. No.8 8, RT.4/RW.11","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOzH-Tm6iW1xiZBQd6VvmtsDKaV9THRe-w7KH_CnZmSFlkULnF04hzUJ383Eg731-1NmRvGrK4G0x8q-de_GDuT751EPml-m3rcTPFgnlh9O2ZqKIiIlUi51WWD8tEMzsj5l33-A=w163-h92-k-no","Makan di tempat","·","Bawa pulang","· Buka Min pukul 07.00"
"https://www.google.com/maps/place/Warteg+prima+bahari+023/data=!4m7!3m6!1s0x2e69f70049e69b0d:0x1786d2e24dc320f6!8m2!3d-6.18941!4d106.7828661!16s%2Fg%2F11y_kflhx8!19sChIJDZvmSQD3aS4R9iDDTeLShhc?authuser=0&hl=id&rclk=1","Warteg prima bahari 023","5,0","(7)","Makanan Siap Saji","·","","Jl. Budi Raya","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAESckiujx9cny-x00ZvL4Sh0OPXtJeUmUk2FahubYqvXAGWZ7wKoYkO51_w6GFAQ2_xvpo9GAqq1afVyIsMtAEHaBeH5BhWqmLE7fuaWaYl7NVBPu62QD5lZAra0BjEB_HvTlUPoLrbP80C=w163-h92-k-no","Makan di tempat","","",""
"https://www.google.com/maps/place/Warteg+Sami+Selera+Lidah/data=!4m7!3m6!1s0x2e69f6e3e8d1aadb:0xf1947918e405f045!8m2!3d-6.192562!4d106.775404!16s%2Fg%2F11sj9q_bq8!19sChIJ26rR6OP2aS4RRfAF5Bh5lPE?authuser=0&hl=id&rclk=1","Warteg Sami Selera Lidah","4,7","(12)","Restoran","·","","Jl. Gili Sampeng No.5 9, RT.9/RW.3","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH2E1R3WMG2HnognqKBg3LVnM91xoSr58b4--R1UyRMoiMOq1h0Pl45KUjO0MEZ4QEEClVg-R5XUcahq8vOIAIvtmcZ68TP_2F4mzDcqnm6sROHOC1ODcez9cKWrslNMf-LWoU=w168-h92-k-no","Makan di tempat","·","Bawa pulang",""
"https://www.google.com/maps/place/Warteg+putra+jaya+bahari/data=!4m7!3m6!1s0x2e69f7005d93a6d3:0xb532e2440e61dd75!8m2!3d-6.1975732!4d106.7730026!16s%2Fg%2F11wpjc5nf_!19sChIJ06aTXQD3aS4Rdd1hDkTiMrU?authuser=0&hl=id&rclk=1","Warteg putra jaya bahari","5,0","(2)","Brunch","·","","Jl. Raya Kb. Jeruk No.7-1, RT.4/RW.2","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1-lj8IhQrmf7hGg3vl6dg_L_cPyMIOXdA2XHfSkOwVI4ld7hvHwfDf-ZBx6BASfssjIgX41kAp4FN5SblvaHs6Mo9N_Dtpj6dZDY5vryFzjxtMJIGB2D9uLF8TclASxKT78V6TdW2qI4N=w122-h92-k-no","Makan di tempat","·","Bawa pulang",""
"https://www.google.com/maps/place/Warteg+58/data=!4m7!3m6!1s0x2e69f6c28d5317cd:0xacc9948a2542ecc7!8m2!3d-6.1994772!4d106.7847295!16s%2Fg%2F11cjgffx_7!19sChIJzRdTjcL2aS4Rx-xCJYqUyaw?authuser=0&hl=id&rclk=1","Warteg 58","4,3","(40)","Tegal","·","","·","Jl. H. Sennin No.Blok, RT.10/RW.12","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_V-jr28mSeY1YvrvQQsJJVtIyMgDQy7OaXgWVTITkn-MgeDuV0k2OFim6KHHYoRVRl3dldr8g8Bw3Bj8XcE91ntvh2M0B_K-MRahK61rbfTd1OrsHchVz4pD_gGX-2OCfGyQVDw=w163-h92-k-no","Makan di tempat","·","Bawa pulang","· Tutup pukul 00.00"
"https://www.google.com/maps/place/WARTEG+HIJAU+17B/data=!4m7!3m6!1s0x2e69f70055ed7071:0x3a4fddd9d3e2c114!8m2!3d-6.2006784!4d106.7836041!16s%2Fg%2F11vzz4vg8b!19sChIJcXDtVQD3aS4RFMHi09ndTzo?authuser=0&hl=id&rclk=1","WARTEG HIJAU 17B","5,0","(5)","Indonesia","·","","QQXM+PCH, Jl. Kh.Syahdan Gg. Keluarga, RT.6/RW.12","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFcy09jtS6-mAr2Clx8jon1JK9ghYC8HwTBmyNZrvriW3M1Gf92tiAIW0PdAid4WuPjUgXTaQ9NixqixeWS7HP1zwlahmKV_r0Byisbcn7zC5Q0AbQOgtQYPrytzKhd7CncjLG2aw=w163-h92-k-no","Makan di tempat","·","Bawa pulang",""
"https://www.google.com/maps/place/Warteg+Ember/data=!4m7!3m6!1s0x2e69f721e203c36b:0x36e2706b806d394a!8m2!3d-6.1988017!4d106.7658103!16s%2Fg%2F11bzrq1s36!19sChIJa8MD4iH3aS4RSjltgGtw4jY?authuser=0&hl=id&rclk=1","Warteg Ember","4,1","(108)","Tegal","·","","Jl. Masjid As Surur No.16 9, RT.9/RW.1","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgnGNg8poqQD4fvsHOLd8NrdTcQtW_b37P_s_TBzNblsJzreFnhxB_SMUzRbZG9x9YbxAPy2WoQqGGa6biz3Te0YcihRQCviRKYNcI_B-8ywBAQiyqHErrQy6uTBRIilbouiKFBw=w80-h142-k-no","Makan di tempat","·","Bawa pulang","· Buka Min pukul 07.00"
"https://www.google.com/maps/place/Warteg+Makmur+2/data=!4m7!3m6!1s0x2e69f6dd5251081d:0xd8e677f44460a435!8m2!3d-6.1986685!4d106.782205!16s%2Fg%2F1hm5snhxm!19sChIJHQhRUt32aS4RNaRgRPR35tg?authuser=0&hl=id&rclk=1","Warteg Makmur 2","4,5","(82)","Tegal","·","","·","RQ2J+GVP, Jl. Batu Sari Raya, RT.8/RW.5","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTn9E_3Qa_qw4o2drCEFZ4mCfLPnGRVjq1dxEXnGQU2gMscXwFXy7ijVfI8sKu6qLElzdeoCkMYFzDGDrXvfUz19pM3Nql-ZtVhTw-OUTOpYNauVjtUSbP3b70p7mkX6wNOPM2_A=w84-h92-k-no","Makan di tempat","·","Bawa pulang",""
"https://www.google.com/maps/place/Warteg+Selera+Bahari/data=!4m7!3m6!1s0x2e69f700534cb06d:0x2c973f1b7e8e6901!8m2!3d-6.1997565!4d106.7825164!16s%2Fg%2F11w3jgcm9_!19sChIJbbBMUwD3aS4RAWmOfhs_lyw?authuser=0&hl=id&rclk=1","Warteg Selera Bahari","5,0","(1)","Masakan Asia","·","","Jl. Raya Kb. Jeruk No.8, RT.6/RW.12","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSrX57YNB7q4OWhSlWbfBdPih0fCMG-tw7HnE98GqRYzSPMxecQ__lGrcpkoAiC9kjExgRgDJ6Af5srGUIiW3UIIDIuq-IgXeD2KlrqC7nUrYuB8DgNdQEiMDJoRqrjJ7bUVgcyHFO9pg=w122-h92-k-no","Makan di tempat","","","· Buka Min pukul 04.30"
"https://www.google.com/maps/place/Warteg+Berkat/data=!4m7!3m6!1s0x2e69f75bb3bdcba3:0xf0fd1d32c8c25b15!8m2!3d-6.1981508!4d106.7635601!16s%2Fg%2F11w93hfq4h!19sChIJo8u9s1v3aS4RFVvCyDId_fA?authuser=0&hl=id&rclk=1","Warteg Berkat","5,0","(6)","Rumah Makan","·","","Seberang Kantor Pos, Samping JNE Apham, Jl. Meruya Ilir Raya No.5 5B","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHpwNw7yt4sUB2fndalwvMjrldizddzM8C7etaePzId6W41x2zqWrVo-NEA-ua1JOcTqZ9SJYCxfsKwUc01YPfgfVMdD9f8qllu6UBHajmOIb2-IzGj1rMV8i9CnHYuzvSGUNU=w80-h93-k-no","Makan di tempat","·","Drive-through",""
