"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","AJB7ye","AJB7ye 2","ah5Ghc 2","M4A5Cf"
"https://www.google.com/maps/place/Kopi+Calf+KS+Tubun/data=!4m7!3m6!1s0x2e69f734358024a5:0xea2766a1f56b6a36!8m2!3d-6.1892018!4d106.79934!16s%2Fg%2F11krywvxgc!19sChIJpSSANTT3aS4RNmpr9aFmJ-o?authuser=0&hl=id&rclk=1","Kopi Calf KS Tubun","4,5","(122)","Kafe","·","Jl. Brigjen Katamso No.32","Tutup","· Buka Min pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHr9MlaV4pOItjdRSIGlvJc86x6397nxCBh4XgQEZflnW57a1NIZm7e6FdyTgj6VnILaV9ZbmqPH7xJypKHFuVgifWSsqy2jXafVjaXL3jkOBquHMzO_6bOVW7aDE3Iiv9zWAlI=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""creamy dan kopi nya pas 🥰 brewmalt nya juga enak banget 🥰🥰""","https://www.google.com/viewer/chooseprovider?mid=/g/11krywvxgc&g2lbs=AIBNGdVyntF3ncPbZ2_zQZfsmfjjoKMyxtwXrrhHTYetc5OEuY6Obum-0jjIBSSDPxuty9ITWSXwBlmQpqDBX3x6BluNb2ADGA%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Oafjaf7jIJ-OseMP_sLhiQ4&ei=Oafjaf7jIJ-OseMP_sLhiQ4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Rp 25–50 rb","",""
"https://www.google.com/maps/place/Coffee+House+Kahwa/data=!4m7!3m6!1s0x2e69f6962f2cbb5b:0xe7780fd457636720!8m2!3d-6.1976185!4d106.8036557!16s%2Fg%2F12hnn786d!19sChIJW7ssL5b2aS4RIGdjV9QPeOc?authuser=0&hl=id&rclk=1","Coffee House Kahwa","4,5","(450)","Kafe","·","Jl. K.S. Tubun Jl. Pejompongan Raya No.140 1, RT.1/RW.7","Segera tutup","· 23.00 · Buka Min pukul 13.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFJVVAB4r4yN-g-lRw9GCg5OnhNZUMKXk5MnxH0_HdQFEM4wZsl21P7NN5-uBjgF9gXbYmFpVbvPDSrFAsnisH6unH7801u4UywJKREopIfffjPtuRq1txt8caF2_pj1W1ACvSMlA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""kopinya enak, makanannya juga enak, suasananya nyaman, ac nya dingin.""","","","","·","Rp 25–50 rb","",""
"https://www.google.com/maps/place/Coffee+Nap/data=!4m7!3m6!1s0x2e69f693c7ec5f25:0xed845201030b9797!8m2!3d-6.1907539!4d106.7987488!16s%2Fg%2F11dz2yx3c5!19sChIJJV_sx5P2aS4Rl5cLAwFShO0?authuser=0&hl=id&rclk=1","Coffee Nap","4,6","(181)","Kafe","·","·","Tutup","· Buka Sen pukul 12.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEvyS48SV7mOdOIyv0dqjeruHATjTpzjJdTIUdV5HjsQXaPj654slaYfYvFZb6aBbqsJ1LNB1ubi3YHc2c3JIRMNcvQ0RDk62A-0veQq1Zq8qJqcHFXiQMmm7zCvvfXGDacG_Kz=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""kopi nya enak suasana nya juga enak harga nya relatif murah""","","","","·","$","",""
"https://www.google.com/maps/place/Kopitagram+-+Tomang/data=!4m7!3m6!1s0x2e69f7df33afa963:0x2d1137ace4a30d68!8m2!3d-6.1792254!4d106.8009732!16s%2Fg%2F11gzn4bsdq!19sChIJY6mvM9_3aS4RaA2j5Kw3ES0?authuser=0&hl=id&rclk=1","Kopitagram - Tomang","4,7","(1.951)","Kedai Kopi","·","Jl. Kasturi No.22, RT.8/RW.1","Tutup","· Buka Min pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHL_ABTV2MRN1vcUfdyZ-wVLYKXtcSm1R51pqByYhiEPM3_dKOl-ObI8WdegH33X39e3YV2AhR7GSicn16if5rffnB8sCJFEeVwGrYSX0DCDhSC4fXdSc-YQg4SVnzevEcRnOE=w80-h101-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lattenya mantap sekali, blend kopi, cream, dan susunya legit.""","https://www.google.com/viewer/chooseprovider?mid=/g/11gzn4bsdq&g2lbs=AIBNGdX6ftwED0l50UNbVEYW8KGF5Vx4db-nzu8LN0fUBGJUZ70Rl0H7T9185rBklYbDQ-UzsWFqVGhI7bxQkctuN659b6eNKw%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Oafjaf7jIJ-OseMP_sLhiQ4&ei=Oafjaf7jIJ-OseMP_sLhiQ4&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Rp 50–75 rb","",""
"https://www.google.com/maps/place/Bubur+Ayam+Sultan+D%27Caf%C3%A9+Duri+Kepa/data=!4m7!3m6!1s0x2e69f792fa3be1a1:0xb1c16d2c58e12a04!8m2!3d-6.1818417!4d106.7759221!16s%2Fg%2F11kptl4kml!19sChIJoeE7-pL3aS4RBCrhWCxtwbE?authuser=0&hl=id&rclk=1","Bubur Ayam Sultan D'Café Duri Kepa","4,4","(73)","Bubur","·","Jl. Palem Raya No.440","Tutup","· Buka Min pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEy_X226HZvQhPezRu-TYKLUYlfEQgedy1DoKDjhkObZJ8oD4kjJveZu-M8DFXNCKR5FqiwuUWewVfFpE9WRUC1y_VRkhANbmFlgitDHzE5XHH8mGYZmBMZw8k8OUBJh2cgvRKA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jangan lupa cobain kopi gula aren & donutnya juga ya kalo kesini 😋""","https://www.google.com/viewer/chooseprovider?mid=/g/11kptl4kml&g2lbs=AIBNGdU4ZcUczP2IxQeKkILickDSjx8L3KKX08oQPeWZkQgeumjN3uccaCQDVmArnHd6RXOeMxBzeeWHA8gMgNW6YFNXomoHOg%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Oafjaf7jIJ-OseMP_sLhiQ4&ei=Oafjaf7jIJ-OseMP_sLhiQ4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Rp 25–50 rb","",""
"https://www.google.com/maps/place/Hobi4d+cafe/data=!4m7!3m6!1s0x2e69f7d9f0c3b1c1:0x9a2137f2479cdc3c!8m2!3d-6.187325!4d106.7556758!16s%2Fg%2F11p01h0nps!19sChIJwbHD8Nn3aS4RPNycR_I3IZo?authuser=0&hl=id&rclk=1","Hobi4d cafe","","","Kafe","·","Jl. Pesanggrahan No.10C 4, RT.1/RW.9","Tutup","· Buka Min pukul 10.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ObPQ-D6nTiPQWwxshXjQIw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=85.56672&pitch=0&thumbfov=100","","Makan di tempat","","","","","","Bawa pulang","·"
"https://www.google.com/maps/place/Asal+Mula+Coffee/data=!4m7!3m6!1s0x2e69f6becf50191f:0x8072c0fd52993a53!8m2!3d-6.2022053!4d106.798255!16s%2Fg%2F11f12pc1kj!19sChIJHxlQz772aS4RUzqZUv3AcoA?authuser=0&hl=id&rclk=1","Asal Mula Coffee","4,6","(113)","Kedai Kopi","·","·","Tutup","· Buka Sen pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGYoSgXob9N_W8hFuJU1cvYL-1zNCs1P04r2joLgLugoiyx5M203ebTBVHEQMKbeOkQKmWGfejPLdP3YjUKGgzIm-MkgjpJso9qIjqoh7ELmJOCkZIGUqrRX_DzoxQEn9ykGfE=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nongkrong yang asik, shakerato mantab, terbaik...""","","","","·","Rp 25–50 rb","",""
"https://www.google.com/maps/place/Bu+Ade+cafe+resto/data=!4m7!3m6!1s0x2e69f700364e9787:0x9d96915cb9e2dd1c!8m2!3d-6.1821541!4d106.7671901!16s%2Fg%2F11y_ggpqz5!19sChIJh5dONgD3aS4RHN3iuVyRlp0?authuser=0&hl=id&rclk=1","Bu Ade cafe resto","","","Kedai Kopi","·","RQ98+4VP, Jl. Panjang Kp duku ci'ing, RT.4/RW.7","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","","","","","","","","",""
"https://www.google.com/maps/place/Kedai+KopiKapi/data=!4m7!3m6!1s0x2e69f72a060032f3:0xdf42d0aa6be80d5!8m2!3d-6.1822476!4d106.7954007!16s%2Fg%2F11hzys51_r!19sChIJ8zIABir3aS4R1YC-pgot9A0?authuser=0&hl=id&rclk=1","Kedai KopiKapi","4,7","(64)","Kedai Kopi","·","Jl. Anggrek Neli Murni No.99A 15, RT.1/RW.1","Tutup","· Buka Sen pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG4CXz49hw2WTKxJ2Anbyltel1Xqbs5rv3hoqbWhVc7T4NVQ-SJ4FVnPJaZFFoYHJPqUDAm0UJtXQpfipt0t-AeIzgywqzwMjy01Lv4TSDCN3KB82MVyK91gBx0m4KaTvYBmhtQEg=w175-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanannya enak bgtt kopi mantapsss pokonya harus cobain deh buat yg lain""","https://www.google.com/viewer/chooseprovider?mid=/g/11hzys51_r&g2lbs=AIBNGdV5mmGEa6oJ-p3nkWPoZFriH7Iw99y2d8cupGunO-WgzznVD5Ny38tFpvPq6FHwM_LCJ-Pgyg3KhkfQ8uHuZD2TOutM0w%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Oafjaf7jIJ-OseMP_sLhiQ4&ei=Oafjaf7jIJ-OseMP_sLhiQ4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Rp 25–50 rb","",""
"https://www.google.com/maps/place/MANJA+Cafe+%26+Resto/data=!4m7!3m6!1s0x2e69f7bbbe83f863:0x83bd7567a3e163f8!8m2!3d-6.2083438!4d106.769376!16s%2Fg%2F11sj55rjwv!19sChIJY_iDvrv3aS4R-GPho2d1vYM?authuser=0&hl=id&rclk=1","MANJA Cafe & Resto","4,6","(51)","Manado","·","Jl. Raya Klp. Dua No.10D","Tutup","· Buka Min pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF9lVunmL5RqgDd_r1w9AJSK7DxYWHV3QxPvlG7CMcNBmi7nwANihF0pwLNV6l-2xDe--waWamSqhEOCilUtzvf-UjhvuCIcv6z-J931XsLTGJ4D_5U4f-WWs_O1pZQNvYBb9tc=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Restorannya bagus, pelayanan ramah, menunya enak enak.""","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
