"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"https://www.google.com/maps/place/Takanajuo+Masakan+Padang/data=!4m7!3m6!1s0x2e7883e0dd8d01e3:0x6bf2bdf8e487a51a!8m2!3d-7.9555799!4d112.605976!16s%2Fg%2F11m5xsd20q!19sChIJ4wGN3eCDeC4RGqWH5Pi98ms?authuser=0&hl=id&rclk=1","Takanajuo Masakan Padang","4,9","(25)","·","Rp 1–25.000","Padang","·","","Jl. Bend. Sigura-Gura Barat Pondok Alam Kav 1 No.27","","Tutup","· Buka pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3HnfCsXjydV4ia3GGD6H1_Yy00zqf8m6ugjIwudG-OYBmJ_ntciG392ed8SsaZSZDItBPxrBYr0S1vyRDq0fK16rlT5LRndX3pnkOUSqKr28XGOZZ2bHrMbZHLnFiyAnxkDUGGw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat bersih, makanan enakk.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFtNXhzZDIwcRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=pDD2aeTcDPCu4-EPr9iE0QI&ei=pDD2aeTcDPCu4-EPr9iE0QI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Sate+Padang+Brawijaya+%28FIA+UB%29/data=!4m7!3m6!1s0x2e78832246492c1d:0xef5c83e2759129d1!8m2!3d-7.9487658!4d112.6145162!16s%2Fg%2F11c70d65_z!19sChIJHSxJRiKDeC4R0SmRdeKDXO8?authuser=0&hl=id&rclk=1","Sate Padang Brawijaya (FIA UB)","4,6","(281)","·","Rp 25–50 rb","Sate","·","","·","Jl. MT. Haryono No.74","Tutup","· Buka pukul 17.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHZlT95thzzn5-oMeMcBTArXj4gSVC88RKETcVEJ7s74EeWA3d7ns4ocJ-l6BWXjQSieFzFGdqOA5syc_ZO_b3y8xSYzxOMasBbxLN5jExN194JPI_1IIslZB4JdFQSpSkJo1k=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... bagi kalian yang ingin mencoba hidangan sate khas","padang",".""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjNzBkNjVfehgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=pDD2aeTcDPCu4-EPr9iE0QI&ei=pDD2aeTcDPCu4-EPr9iE0QI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Padang+Merdeka/data=!4m7!3m6!1s0x2e78838913359079:0xf1ebce7820d929f5!8m2!3d-7.9632599!4d112.5933295!16s%2Fg%2F11hnmvnnmy!19sChIJeZA1E4mDeC4R9SnZIHjO6_E?authuser=0&hl=id&rclk=1","Padang Merdeka","4,5","(1.103)","·","Rp 50–75 rb","Restoran","·","","·","Elpico Food Park, blok Komersial, Jl. Villa Puncak Tidar Blk. AD","Tutup","· Buka pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFC3WUEjpDWqOVkG9jrT0CL4qoEpia2r7XhyFDiEexeXLnH57uI752wxGWtV9BC81HG9IazQgqQSM4d_-GRGNcO8JFaXnVSBRHJeT9HjFW8p8rufRWyqNkuOlt8qZkmsZ_41mk=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rendang empuk, bumbunya kuat dan meresap, kuah gulai kental dan gurih.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFobm12bm5teRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=pDD2aeTcDPCu4-EPr9iE0QI&ei=pDD2aeTcDPCu4-EPr9iE0QI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/RM+Padang+Padati+99/data=!4m7!3m6!1s0x2dd6290020013a09:0x99aca9040780a986!8m2!3d-7.9526383!4d112.6225498!16s%2Fg%2F11y32ssk6x!19sChIJCToBIAAp1i0RhqmABwSprJk?authuser=0&hl=id&rclk=1","RM Padang Padati 99","4,9","(12)","·","Rp 1–25.000","Indonesia","·","","Jl. Bunga Srigading Dalam No.5","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEv8YLrY8FY6zkVlTDkD9JFo1TZ0BBYTzHZ88RXrn73y58a9I8X1MfPxRzN18eIrE-q1AGkApH5sfzcvy4__HCPEyiPP9fV4hq1F61J0jAoRtX6XdPUAnAOXmiukMmQnRGJxY_V-z-Dt5W3=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Otentik masakan padangnya...dan harga lebih murah dari tempat ...""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5MzJzc2s2eBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=pDD2aeTcDPCu4-EPr9iE0QI&ei=pDD2aeTcDPCu4-EPr9iE0QI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Rendang+Malangan/data=!4m7!3m6!1s0x2e788271ed6ef7c5:0x3ded33fc1928dead!8m2!3d-7.9482331!4d112.6092624!16s%2Fg%2F11b6cjjs4p!19sChIJxfdu7XGCeC4Rrd4oGfwz7T0?authuser=0&hl=id&rclk=1","Rendang Malangan","4,3","(27)","","","Padang","·","","Jl. Kertosentono No.21","","Tutup","· Buka pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF8cc_tpcS9j1jfzeJad3pbYQ2aXfMnkvHRm7Rkqv6IWLqBJfMxBs6hBuNDa-nwdhq6UPGnYD8hFCceGikp8coq-DPnX_nZRT3SyTenvbbLk6gaeYmBOxMyIKXWkXBraCzxHG1z=w122-h92-k-no","","Makan di tempat","Bawa pulang","","","",""
"https://www.google.com/maps/place/Warung+Sederhana/data=!4m7!3m6!1s0x2e7882744ae8d02b:0xd926300f86656a1d!8m2!3d-7.9456656!4d112.6167327!16s%2Fg%2F11b6gk41fn!19sChIJK9DoSnSCeC4RHWplhg8wJtk?authuser=0&hl=id&rclk=1","Warung Sederhana","4,5","(158)","·","Rp 1–25.000","Restoran","·","","·","Jl. Semanggi Bar. No.21A","Tutup","· Buka Sen pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtrVS829T61ZE_zbTFGiHHQoC0Kfs1Iqc7dwz00uq0gPGuEAC8OhB64Eo45NpcUAEQlgKO7f5HhmEu6s7QFchNM9VngpaNr9VtllbxvOJbbuUCz-LgckL0RjvHuXcRiioTSjtLCw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan lengkap, murah dan enak""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNmdrNDFmbhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=pDD2aeTcDPCu4-EPr9iE0QI&ei=pDD2aeTcDPCu4-EPr9iE0QI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/RM+Padang+Restu+Bundo/data=!4m7!3m6!1s0x2e7883091242b071:0xf81daa4091d03f6a!8m2!3d-7.9450421!4d112.606779!16s%2Fg%2F11vb_qv_0n!19sChIJcbBCEgmDeC4Raj_QkUCqHfg?authuser=0&hl=id&rclk=1","RM Padang Restu Bundo","4,3","(16)","·","Rp 1–25.000","Indonesia","·","","Jl. Simpang Gajayana No.12","","Tutup","· Buka pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNhlPeZIWuS5tMUx75o7jgYX8LpZt1bKmuAlg-63oaWf4iF2BNnRryvfrVUNa7We7JvhvB9B45YNEwZRa0jYeRhOuN6XBhr5diNiLKBVuItVBLPDTwkFXmnJXY2UIk0zN-__QOCj_JSXIW=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Salah satu masakan","padang","enak di Malang""","","",""
"https://www.google.com/maps/place/Minang+Chicken/data=!4m7!3m6!1s0x2e7883f331fb4b53:0xe14335d36dd66f0d!8m2!3d-7.950197!4d112.6088167!16s%2Fg%2F11w9ks6vy9!19sChIJU0v7MfODeC4RDW_WbdM1Q-E?authuser=0&hl=id&rclk=1","Minang Chicken","4,9","(40)","·","Rp 1–25.000","Makanan Siap Saji","·","","Jl. Gajayana No.31B","","Tutup","· Buka pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFd0PldyA6meQDBKO_hh4ZWhwYWREqmkhuxX3IN9mM0vBxCdkhVFsS_wLSQdDrvFQHVN3Ez7Xq9SuZ9mHkvuDN6TJukK_jzbTIj5MMB30zohGU3aW83nns9fCnjophxJUOkc2YRuw=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ayam kaolin sedepp tambah sambel ijo","Padang","yg khas.""","","",""
"https://www.google.com/maps/place/Nasi+Kapau+Uda+Falah/data=!4m7!3m6!1s0x2dd629b5e83ccaa7:0x41a00e2e703e7799!8m2!3d-7.9447128!4d112.6199311!16s%2Fg%2F11jjjnh10b!19sChIJp8o86LUp1i0RmXc-cC4OoEE?authuser=0&hl=id&rclk=1","Nasi Kapau Uda Falah","4,2","(180)","·","Rp 1–25.000","Padang","·","","Jl. Bunga Coklat No.Kav. 3","","Tutup","· Buka pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFplLJW54MeNSwD9CBiDQve2Mwuut0czcw6Jr0aD__HOMcvMJnOEevbWRpvM73NP28gfjb0nmksX4ZqZeq9Lrt9acvmcul6acDeEreolH76tJYa9HNCzaRLrNdeZQMhXToXCe3y9Q=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi Padangnya rasanya kaya dan bumbunya kuat.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFqampuaDEwYhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=pDD2aeTcDPCu4-EPr9iE0QI&ei=pDD2aeTcDPCu4-EPr9iE0QI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Warung+Makan+Padang+Murah/data=!4m7!3m6!1s0x2e78830026007c3d:0x8aee60b0757ebc40!8m2!3d-7.9575264!4d112.6133844!16s%2Fg%2F11xvxnf55q!19sChIJPXwAJgCDeC4RQLx-dbBg7oo?authuser=0&hl=id&rclk=1","Warung Makan Padang Murah","3,3","(23)","·","Rp 1–25.000","Restoran","·","","Jl. Bendungan Sutami","","Tutup","· Buka pukul 08.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZOa3gDnk9LX6owM0HvaURKF6VT8Y250hM87abjfjfbC0HO-Mk0SeVj-OwJayMtyrqQ4rhiSmo0-t_po5B7uV6ZbrjDNc8V2DolkbVaSR_JI_jsafrgbMwwLzCFKg2rMrR429cqzKsLHDw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Rumah makan Padang","murah,sangat worth it,paling worth it sih kenapa?""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4dnhuZjU1cRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=pDD2aeTcDPCu4-EPr9iE0QI&ei=pDD2aeTcDPCu4-EPr9iE0QI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
