"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","AJB7ye","AJB7ye 2","W4Efsd 6","M4A5Cf","ah5Ghc 2"
"https://www.google.com/maps/place/Hacco+Indonesia/data=!4m7!3m6!1s0x2e7883eadff19f5d:0x424138b7d5928bc9!8m2!3d-7.9571472!4d112.6091868!16s%2Fg%2F11rk05bjy9!19sChIJXZ_x3-qDeC4RyYuS1bc4QUI?authuser=0&hl=id&rclk=1","Hacco Indonesia","5,0","(2)","Kafe","·","Jl. Sigura - Gura V No.8","Segera tutup","· 00.00 · Buka Min pukul 16.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZFOTtWp9zY_IbNawWsBkoxmSpE8OGjS7WOavo_Mc2z2ZuAXt6COJESLwKer3YDstW4MHHnR9RWsKnv6cRPQxZiym0FjHKOpKICy6me-I6pPdqpFPR4Dff3wpcFRUqQ74KzUzF=w122-h92-k-no","","Makan di tempat","","","","·","Bawa pulang"
"https://www.google.com/maps/place/Kopi+Zona+Damai/data=!4m7!3m6!1s0x2e788300068a6369:0x5dedc09e7c3e77b0!8m2!3d-7.9455805!4d112.6091274!16s%2Fg%2F11wn7qd2xl!19sChIJaWOKBgCDeC4RsHc-fJ7A7V0?authuser=0&hl=id&rclk=1","Kopi Zona Damai","4,0","(4)","Kafe","·","Jl. Gajayana Gg. 5 No.588","Tutup","· Buka Sen pukul 18.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHTavD1e31MaZ1-VmMbeovrjXexp-h5bAIB2bEYhugLcV1jzMfn41y5m2iynBfC0QhCo__dzJy3KDSysGoedALnVOXbmSL1haBo9luWW4SL3H99So0CH-stqClbe3GsfoyPAXRh=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ngafe yg murmer, enakk""","","","","",""
"https://www.google.com/maps/place/Kedai+Kopi+My+Umi+Coffee/data=!4m7!3m6!1s0x2e78827267fac2b9:0xf9ab66f01a82a3a1!8m2!3d-7.945456!4d112.6094023!16s%2Fg%2F11k5t6cntz!19sChIJucL6Z3KCeC4RoaOCGvBmq_k?authuser=0&hl=id&rclk=1","Kedai Kopi My Umi Coffee","5,0","(1)","Kafe","","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uyyU9-qiC1wjkYfISqnwJQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=330.81305&pitch=0&thumbfov=100","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ramah dan nyaman""","","","","",""
"https://www.google.com/maps/place/SARJANA/data=!4m7!3m6!1s0x2e78837aefc15865:0x5c50c96c0cc8df07!8m2!3d-7.950681!4d112.608994!16s%2Fg%2F11t7csjjzs!19sChIJZVjB73qDeC4RB9_IDGzJUFw?authuser=0&hl=id&rclk=1","SARJANA","3,8","(5)","Kedai Kopi","·","Depan Gerbang Uin) Malang, Jl. Gajayana No.107","Segera tutup","· 00.00 · Buka Min pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_KAaJQINPoH9G1usQdvoLLX9ZB1B5GWzPKlJ8RV7CukL2_xaj3f6wLQpXLtXaZX_9YSNpcZUxr4QepPcKIVk29BAPJv3RW9WZqN4kRHYDtWgKcfHJkuQRKd9sN-2b2CBxTc3x=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nyaman, tenang dan kopinya enak banget pas di lidah""","","","","",""
"https://www.google.com/maps/place/Cafe+tigasatu/data=!4m7!3m6!1s0x2e78831213fd0997:0xd455198ce4b32594!8m2!3d-7.9568228!4d112.6130474!16s%2Fg%2F11fmrmcs4s!19sChIJlwn9ExKDeC4RlCWz5IwZVdQ?authuser=0&hl=id&rclk=1","Cafe tigasatu","","","Kafe","·","2JV7+76F","Segera tutup","· 00.00 · Buka Min pukul 19.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHTonLwV8urJfBfx4VvJB7BCl1lpBJQBWHEBqqvxVvEwcVl_72NJf9DFCWcmZ8aHYXq658ydd7gtFIib5SmrULDFl-0pgW6cR4eD_Q3r7_5X75qbu1DPlDXirUgIc8ckIcVRPaR=w163-h92-k-no","","Makan di tempat","","","","·","Bawa pulang"
"https://www.google.com/maps/place/Geprek+Waronk+Kampus/data=!4m7!3m6!1s0x2e7883e1c7405ef5:0xe0ae885d3721352c!8m2!3d-7.9466264!4d112.6089399!16s%2Fg%2F11gmcxtfyr!19sChIJ9V5Ax-GDeC4RLDUhN12IruA?authuser=0&hl=id&rclk=1","Geprek Waronk Kampus","4,6","(152)","Kafe","·","·","Segera tutup","· 00.00 · Buka Min pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0zMyhErToOnHWmjqagPne9rPjRlf2GPbN4SGkn7yCaQouKTz7wQqdJKjLbtZXdwdI1psSIAO3xRqNUfzaAvhQfKCibpbUGZrqgSNCfqJ-IpMbvYQ_VIo1CDo8sWrCw1h6kav3=w137-h92-k-no","","Makan di tempat","·","$","Jl. Gajayana No.574 A","·","Bawa pulang"
"https://www.google.com/maps/place/Kedai+Kopi+Rantau/data=!4m7!3m6!1s0x2e7883a6889e57b9:0xb5a531bf85f8901f!8m2!3d-7.9484041!4d112.6119605!16s%2Fg%2F11t0t7009b!19sChIJuVeeiKaDeC4RH5D4hb8xpbU?authuser=0&hl=id&rclk=1","Kedai Kopi Rantau","5,0","(4)","Kedai Kopi","·","3J26+JQJ, Jl. Watu Gong No.13","Tutup","· Buka Sen pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0oEf-trJCvTqfXkPdjSozsmTHx1zipLdnMj37XjMS4zkJkXdNnY79eBKrMjq4ut3lthvTrRTO9vH_NzzOLOQlk95BT11TwXph7GPaHnlNjhVcVjB159TU8OXRMPIeBK27QupH=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasanya dapet banget""","","","","",""
"https://www.google.com/maps/place/Jajanan+Sabi+Abis/data=!4m7!3m6!1s0x2e788300342a1d09:0x4905051e56292797!8m2!3d-7.9521728!4d112.6085698!16s%2Fg%2F11w7frmy5v!19sChIJCR0qNACDeC4RlycpVh4FBUk?authuser=0&hl=id&rclk=1","Jajanan Sabi Abis","5,0","(2)","Kedai Kopi","·","Jl. Sumbersari Gg. IA No. 56, Ketawanggede","Buka","· Tutup Min pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0hWHeimPZ3JrYw5xEMIxzI-djXY1I4LBX8fu0R56yP2di4-umCorxLAQ7MRv-237uKN3uhrpCz1ybYEdEbmR7Qa1W-FENuKt_Cz5L9QfhpDM5K48ppF8s6RxCmtzZl0LOSiya=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sueeeger siang-siang panas, minum es teh iki mantap poool""","","","","",""
"https://www.google.com/maps/place/STMJ+Gendhis/data=!4m7!3m6!1s0x2e78827aa1b6d829:0xda360d0e1a826b89!8m2!3d-7.9527903!4d112.6091681!16s%2Fg%2F11f2drzt1x!19sChIJKdi2oXqCeC4RiWuCGg4NNto?authuser=0&hl=id&rclk=1","STMJ Gendhis","4,9","(10)","Kafe","·","2JW5+VMM","Segera tutup","· 23.59 · Buka Sen pukul 18.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6Wq5_1szQeiCFeQTymm9IVIEAkAKnmhBnyIZHN5I3UP-Lf9_tYp2eWtwf2u-pkhRkUECUfNYOTOzsciX_oNHZFaTchdPIcf-KqJK6pg8Tvkss4YNpO1jJ8DNNQZEVK8ul7vQi5Q=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""mantaplah susu madu nya.""","·","Rp 1–25.000","","",""
"https://www.google.com/maps/place/Pujasera+Orange/data=!4m7!3m6!1s0x2e78832e211d6871:0x49c4965a0a49994d!8m2!3d-7.9570041!4d112.6124422!16s%2Fg%2F11fs_2wyjr!19sChIJcWgdIS6DeC4RTZlJClqWxEk?authuser=0&hl=id&rclk=1","Pujasera Orange","4,7","(7)","Kafe","","","Tutup","· Buka Min pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEE1Ye3-4qFwFNEt5G7KuyLcj-Vf7J0gS2DhrIndFmIQVSdHR1ggtoq4beGnVUYBe_u9vKlrPLcDfXgwfqdN92bg3Ri5OCqlwaCWQwtkXoDT4C3Bci1lVVHPJ5aE6HGTM9_N-8xMQ=w204-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nyaman...parkiran aman...pokoknya mantul gaes""","","","","",""
"https://www.google.com/maps/place/Go+Kopi+Veteran/data=!4m7!3m6!1s0x2e78830000979e71:0xcc0c19c4c5fe0f96!8m2!3d-7.9558141!4d112.6155804!16s%2Fg%2F11ybrj5ghn!19sChIJcZ6XAACDeC4Rlg_-xcQZDMw?authuser=0&hl=id&rclk=1","Go Kopi Veteran","5,0","(1)","Kedai Kopi","·","Jl. Veteran No.15","Tutup","· Buka Min pukul 07.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WDxfz3X12_DL1MtUEb2zMg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=37.628574&pitch=0&thumbfov=100","","Makan di tempat","","","","",""
"https://www.google.com/maps/place/D%27SINI+CAFE/data=!4m7!3m6!1s0x2e78833ee5420f89:0x570a9b82f3859dff!8m2!3d-7.951616!4d112.6089844!16s%2Fg%2F11vwdy18qp!19sChIJiQ9C5T6DeC4R_52F84KbClc?authuser=0&hl=id&rclk=1","D'SINI CAFE","","","Restoran","·","Jl. Kerto Aji No.03","Tutup","· Buka Sen pukul 07.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EZIxEPxbrWNtWNFOWMWTYw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=263.75876&pitch=0&thumbfov=100","","Makan di tempat","","","","·","Ambil di tepi jalan"
"https://www.google.com/maps/place/Kedai+kopi+niskala/data=!4m7!3m6!1s0x2e78830016312c09:0xd11c017698ef5f48!8m2!3d-7.9459256!4d112.6080696!16s%2Fg%2F11vy26jkqh!19sChIJCSwxFgCDeC4RSF_vmHYBHNE?authuser=0&hl=id&rclk=1","Kedai kopi niskala","5,0","(4)","Kedai Kopi","·","3J35+J6G, Jl. Simpang Gajayana","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQ0sEe-Ih0O_mNzMB2J7x4V8KR8rkGmwPe7_WkJyEokMOmvge_OKtMdINsiFY3s94QMP1II_SPfwC-m_D7Fmca1GluuabPi4Jj1ICr6E9BuDQmZbROjrEmpM40TAwWK27xFAIi=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Awas barista'nya guy !!""","","","","",""
"https://www.google.com/maps/place/nazaes+cafe/data=!4m7!3m6!1s0x2e7883c1df4cd87d:0xc2bdd0792b0b6a56!8m2!3d-7.9467859!4d112.6098148!16s%2Fg%2F11vhk47_4b!19sChIJfdhM38GDeC4RVmoLK3nQvcI?authuser=0&hl=id&rclk=1","nazaes cafe","","","Kafe seni","·","Jl. Kerto Asri","Tutup","· Buka Sab pukul 08.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d2IOafwc0UW1DJrQIz-EAg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=80.14496&pitch=0&thumbfov=100","","Makan di tempat","","","","·","Bawa pulang"
"https://www.google.com/maps/place/Kopi+dari+Mars/data=!4m7!3m6!1s0x2e7883f6f9f540d9:0x8f00567cf0adb7ed!8m2!3d-7.9568259!4d112.6130615!16s%2Fg%2F11fsz22vf5!19sChIJ2UD1-faDeC4R7bet8HxWAI8?authuser=0&hl=id&rclk=1","Kopi dari Mars","5,0","(1)","Restoran","·","Jl. Bendungan Sutami No.1","Tutup","· Buka Min pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8V7PAXJ7i8svYkJ3U6iGAMAiuqDrLRWopwnOy4LakjiC2YWO9qxwnKRSwOuOS4OyXIXGaKRBTWzpiklpL6qfQBBELH-6942OIDJpRLquF5PH55MhV9rAtCFsFtDAOSW0th_ULJQ=w80-h106-k-no","","Makan di tempat","","","","·","Bawa pulang"
"https://www.google.com/maps/place/K2+Cafe+SMKN+2+Malang/data=!4m7!3m6!1s0x2e7883cd36987407:0xa4831390dd2641b5!8m2!3d-7.9563314!4d112.6146818!16s%2Fg%2F11g0hv_0fx!19sChIJB3SYNs2DeC4RtUEm3ZATg6Q?authuser=0&hl=id&rclk=1","K2 Cafe SMKN 2 Malang","3,7","(9)","Kafe","·","·","Tutup","· Buka Min pukul 13.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7rg65wUefSBoZ6asGuYK-iEGAJjs0trAGcH_pQxBm0Ra82ZnxDqBvui4EJYHxtbTlneA4RdayFPTED7yLjOmerD3CQ--1CoBd_bXGyK-aiugFyBO7aEUsyaxyTQtCnqNMHVNA=w163-h92-k-no","","Makan di tempat","","","Jl. Veteran No.17","·","Bawa pulang"
