"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 7"
"https://www.google.com/maps/place/Disney+foto+copy/data=!4m7!3m6!1s0x2e7883e77b116aa5:0xbdd01b5199f26985!8m2!3d-7.9486869!4d112.6087636!16s%2Fg%2F11vhw5cmtg!19sChIJpWoRe-eDeC4RhWnymVEb0L0?authuser=0&hl=id&rclk=1","Disney foto copy","3,0","(5)","Toko Fotokopi","·","","Jl. Gajayana No.18","·","Segera tutup","· 00.30 · Buka Min pukul 08.00","0812-3423-4454","","Rute","","",""
"https://www.google.com/maps/place/Vicky+Fotocopy+2+Suhat/data=!4m7!3m6!1s0x2e78831199df7fab:0x4e8c75b205eaebf9!8m2!3d-7.9450143!4d112.6158685!16s%2Fg%2F11j1j_njbf!19sChIJq3_fmRGDeC4R-evqBbJ1jE4?authuser=0&hl=id&rclk=1","Vicky Fotocopy 2 Suhat","4,8","(33)","Toko Fotokopi","·","","Jl. Semanggi Bar. No.5d","·","Tutup","· Buka Min pukul 12.00","0813-3384-1645","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""",""
"https://www.google.com/maps/place/Octa+Fotocopy/data=!4m7!3m6!1s0x2e78830aaf31486b:0xa76508ecd10ed060!8m2!3d-7.9544147!4d112.6108284!16s%2Fg%2F11k549s8_m!19sChIJa0gxrwqDeC4RYNAO0ewIZac?authuser=0&hl=id&rclk=1","Octa Fotocopy","5,0","(6)","Toko Fotokopi","·","","Jl. Raya Sumbersari No.239","·","Tutup","· Buka Min pukul 08.00","0821-4131-3646","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Wow murah sekali ramah senyum orangnya""",""
"https://www.google.com/maps/place/CHAMPIONS+%28copy+center+%26+print+shop%29/data=!4m7!3m6!1s0x2e78818ab2b8c9b7:0x1b05bbb131c6df6c!8m2!3d-7.9482571!4d112.6140963!16s%2Fg%2F11d_7tfqdb!19sChIJt8m4soqBeC4RbN_GMbG7BRs?authuser=0&hl=id&rclk=1","CHAMPIONS (copy center & print shop)","4,3","(52)","Printer Digital","·","","·","Jl. MT. Haryono No.88","Tutup","· Buka Min pukul 12.00","0821-3117-9481","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan sangat baik.""","·"
"https://www.google.com/maps/place/Asahi+Copy+Center/data=!4m7!3m6!1s0x2e788303c9084303:0x406157523e7d1ec9!8m2!3d-7.9483665!4d112.6096226!16s%2Fg%2F11nfs0qj_x!19sChIJA0MIyQODeC4RyR59PlJXYUA?authuser=0&hl=id&rclk=1","Asahi Copy Center","4,5","(78)","Toko Percetakan","·","","·","Jl. Kerto Raharjo No.80","Tutup","·","0812-3346-9879","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rekomended buat cetak skripsi hasil bagus dan murah""","· Buka Min pukul 11.00"
"https://www.google.com/maps/place/Dunia+ATK/data=!4m7!3m6!1s0x2e788276cf4d6db1:0xea0425df509bb023!8m2!3d-7.9487583!4d112.6146065!16s%2Fg%2F11b6dwzrnz!19sChIJsW1Nz3aCeC4RI7CbUN8lBOo?authuser=0&hl=id&rclk=1","Dunia ATK","4,0","(356)","Toko Alat Tulis","·","","·","Jl. MT. Haryono","Tutup","· Buka Min pukul 07.30","(0341) 572935","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Toko ini juga melayani","·"
"https://www.google.com/maps/place/Percetakan+dan+Foto+Copy+RAHAYU/data=!4m7!3m6!1s0x2e78835845aaa151:0xed715c847b44091!8m2!3d-7.9487681!4d112.6117056!16s%2Fg%2F11h557m5tc!19sChIJUaGqRViDeC4RkUC0R8gV1w4?authuser=0&hl=id&rclk=1","Percetakan dan Foto Copy RAHAYU","4,6","(39)","Percetakan Komersial","·","","Jl. Watu Gong No.17b","·","Tutup","· Buka Min pukul 07.00","0812-3332-3316","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""So recomended, terutama buat mahasiswa yang mau jilid buku skripsi.""",""
"https://www.google.com/maps/place/Photokopi/data=!4m7!3m6!1s0x2e788337abbadad3:0x5c86107c2fd80628!8m2!3d-7.9462955!4d112.6063136!16s%2Fg%2F11fmw3w828!19sChIJ09q6qzeDeC4RKAbYL3wQhlw?authuser=0&hl=id&rclk=1","Photokopi","4,5","(218)","Kafe","·","","Jl. Simpang Gajayana","·","Buka 24 jam","","0823-3383-7476","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kamu bisa fokus nugas tanpa khawatir diusir karena kafe mau tutup""",""
"https://www.google.com/maps/place/Harapan+Jaya+Print+dan+Percetakan/data=!4m7!3m6!1s0x2e7882744f32587d:0x9975ecdae2a9d7bf!8m2!3d-7.9452534!4d112.6160599!16s%2Fg%2F11fy5666yy!19sChIJfVgyT3SCeC4Rv9ep4trsdZk?authuser=0&hl=id&rclk=1","Harapan Jaya Print dan Percetakan","4,7","(6)","Industri Percetakan","·","","Jl. Semanggi Bar. No.5C","·","Tutup","· Buka Sen pukul 09.00","0821-4211-7750","","Rute","","",""
"https://www.google.com/maps/place/PRINT+TERMURAH+AREA+UB+FOTOCOPY+VIAN/data=!4m7!3m6!1s0x2e788306afd04e7f:0x20285e8b27a1963d!8m2!3d-7.9554716!4d112.6117754!16s%2Fg%2F11sw4q258s!19sChIJf07QrwaDeC4RPZahJ4teKCA?authuser=0&hl=id&rclk=1","PRINT TERMURAH AREA UB FOTOCOPY VIAN","5,0","(54)","Toko Percetakan","·","","Jl. Raya Sumbersari No.290b","·","Tutup","","0815-5008-749","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""print disini kualitasnya bagus, harganya murah jugaa, recommend pokoknya""","· Buka Min pukul 08.00"
"https://www.google.com/maps/place/PRINT+TERMURAH+AREA+UB+FOTOCOPY+VIAN/data=!4m7!3m6!1s0x2e788306afd04e7f:0x20285e8b27a1963d!8m2!3d-7.9554716!4d112.6117754!16s%2Fg%2F11sw4q258s!19sChIJf07QrwaDeC4RPZahJ4teKCA?authuser=0&hl=id&rclk=1","PRINT TERMURAH AREA UB FOTOCOPY VIAN","5,0","(54)","Toko Percetakan","·","","Jl. Raya Sumbersari No.290b","·","Tutup","","0815-5008-749","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""print disini kualitasnya bagus, harganya murah jugaa, recommend pokoknya""","· Buka Min pukul 08.00"
"https://www.google.com/maps/place/New+Twenty+Five+25/data=!4m7!3m6!1s0x2e78827307c50853:0x6b644e87f6f1e47d!8m2!3d-7.9453093!4d112.6126287!16s%2Fg%2F11f50hpg9r!19sChIJUwjFB3OCeC4RfeTx9odOZGs?authuser=0&hl=id&rclk=1","New Twenty Five 25","","","Toko Fotokopi","·","","Ruko Ditas, Jl. MT. Haryono No.25","·","Buka","· Tutup pukul 02.00","0822-3143-0381","","Rute","","",""
"https://www.google.com/maps/place/BAZNET+PRINT+FOTOCOPY+JILID+ATK+JL.+BUNGA+KUMIS+KUCING/data=!4m7!3m6!1s0x2dd629d78979355b:0xac96c8c1494ed911!8m2!3d-7.9505524!4d112.6188069!16s%2Fg%2F11cmg7dsb1!19sChIJWzV5idcp1i0REdlOScHIlqw?authuser=0&hl=id&rclk=1","BAZNET PRINT FOTOCOPY JILID ATK JL. BUNGA KUMIS KUCING","4,2","(102)","Toko Fotokopi","·","","·","Jl. Bunga Kumis Kucing No.21 Blok A","Tutup","·","0898-8075-928","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanannya ramah, fast response, murah bersahabat dengan mahasiswa""","· Buka Min pukul 06.00"
"https://www.google.com/maps/place/Dinoyo+Digital+1/data=!4m7!3m6!1s0x2e788276dfb50ae1:0x4b0aa6c2a17919e9!8m2!3d-7.9494979!4d112.6153371!16s%2Fg%2F1hm405wrk!19sChIJ4Qq133aCeC4R6Rl5ocKmCks?authuser=0&hl=id&rclk=1","Dinoyo Digital 1","4,2","(520)","Layanan cetak digital","·","","·","Jl. MT. Haryono Kampus Unibraw No.Depan","Tutup","· Buka Sen pukul 09.00","(0341) 573714","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat cetak stiker dengan harga terjangkau cocok bagi kita pelaku UMKM""","·"
"https://www.google.com/maps/place/PHOTO+COPY+Hizbul+Wathon+1/data=!4m7!3m6!1s0x2e78827af49546cb:0xf7a5cb43a6232159!8m2!3d-7.9554134!4d112.6117106!16s%2Fg%2F11b75qppxk!19sChIJy0aV9HqCeC4RWSEjpkPLpfc?authuser=0&hl=id&rclk=1","PHOTO COPY Hizbul Wathon 1","4,8","(6)","Toko Fotokopi","·","","Jl. Raya Sumbersari No.290","·","Tutup","· Buka Sen pukul 07.30","0812-3169-170","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat recommended untuk cetak kitab pondok""",""
"https://www.google.com/maps/place/Fotocopy+Rukun+Jaya+Mulya/data=!4m7!3m6!1s0x2e788271a032d31b:0x6323fcd08d71e2b2!8m2!3d-7.9487203!4d112.610715!16s%2Fg%2F11b6ckhgs9!19sChIJG9MyoHGCeC4RsuJxjdD8I2M?authuser=0&hl=id&rclk=1","Fotocopy Rukun Jaya Mulya","5,0","(1)","Toko Fotokopi","·","","Jl. Kertosentono No.95","·","Tutup","· Buka Min pukul 07.00","0857-9041-3004","","Rute","","",""
"https://www.google.com/maps/place/Wisuda+1+Fotocopy/data=!4m7!3m6!1s0x2e788276dadaa9d7:0xd143a619d076b9d4!8m2!3d-7.9494301!4d112.615063!16s%2Fg%2F11fy941014!19sChIJ16na2naCeC4R1Ll20BmmQ9E?authuser=0&hl=id&rclk=1","Wisuda 1 Fotocopy","4,1","(27)","Toko Fotokopi","·","","·","Jl. Mayjen Hariyono Jl. MT. Haryono No.36b","Tutup","· Buka Min pukul 12.00","0857-5560-8899","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""serba bisa hahahaha""","·"
"https://www.google.com/maps/place/Dhony+Photo+Copy+%26+Print+2/data=!4m7!3m6!1s0x2e788275cb6d0fe1:0x1564944bbcbc4b46!8m2!3d-7.9460029!4d112.6170165!16s%2Fg%2F11f04482vh!19sChIJ4Q9ty3WCeC4RRku8vEuUZBU?authuser=0&hl=id&rclk=1","Dhony Photo Copy & Print 2","4,7","(23)","Layanan cetak digital","·","","Jl. Semanggi Bar. No.23","·","Tutup","· Buka Sen pukul 07.30","0815-7226-8830","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada harga ada kualitas sih""",""
"https://www.google.com/maps/place/Fotokopi+FKUB/data=!4m7!3m6!1s0x2e78827a2dae34b3:0x975014f9223d8f01!8m2!3d-7.9540974!4d112.6135187!16s%2Fg%2F11f4pl2mrb!19sChIJszSuLXqCeC4RAY89IvkUUJc?authuser=0&hl=id&rclk=1","Fotokopi FKUB","5,0","(1)","Pemasok peralatan percetakan","·","","2JW7+9C6, Jl. Universitas Brawijaya","","Tutup","· Buka Sen pukul 08.00","","","Rute","","",""
"https://www.google.com/maps/place/Karunia+Photo+Digital+Printing/data=!4m7!3m6!1s0x2e78831b21c12537:0x94719986a78c0bb0!8m2!3d-7.9461138!4d112.6093397!16s%2Fg%2F11kk7mf4hr!19sChIJNyXBIRuDeC4RsAuMp4aZcZQ?authuser=0&hl=id&rclk=1","Karunia Photo Digital Printing","4,8","(40)","Toko Percetakan","·","","Jl. Gajayana No. 574AB","·","Tutup","· Buka Min pukul 08.00","0895-4008-83878","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bagus dan aestethtic harganya terjangkau""",""
